word_start,word_end
24.54,24.63
24.63,25.87
26.38,26.55
26.55,27.19
27.19,27.51
27.51,28.10
30.54,30.74
30.74,30.93
30.93,31.30
31.30,31.61
31.61,32.36
32.36,34.34
36.17,36.23
36.23,37.44
37.94,38.06
38.06,38.36
38.36,39.03
39.03,39.45
39.45,39.80
39.80,40.29
40.29,41.54
41.90,42.44
42.44,42.66
42.66,42.84
42.84,43.54
43.54,45.66
46.30,46.51
46.51,46.85
46.85,47.27
47.54,50.15
50.31,50.46
50.46,50.68
50.68,50.87
50.87,51.24
51.24,51.41
51.41,51.76
51.76,51.96
51.96,52.28
52.28,52.46
52.46,52.99
53.38,55.46
55.51,55.90
56.21,56.41
56.41,56.59
56.59,56.98
56.98,57.44
57.44,57.57
57.57,58.27
59.31,59.49
59.49,59.84
59.84,60.75
61.11,61.29
61.29,61.83
61.83,62.18
62.18,62.73
65.29,65.45
65.45,65.62
65.62,65.83
65.83,66.01
66.01,66.78
66.78,68.87
70.76,70.86
70.86,72.12
72.68,72.87
72.87,73.07
73.07,73.74
73.74,74.45
76.81,76.98
76.98,77.16
77.16,77.58
77.58,77.87
77.87,78.23
78.23,80.18
80.99,81.20
81.20,81.54
81.54,82.00
82.24,84.78
85.00,85.16
85.16,85.39
85.39,85.56
85.56,85.96
85.96,86.10
86.10,86.47
86.47,86.65
86.65,86.96
86.96,87.19
87.19,87.70
88.07,90.09
90.17,90.63
90.90,91.06
91.06,91.25
91.25,91.64
91.64,92.12
92.12,92.32
92.32,93.40
94.15,94.53
94.53,96.71
97.06,97.40
97.40,99.18
99.97,100.24
100.24,102.09
102.09,102.33
102.33,102.51
102.51,102.70
102.70,103.42
103.42,103.93
103.93,104.18
104.18,105.32
105.72,106.11
106.11,107.18
107.18,107.51
107.51,108.73
111.52,112.96
112.96,113.33
113.33,114.89
117.13,117.20
117.20,118.50
118.89,119.10
119.10,119.30
119.30,119.97
119.97,120.60
123.09,123.46
123.46,123.67
123.67,123.85
123.85,124.25
124.25,124.62
124.62,126.72
128.71,130.18
130.49,130.65
130.65,130.86
130.86,132.17
134.71,134.88
134.88,135.02
135.02,135.38
135.38,136.11
136.11,136.35
136.35,138.27
138.76,138.94
138.94,139.29
139.29,139.76
140.04,142.58
142.75,142.94
142.94,143.17
143.17,143.36
143.36,143.73
143.73,143.91
143.91,144.28
144.28,144.49
144.49,144.80
144.80,144.98
144.98,145.38
145.91,147.99
148.08,148.46
148.74,148.93
148.93,149.11
149.11,149.49
149.49,149.96
149.96,150.13
150.13,151.24
151.97,152.39
152.39,154.69
154.87,155.27
155.27,157.05
157.78,158.07
158.07,159.96
159.96,160.14
160.14,160.31
160.31,160.51
160.51,161.26
161.26,161.79
161.79,162.00
162.00,163.31
163.56,163.93
163.93,164.70
165.02,165.36
165.36,166.31
169.34,170.73
170.78,171.17
171.17,174.14
196.64,196.85
196.85,197.23
197.23,197.67
197.93,200.10
200.62,200.82
200.82,201.06
201.06,201.19
201.19,201.59
201.59,201.73
201.73,202.08
202.08,202.29
202.29,202.61
202.61,202.80
202.80,203.28
203.73,205.85
205.89,206.25
206.56,206.77
206.77,206.93
206.93,207.30
207.30,207.81
207.81,208.02
208.02,209.06
209.81,210.20
210.20,212.46
212.71,213.06
213.06,214.83
215.56,215.89
215.89,217.77
217.77,217.97
217.97,218.14
218.14,218.35
218.35,219.10
219.10,219.58
219.58,219.80
219.80,221.11
221.40,221.82
221.82,222.84
222.84,223.23
223.23,224.51
227.18,228.43
228.62,229.06
229.31,232.60
233.01,233.40
233.40,235.72
235.87,236.23
236.23,238.05
238.72,239.00
239.00,240.88
240.88,241.10
241.10,241.29
241.29,241.50
241.50,242.20
242.20,242.71
242.71,242.94
242.94,244.19
244.50,244.87
244.87,245.78
245.96,246.33
246.33,247.83
250.28,251.55
251.79,252.16
252.16,253.88
256.15,256.53
256.53,257.43
257.71,258.11
258.11,259.51
262.21,263.52
263.71,264.26
264.63,267.82
