word_start,word_end
3.90,4.03
4.03,4.27
4.27,4.41
4.41,4.95
4.95,6.87
7.22,7.33
7.33,8.17
8.17,8.73
8.73,10.41
14.54,14.74
14.74,14.91
14.91,15.16
15.16,15.49
15.49,16.00
16.00,16.46
16.46,16.83
16.83,18.92
20.76,20.92
20.92,21.33
21.33,22.03
22.03,22.22
22.22,24.59
27.91,28.00
28.00,28.24
28.24,28.42
28.42,28.81
28.81,29.07
29.07,29.60
29.60,29.80
29.80,31.58
34.07,34.26
34.26,34.35
34.35,34.63
34.63,34.92
34.92,35.22
35.22,35.62
35.62,36.71
38.59,38.76
38.76,38.93
38.93,39.44
39.44,40.08
40.08,40.24
40.24,40.62
40.62,41.63
41.63,41.75
41.75,42.21
42.21,43.37
43.61,43.79
43.79,45.29
45.29,45.48
45.48,47.36
50.41,50.57
50.57,50.80
50.80,50.94
50.94,51.71
51.71,52.37
52.37,54.05
55.08,55.29
55.29,55.47
55.47,56.18
56.18,58.38
58.79,58.99
58.99,59.76
59.76,61.33
67.03,67.22
67.22,67.36
67.36,67.82
67.82,68.06
68.06,68.59
68.59,69.08
69.08,70.59
73.16,73.42
73.42,73.86
73.86,74.44
74.44,74.75
74.75,76.24
77.37,77.51
77.51,77.74
77.74,77.90
77.90,78.24
78.24,78.67
78.67,79.09
79.09,79.25
79.25,79.44
79.44,82.58
83.75,83.89
83.89,84.27
84.27,84.68
84.68,85.20
85.20,87.74
90.93,91.25
91.25,91.42
91.42,91.92
91.92,92.58
92.58,92.76
92.76,94.06
95.46,95.55
95.55,95.75
95.75,96.78
97.05,97.19
97.19,98.59
98.59,98.75
98.75,99.49
101.42,101.56
101.56,101.89
101.89,102.31
102.31,103.07
103.07,103.44
103.44,103.70
103.70,104.00
104.00,104.58
104.58,104.79
104.79,105.24
105.24,105.67
105.67,105.93
105.93,106.25
106.25,106.61
106.61,106.76
106.76,107.07
107.07,107.35
107.35,110.55
110.55,112.02
113.40,113.57
113.57,113.80
113.80,113.94
113.94,114.68
114.68,115.26
115.26,117.15
118.07,118.28
118.28,118.47
118.47,119.18
119.18,121.42
121.71,121.90
121.90,122.43
122.43,125.13
147.91,148.07
148.07,148.28
148.28,148.88
148.88,149.07
149.07,149.53
149.53,151.53
154.09,154.27
154.27,154.46
154.46,154.89
154.89,155.18
155.18,155.55
155.55,156.65
158.42,158.54
158.54,158.92
158.92,160.08
160.08,160.41
160.41,160.87
160.87,161.61
161.61,161.82
161.82,162.54
162.54,162.89
162.89,163.29
163.29,163.65
163.65,163.90
163.90,167.01
170.48,170.57
170.57,170.83
170.83,170.94
170.94,171.68
171.68,172.33
172.33,174.00
175.08,175.27
175.27,175.47
175.47,176.13
176.13,178.43
178.79,178.97
178.97,179.77
179.77,182.41
185.45,185.57
185.57,185.76
185.76,185.92
185.92,186.73
186.73,187.43
187.43,189.16
189.89,190.04
190.04,190.43
190.43,191.20
191.20,193.38
193.79,193.96
193.96,194.44
194.44,197.90
