word_start,word_end
17.61,18.06
18.06,18.39
18.39,18.67
18.67,20.17
21.59,21.91
21.91,22.41
22.41,23.47
23.47,24.85
26.16,26.44
26.44,26.71
26.71,26.94
26.94,28.80
30.43,30.69
30.69,30.96
30.96,31.12
31.12,33.67
34.48,34.96
34.96,35.54
35.54,37.04
38.84,39.14
39.14,39.54
39.54,40.41
40.41,42.15
43.29,43.58
43.58,43.89
43.89,44.12
44.12,47.11
47.92,48.22
48.22,50.77
51.91,52.37
52.37,52.65
52.65,52.87
52.87,54.61
55.80,57.25
57.25,58.29
60.43,61.14
61.14,61.72
61.72,63.48
64.71,65.04
65.04,65.81
65.81,68.29
68.75,69.08
69.08,69.38
69.38,69.70
69.70,69.99
70.09,71.42
73.02,73.41
73.48,73.77
73.77,74.16
74.16,74.65
74.65,75.91
77.59,77.92
77.92,78.31
78.31,78.69
78.84,80.28
81.62,81.89
81.89,82.14
82.14,83.28
83.28,84.66
86.12,86.46
86.46,86.73
86.73,89.49
90.45,90.67
90.67,93.78
95.71,97.10
97.10,97.42
97.42,97.57
97.57,98.80
99.24,99.64
99.64,101.30
103.26,103.69
103.69,104.09
104.09,104.39
104.39,106.98
107.59,107.91
107.91,108.34
108.34,108.85
108.85,109.92
109.92,110.79
110.79,111.61
112.69,112.95
112.95,113.73
113.73,114.58
114.58,115.18
116.03,116.46
116.46,116.69
116.69,116.99
116.99,117.47
117.47,120.18
120.26,120.83
120.83,121.22
121.22,121.50
121.50,122.07
122.07,123.28
124.43,124.74
124.74,125.24
125.24,126.22
126.22,127.36
128.74,129.25
129.25,129.93
129.93,130.30
130.30,130.69
130.69,131.85
133.32,133.53
133.53,134.15
134.15,134.57
134.57,136.65
137.27,137.61
137.61,137.96
137.96,138.31
138.31,138.55
138.55,140.22
141.60,141.93
141.93,142.42
142.42,142.77
142.77,143.26
143.26,145.96
146.20,146.49
146.49,146.86
146.86,147.21
147.21,148.31
148.60,149.15
149.15,150.24
151.01,151.24
151.24,154.40
163.07,163.34
163.34,163.60
163.60,163.86
163.86,164.06
164.06,165.53
167.85,169.39
171.82,172.20
172.20,172.58
172.58,172.90
172.90,174.07
175.29,177.21
180.56,180.93
180.93,181.20
181.20,181.64
181.64,182.81
183.12,183.58
183.58,185.20
185.59,185.85
185.85,189.68
