word_start,word_end
12.82,13.00
13.00,13.40
13.40,14.84
14.84,15.21
15.21,15.56
15.56,15.90
15.90,16.30
16.30,16.61
16.61,19.97
24.36,24.50
24.50,24.98
24.98,26.52
26.72,27.14
27.14,27.47
27.47,28.07
28.07,28.51
28.51,31.22
35.94,36.14
36.14,36.53
36.53,36.86
36.86,37.96
37.96,38.31
38.31,38.71
38.71,39.01
39.01,39.77
39.77,40.00
40.00,41.32
41.73,41.85
41.85,42.27
42.27,42.63
42.63,43.00
43.00,43.74
43.74,44.09
44.09,44.78
44.78,45.16
45.16,45.49
45.49,45.74
45.74,47.04
47.34,47.48
47.48,47.62
47.62,48.09
48.09,48.40
48.40,48.78
48.78,49.89
50.48,50.67
50.67,51.00
51.00,51.36
51.36,51.80
51.80,54.57
65.04,65.80
65.80,66.17
66.17,66.87
66.87,67.07
67.07,67.65
67.65,68.01
68.01,68.33
68.33,68.68
68.68,68.96
68.96,71.30
75.55,75.89
75.89,76.62
76.62,77.35
77.35,77.70
77.70,78.80
78.80,79.20
79.20,79.44
79.44,79.90
79.90,80.21
80.21,80.54
80.54,83.01
87.98,88.12
88.21,88.56
88.56,88.92
88.92,89.27
89.27,89.45
89.45,90.30
90.71,90.97
91.09,91.46
91.46,91.84
91.84,93.36
93.62,93.80
93.80,93.94
93.94,94.38
94.38,94.66
94.66,95.01
95.01,95.79
95.79,96.12
96.12,96.47
96.47,96.77
96.77,97.58
97.58,98.17
98.17,99.29
99.46,99.62
99.62,99.78
99.78,100.19
100.19,100.49
100.49,100.85
100.85,101.95
102.51,102.67
102.67,103.07
103.07,103.38
103.38,103.83
103.83,106.25
116.98,117.48
117.48,117.88
117.88,118.21
118.21,119.34
119.62,119.78
119.78,120.69
120.69,121.09
121.09,121.37
121.37,121.86
121.86,122.53
122.53,122.80
122.80,124.08
124.08,125.25
125.43,125.78
125.78,125.96
125.96,126.08
126.08,126.45
126.45,128.28
128.66,129.03
129.03,129.38
129.38,130.47
130.47,130.82
130.82,131.19
131.19,131.40
131.58,131.91
131.91,132.54
132.54,133.70
133.93,134.21
134.21,134.46
134.46,134.84
134.84,135.75
137.15,137.34
137.34,137.71
137.71,138.11
138.11,138.23
138.23,139.43
140.08,140.27
140.27,140.60
140.60,142.08
142.08,142.41
142.41,142.81
142.81,143.14
143.14,143.54
143.54,147.47
151.60,151.72
151.72,152.16
152.16,152.50
152.50,152.87
152.87,153.42
153.42,153.60
153.60,153.99
153.99,154.33
154.33,155.41
155.41,155.79
155.79,158.59
163.32,163.63
163.63,164.13
164.13,164.41
164.41,165.14
165.14,165.53
165.53,165.95
165.95,166.25
166.25,167.02
167.02,167.24
167.24,168.61
168.96,169.08
169.08,169.54
169.54,169.89
169.89,170.24
170.24,170.98
170.98,171.36
171.36,172.05
172.05,172.42
172.42,172.77
172.77,173.02
173.02,174.34
174.58,174.74
174.74,174.89
174.89,175.33
175.33,175.67
175.67,176.02
176.02,177.43
177.72,177.91
177.91,178.25
178.25,178.60
178.60,179.00
179.00,181.79
186.31,186.46
186.46,186.89
186.89,187.21
187.21,187.58
187.58,188.84
189.19,189.39
189.39,189.72
189.72,190.02
190.02,190.47
190.47,193.20
197.89,197.98
197.98,198.45
198.45,198.75
198.75,199.10
199.10,199.94
200.77,200.92
200.92,201.33
201.33,201.60
201.60,202.07
202.07,204.60
209.63,209.86
209.86,210.36
210.36,210.72
210.72,211.08
211.08,212.04
212.22,212.54
212.54,212.89
212.89,213.24
213.24,213.61
213.61,216.59
