word_start,word_end
26.83,27.13
27.13,27.29
27.29,27.98
28.95,29.15
29.15,30.03
30.03,30.63
30.63,30.72
30.72,31.49
32.62,32.93
32.93,33.29
33.29,33.60
33.60,33.83
33.83,34.32
34.32,34.50
34.50,35.54
36.32,36.95
36.95,37.27
37.27,37.39
37.39,37.94
37.94,38.85
39.82,40.03
40.03,40.29
40.29,40.63
40.63,40.90
40.90,41.24
41.24,41.62
41.62,42.06
42.06,42.76
43.66,44.34
44.34,44.64
44.64,44.80
44.80,45.42
45.42,46.54
47.18,47.46
47.46,48.57
48.57,49.02
49.02,49.30
49.30,49.88
50.87,51.10
51.10,52.34
52.34,52.69
52.69,53.20
53.20,53.96
54.54,54.82
54.82,55.07
55.07,55.48
57.16,57.36
57.36,57.86
57.86,58.10
58.10,58.34
58.34,58.58
58.58,58.79
58.79,58.98
58.98,59.22
59.22,59.37
59.37,59.52
59.52,59.67
59.67,60.14
60.14,60.35
60.35,61.50
64.55,64.79
64.79,65.22
65.22,65.41
65.41,65.71
65.71,65.97
65.97,66.39
66.39,66.71
66.71,67.01
67.01,67.08
67.08,67.55
67.55,67.79
67.79,68.05
68.05,69.31
71.87,72.14
72.14,72.61
72.61,72.82
72.82,73.08
73.08,73.29
73.29,73.54
73.54,73.75
73.75,73.95
73.95,74.12
74.12,74.27
74.27,74.44
74.44,74.92
74.92,75.17
75.17,76.36
76.78,78.36
79.34,79.55
79.55,79.97
79.97,80.18
80.18,80.42
80.42,80.67
80.67,81.15
81.15,81.48
81.48,81.78
81.78,81.85
81.85,82.29
82.29,82.52
82.52,82.79
82.79,84.02
85.96,86.18
86.18,86.41
86.41,87.14
88.03,88.30
88.30,88.70
89.15,89.60
89.60,89.85
89.85,90.52
91.51,92.88
92.88,93.34
93.34,94.14
95.20,95.44
95.44,95.67
95.67,96.18
96.18,97.23
97.23,97.50
97.50,98.26
98.89,99.13
99.13,99.36
99.36,99.80
99.80,99.98
99.98,100.29
100.29,101.26
101.26,101.73
101.73,102.36
102.69,102.94
102.94,103.98
103.98,104.36
104.36,104.88
104.88,105.58
106.23,106.72
106.72,107.18
107.18,107.62
107.62,108.06
108.06,108.27
108.27,108.53
108.53,109.27
109.95,110.12
110.12,110.43
110.43,110.93
110.93,111.30
111.30,112.29
112.29,112.96
113.64,113.89
113.89,114.15
114.15,114.78
115.03,115.48
115.48,115.82
116.12,116.37
116.37,116.91
116.91,117.12
117.12,117.38
117.38,117.58
117.58,117.82
117.82,118.01
118.01,118.24
118.24,118.35
118.35,118.58
118.58,118.71
118.71,119.19
119.19,119.41
119.41,120.58
123.60,123.84
123.84,124.27
124.27,124.46
124.46,124.72
124.72,124.99
124.99,125.43
125.43,125.76
125.76,125.99
125.99,126.13
126.13,126.59
126.59,126.83
126.83,127.15
127.15,128.47
130.94,131.19
131.19,131.65
131.65,131.82
131.82,132.10
132.10,132.28
132.28,132.61
132.61,132.79
132.79,133.00
133.00,133.13
133.13,133.33
133.33,133.45
133.45,133.92
133.92,134.13
134.13,135.53
135.81,137.41
138.37,138.60
138.60,138.96
138.96,139.06
139.06,139.49
139.49,139.71
139.71,140.20
140.20,140.55
140.55,140.82
140.82,140.90
140.90,141.33
141.33,141.54
141.54,141.80
141.80,143.05
173.40,173.65
173.65,174.19
174.19,174.34
174.34,174.62
174.62,174.81
174.81,175.08
175.08,175.31
175.31,175.50
175.50,175.62
175.62,175.81
175.81,176.01
176.01,176.45
176.45,176.68
176.68,177.72
180.86,181.10
181.10,181.53
181.53,181.62
181.62,181.96
181.96,182.18
182.18,182.69
182.69,183.02
183.02,183.32
183.32,183.39
183.39,183.83
183.83,184.09
184.09,184.35
184.35,185.66
188.15,188.43
188.43,188.93
188.93,189.12
189.12,189.36
189.36,189.55
189.55,189.79
189.79,189.97
189.97,190.26
190.26,190.43
190.43,190.68
190.68,190.75
190.75,191.23
191.23,191.47
191.47,192.89
193.07,194.61
195.63,195.83
195.83,196.30
196.30,196.44
196.44,196.76
196.76,197.04
197.04,197.46
197.46,197.79
197.79,198.06
198.06,198.13
198.13,198.62
198.62,198.83
198.83,199.09
199.09,200.11
202.97,203.20
203.20,203.71
203.71,203.87
203.87,204.18
204.18,204.38
204.38,204.62
204.62,204.80
204.80,205.05
205.05,205.15
205.15,205.46
205.46,205.54
205.54,205.98
205.98,206.21
206.21,207.33
210.39,210.64
210.64,211.05
211.05,211.16
211.16,211.47
211.47,211.79
211.79,212.20
212.20,212.52
212.52,212.88
212.88,212.97
212.97,213.36
213.36,213.64
213.64,213.88
213.88,215.28
