word_start,word_end
0.44,0.64
0.64,1.34
1.34,1.60
1.60,1.86
1.86,2.31
2.31,2.58
2.58,2.81
2.81,3.02
3.02,3.28
3.28,3.74
3.74,4.42
7.93,8.22
8.22,8.51
8.51,8.94
8.94,9.21
9.21,9.39
9.39,9.94
9.94,10.19
10.19,10.43
10.43,10.70
10.70,10.93
10.93,12.15
14.98,15.20
15.20,15.66
15.66,15.88
15.88,16.14
16.14,16.62
16.62,16.86
16.86,17.09
17.09,17.58
17.58,17.79
17.79,18.06
18.06,18.32
18.32,18.78
18.78,19.92
21.59,21.81
21.81,22.09
22.09,22.34
22.34,22.59
22.59,22.85
22.85,23.31
23.31,23.54
23.54,23.76
23.76,24.24
24.24,24.50
24.50,24.70
24.70,25.19
25.19,25.45
25.45,25.68
25.68,25.91
25.91,26.21
26.21,26.40
26.40,27.47
27.98,28.26
28.26,29.61
31.36,32.12
32.12,32.26
32.26,33.04
33.04,33.21
33.21,34.49
34.94,35.20
35.20,35.48
35.48,35.69
35.69,35.94
35.94,36.15
36.15,36.62
36.62,37.10
37.10,37.59
37.59,38.49
39.01,40.68
40.68,40.91
40.91,42.01
42.56,42.79
42.79,43.03
43.03,43.50
43.50,43.77
43.77,44.23
44.23,44.70
44.70,45.16
45.16,45.46
45.46,45.69
45.69,46.14
46.14,46.39
46.39,46.62
46.62,47.09
47.09,47.33
47.33,47.55
47.55,48.04
48.04,48.27
48.27,48.55
48.55,48.81
48.81,49.19
49.21,50.46
52.05,52.26
52.26,52.52
52.52,52.82
52.82,53.08
53.08,53.31
53.31,53.78
53.78,54.03
54.03,54.26
54.26,54.70
54.70,54.98
54.98,55.19
55.19,55.68
55.68,55.93
55.93,56.14
56.14,56.40
56.40,56.65
56.65,56.86
56.86,58.01
58.47,58.77
58.77,60.17
61.88,62.56
62.56,62.76
62.76,63.52
63.52,63.68
63.68,65.04
65.43,65.64
65.64,65.85
65.85,66.13
66.13,66.37
66.37,66.62
66.62,67.14
67.14,67.57
67.57,68.05
68.05,69.06
69.49,71.14
71.14,71.40
71.40,72.46
73.05,73.28
73.28,73.53
73.53,74.00
74.00,74.25
74.25,74.67
74.67,75.18
75.18,75.69
75.69,76.60
76.65,76.82
76.82,77.56
77.56,77.78
77.78,78.06
78.06,78.53
78.53,78.78
78.78,79.01
79.01,79.20
79.20,79.53
79.53,79.92
79.92,80.64
84.11,84.41
84.41,84.73
84.73,85.09
85.09,85.43
85.43,85.53
85.53,86.14
86.14,86.40
86.40,86.63
86.63,86.91
86.91,87.13
87.13,88.28
91.11,91.18
91.41,91.82
91.82,92.06
92.06,92.34
92.34,92.81
92.81,93.04
93.04,93.27
93.27,93.76
93.76,93.97
93.97,94.25
94.25,94.50
94.50,94.86
94.86,96.10
97.78,98.00
98.00,98.29
98.29,98.54
98.54,98.77
98.77,99.03
99.03,99.49
99.49,99.74
99.74,99.98
99.98,100.42
100.42,100.68
100.68,100.91
100.91,101.37
101.37,101.63
101.63,101.86
101.86,102.09
102.09,102.37
102.37,102.58
102.58,103.72
104.18,104.49
104.49,105.78
107.58,108.30
108.30,108.43
108.43,109.21
109.21,109.41
109.41,110.60
111.13,111.34
111.34,111.62
111.62,111.89
111.89,112.12
112.12,112.33
112.33,112.77
112.77,113.25
113.25,113.74
113.74,114.68
115.19,116.86
116.86,117.09
117.09,118.23
118.73,118.97
118.97,119.22
119.22,119.69
119.69,119.83
119.83,120.41
120.41,120.88
120.88,121.36
121.36,121.69
121.69,121.88
121.88,122.31
122.31,122.55
122.55,122.77
122.77,123.29
123.29,123.53
123.53,123.73
123.73,124.25
124.25,124.45
124.45,124.73
124.73,124.99
124.99,125.36
125.36,126.66
128.26,128.46
128.46,128.72
128.72,129.01
129.01,129.26
129.26,129.52
129.52,129.96
129.96,130.20
130.20,130.44
130.44,130.89
130.89,131.16
131.16,131.37
131.37,131.86
131.86,132.12
132.12,132.35
132.35,132.58
132.58,132.83
132.83,133.07
133.07,134.26
134.67,135.00
135.00,136.28
138.08,138.74
138.74,138.89
138.89,139.71
139.71,139.87
139.87,141.20
141.65,141.81
141.81,142.03
142.03,142.31
142.31,142.51
142.51,142.80
142.80,143.20
143.20,143.73
143.73,144.20
144.20,145.18
145.54,147.33
147.33,147.58
147.58,148.68
149.21,149.46
149.46,149.68
149.68,150.14
150.14,150.38
150.38,150.81
150.81,151.31
151.31,151.85
151.85,152.72
