word_start,word_end
9.73,9.99
9.99,10.22
10.22,10.47
10.47,10.75
10.75,11.19
11.19,11.68
11.68,12.25
13.54,13.77
13.77,14.00
14.00,14.23
14.23,14.49
14.49,14.98
14.98,16.08
17.53,17.78
17.78,18.06
18.06,18.52
18.52,19.25
19.25,19.91
21.04,21.34
21.34,21.55
21.55,21.80
21.80,22.09
22.09,22.43
22.43,23.79
25.03,25.32
25.32,25.55
25.55,26.03
26.03,27.15
32.67,32.86
32.86,33.12
33.12,33.32
33.32,33.62
33.62,34.54
36.43,36.86
36.86,37.73
40.21,40.40
40.40,40.67
40.67,40.87
40.87,41.28
41.28,42.19
43.77,44.24
44.24,44.45
44.45,44.66
44.66,45.29
47.76,47.94
47.94,48.36
48.36,48.61
48.61,49.79
55.10,55.36
55.36,55.53
55.53,55.78
55.78,56.05
56.05,56.51
56.51,57.02
57.02,57.67
58.84,59.09
59.09,59.31
59.31,59.59
59.59,59.80
59.80,60.28
60.28,61.49
62.90,63.13
63.13,63.38
63.38,63.89
63.89,64.53
64.53,65.28
66.26,66.45
66.45,66.71
66.71,66.94
66.94,67.18
67.18,67.38
67.38,67.66
67.66,69.33
70.17,70.42
70.42,70.66
70.66,71.42
71.42,72.55
74.35,74.97
74.97,75.55
78.01,78.24
78.24,78.49
78.49,78.67
78.67,80.12
81.82,82.00
82.00,82.28
82.28,82.47
82.47,84.96
85.33,85.57
85.57,85.82
85.82,86.07
86.07,86.29
86.29,86.74
86.74,87.26
87.26,87.86
89.11,89.34
89.34,89.54
89.54,89.81
89.81,90.04
90.04,90.53
90.53,91.71
93.13,93.35
93.35,93.66
93.66,94.07
94.07,94.78
94.78,95.48
96.53,96.91
96.91,97.15
97.15,97.40
97.40,97.71
97.71,98.03
98.03,99.40
100.68,100.89
100.89,101.12
101.12,101.35
101.35,102.05
