word_start,word_end
5.99,6.52
6.52,7.64
7.75,8.03
8.03,8.43
8.43,9.39
9.77,10.03
10.03,10.28
10.28,10.67
10.67,10.94
10.94,11.26
11.26,11.40
11.40,11.70
11.70,11.98
11.98,12.48
12.48,13.04
13.95,15.43
15.69,15.97
15.97,16.25
16.25,16.48
16.48,17.33
17.71,18.25
18.25,18.46
18.46,18.76
18.76,18.97
18.97,19.13
19.13,19.34
19.34,19.71
19.71,19.99
19.99,20.27
20.27,21.39
21.69,21.96
21.96,22.74
22.74,23.01
23.01,23.73
23.73,23.90
23.90,24.64
24.80,25.01
25.01,25.22
25.22,25.36
25.36,25.72
25.72,25.98
25.98,27.30
27.98,28.23
28.23,28.49
28.49,29.42
30.79,31.02
31.02,31.76
31.76,31.94
31.94,32.69
32.81,33.01
33.01,33.23
33.23,33.38
33.38,33.76
33.76,33.99
33.99,35.04
35.55,36.01
36.01,36.29
36.29,36.54
36.54,37.31
37.71,37.82
37.82,37.94
37.94,38.05
38.05,38.33
38.33,38.57
38.57,39.32
40.05,40.29
40.29,40.56
40.56,41.23
42.00,42.28
42.28,42.53
42.53,43.00
43.00,43.65
44.00,44.26
44.26,44.49
44.49,44.92
45.99,46.23
46.23,46.46
46.46,47.10
47.94,48.21
48.21,48.48
48.48,49.17
49.94,50.20
50.20,50.47
50.47,50.94
50.94,53.64
53.64,54.49
77.76,77.99
77.99,78.31
78.31,79.33
79.52,79.78
79.78,80.03
80.03,80.26
80.26,80.91
81.54,81.73
81.73,81.96
81.96,82.22
82.22,82.48
82.48,82.72
82.72,82.93
82.93,83.10
83.10,83.54
83.54,83.75
83.75,83.96
83.96,84.26
84.26,84.92
85.72,87.31
87.48,87.72
87.72,88.01
88.01,88.17
88.17,89.17
89.43,89.95
89.95,90.18
90.18,90.46
90.46,90.66
90.66,90.85
90.85,91.04
91.04,91.43
91.43,91.69
91.69,91.94
91.94,93.08
93.33,93.61
93.61,94.21
94.33,94.57
94.57,95.27
95.27,95.41
95.41,96.09
96.26,96.42
96.42,96.66
96.66,96.86
96.86,97.12
97.12,97.38
97.38,98.75
100.76,101.08
101.08,101.32
101.32,102.64
103.20,104.55
104.94,105.28
105.28,105.52
105.52,106.73
107.31,107.61
107.61,107.85
107.85,110.13
144.07,144.53
144.53,145.23
145.23,147.11
147.11,147.89
147.89,148.87
148.87,150.04
150.75,151.59
151.59,151.98
151.98,152.75
153.15,153.46
153.46,153.68
153.68,154.36
157.74,158.46
158.46,160.68
160.68,161.88
