word_start,word_end
8.77,8.87
8.87,9.05
9.05,9.10
9.10,9.38
9.38,9.69
9.69,9.97
9.97,10.16
10.16,10.29
10.29,10.55
10.55,11.13
11.13,11.32
11.32,11.47
11.47,11.64
11.64,11.91
11.91,12.08
12.08,12.42
12.42,12.84
13.40,13.64
13.64,13.92
13.92,14.19
14.19,14.58
14.58,14.86
14.86,15.14
15.14,15.71
15.71,15.89
15.89,16.00
16.00,16.16
16.16,16.44
16.44,16.72
16.72,16.97
16.97,17.41
18.69,18.88
18.88,19.13
19.13,19.31
19.31,19.46
19.46,19.72
19.72,19.92
19.92,20.29
20.29,20.44
20.44,20.60
20.60,20.84
20.84,20.94
20.94,21.98
23.13,23.22
23.22,23.43
23.43,23.65
23.65,23.82
23.82,23.98
23.98,24.43
24.43,24.77
24.77,25.00
25.00,25.08
25.08,25.56
25.56,25.87
25.87,26.14
26.14,26.59
27.70,27.93
27.93,28.18
28.18,28.33
28.33,28.56
28.56,28.77
28.77,29.00
29.00,29.27
29.27,29.42
29.42,29.70
29.70,29.91
29.91,30.05
30.05,30.32
30.32,30.74
30.74,31.45
32.32,32.60
32.60,32.83
32.83,32.96
32.96,33.32
33.32,33.55
33.55,33.88
33.88,34.18
34.18,34.73
40.73,40.94
40.94,41.12
41.12,41.31
41.31,41.56
41.56,41.98
41.98,42.13
42.13,42.23
42.23,42.47
42.47,42.70
42.70,43.03
43.03,43.19
43.19,43.40
43.40,43.57
43.57,43.81
43.81,44.12
44.12,44.39
44.39,44.76
45.37,45.57
45.57,45.87
45.87,46.16
46.16,46.48
46.48,46.72
46.72,46.99
46.99,47.19
47.19,47.67
47.67,47.85
47.85,48.14
48.14,48.41
48.41,48.67
48.67,48.99
48.99,49.52
50.57,50.83
50.83,51.10
51.10,51.24
51.24,51.37
51.37,51.65
51.65,51.87
51.87,52.27
52.27,52.41
52.41,52.59
52.59,52.87
52.87,53.03
53.03,54.01
55.06,55.16
55.16,55.42
55.42,55.67
55.67,55.84
55.84,56.00
56.00,56.44
56.44,56.76
56.76,56.99
56.99,57.13
57.13,57.56
57.56,57.84
57.84,58.21
58.21,58.52
59.70,59.91
59.91,60.18
60.18,60.35
60.35,60.48
60.48,60.69
60.69,61.00
61.00,61.30
61.30,61.41
61.41,61.67
61.67,61.88
61.88,62.04
62.04,62.37
62.37,62.67
62.67,63.41
64.29,64.51
64.51,64.83
64.83,64.99
64.99,65.27
65.27,65.57
65.57,65.87
65.87,66.15
66.15,66.79
69.12,69.76
70.35,70.56
70.56,70.92
71.14,71.60
71.60,71.82
71.82,72.12
72.12,72.41
72.41,72.72
72.72,73.21
73.72,73.98
73.98,74.41
74.90,75.17
75.17,75.49
75.74,75.99
75.99,76.32
76.32,76.62
76.62,76.81
76.81,77.04
77.04,77.32
77.32,77.67
78.32,78.99
79.45,79.64
79.64,80.08
80.24,80.74
80.74,80.95
80.95,81.38
81.38,81.59
81.59,81.88
81.88,82.33
82.84,83.12
83.12,83.62
84.03,84.26
84.26,84.62
84.80,85.11
85.11,85.42
85.42,85.75
85.75,85.82
85.82,86.14
86.14,86.44
86.44,87.22
123.99,124.27
124.27,124.74
125.17,125.43
125.43,125.89
126.33,126.57
126.57,126.99
127.43,127.73
127.73,128.07
128.56,128.86
128.86,129.45
129.76,130.01
130.01,130.41
130.91,131.16
131.16,131.53
132.00,132.30
132.30,132.63
133.09,133.45
133.45,133.93
134.32,134.62
134.62,135.02
135.48,135.76
135.76,136.14
136.57,136.85
136.85,137.26
137.73,138.03
138.03,138.51
138.92,139.20
139.20,139.57
140.03,140.33
140.33,140.77
141.11,141.46
141.46,141.93
151.43,152.22
152.59,152.81
152.81,153.26
153.41,153.85
153.85,154.05
154.05,154.57
154.57,154.73
154.73,155.00
155.00,155.54
155.96,156.25
156.25,156.69
157.17,157.42
157.42,157.78
157.96,158.22
158.22,158.58
158.58,158.82
158.82,158.89
158.89,159.30
159.30,159.55
159.55,160.23
160.58,161.41
161.72,161.94
161.94,162.37
162.56,163.02
163.02,163.20
163.20,163.58
163.58,163.88
163.88,164.13
164.13,164.82
165.13,165.42
165.42,165.94
166.32,166.62
166.62,166.97
167.15,167.39
167.39,167.73
167.73,168.04
168.04,168.20
168.20,168.45
168.45,168.71
168.71,169.27
