word_start,word_end
10.05,10.54
10.54,10.77
10.77,11.13
11.13,11.64
12.60,12.94
12.94,13.21
13.21,14.38
14.96,15.09
15.09,15.44
15.44,15.72
15.72,16.14
16.14,16.29
16.29,16.91
17.53,17.88
17.88,18.18
18.18,18.76
18.76,19.28
19.97,20.53
20.53,20.88
20.88,21.40
22.43,22.69
22.69,23.36
23.36,24.12
24.73,24.84
24.84,25.39
25.39,25.96
25.96,26.63
27.23,27.35
27.35,27.63
27.63,28.39
28.39,29.38
29.88,30.04
30.04,30.23
30.23,30.55
30.55,31.14
31.14,32.21
32.34,32.51
32.51,32.99
32.99,33.46
33.46,33.60
33.60,33.90
33.90,34.91
36.01,36.33
36.33,36.64
36.64,37.29
37.29,37.58
37.85,38.15
38.45,38.87
38.87,39.30
39.68,39.84
39.84,40.03
40.03,40.35
40.35,40.78
40.93,42.06
42.16,42.30
42.30,42.74
42.74,43.21
43.21,43.39
43.39,43.70
43.70,44.68
45.79,46.11
46.11,46.42
46.42,47.09
47.09,47.43
47.63,47.96
48.27,48.71
48.71,49.07
58.33,58.66
58.66,58.85
58.85,59.27
59.27,59.91
59.91,60.52
60.52,60.85
60.85,61.14
61.14,61.82
62.36,63.00
63.27,63.56
63.56,63.76
63.76,63.87
63.87,64.20
64.20,64.48
64.48,64.80
64.80,64.99
64.99,65.27
65.27,65.43
65.43,65.76
65.76,66.01
66.01,66.47
66.47,66.76
67.12,67.68
67.68,67.98
68.80,69.31
69.31,69.56
69.56,69.93
69.93,70.31
71.44,71.72
71.72,72.00
72.00,73.16
73.68,73.85
73.86,74.23
74.23,74.48
74.48,74.93
74.93,75.06
75.06,75.61
76.26,76.73
76.73,76.92
76.92,77.52
77.52,78.13
78.76,79.34
79.34,79.68
79.68,80.12
81.21,81.46
81.46,82.11
82.11,82.96
83.49,83.63
83.63,84.18
84.18,84.67
84.67,85.39
85.94,86.12
86.12,86.42
86.42,87.14
87.14,88.05
88.65,88.78
88.78,88.99
88.99,89.34
89.34,89.90
89.90,90.99
91.13,91.26
91.26,91.76
91.76,92.22
92.22,92.36
92.36,92.65
92.65,93.52
94.75,95.10
95.10,95.36
95.36,96.08
96.08,96.40
96.63,96.91
97.21,97.63
97.63,98.04
98.48,98.59
98.59,98.79
98.79,99.07
99.07,99.57
99.70,100.73
100.93,101.07
101.07,101.53
101.53,101.96
101.96,102.11
102.11,102.46
102.46,103.37
104.55,104.89
104.89,105.20
105.20,105.87
105.87,106.17
106.43,106.74
107.01,107.45
107.45,107.84
117.13,117.44
117.44,117.58
117.58,118.09
118.09,118.69
118.69,119.29
119.29,119.62
119.62,119.90
119.90,120.64
121.13,121.85
122.03,122.34
122.34,122.53
122.53,122.64
122.64,122.96
122.96,123.29
123.29,123.57
123.57,123.75
123.75,124.00
124.00,124.17
124.17,124.51
124.51,124.63
124.63,125.24
125.24,125.52
125.90,126.51
126.51,126.84
129.07,129.44
129.44,129.70
129.70,130.38
130.93,131.60
133.99,134.28
134.28,134.45
134.45,135.08
135.08,135.38
135.70,136.29
136.29,136.59
138.88,139.22
139.22,139.49
139.49,140.14
140.72,141.40
141.61,141.94
141.94,142.12
142.12,142.23
142.23,142.54
142.54,142.86
142.86,143.16
143.16,143.35
143.35,143.60
143.60,143.79
143.79,144.14
144.14,144.37
144.37,144.84
144.84,145.21
145.49,146.04
146.04,146.39
