word_start,word_end
15.72,15.90
15.90,15.95
15.95,16.23
16.23,16.95
17.53,17.66
17.66,17.76
17.76,17.99
17.99,18.19
18.19,19.24
19.46,19.57
19.57,19.69
19.69,19.90
19.90,19.99
19.99,20.46
20.46,20.92
20.92,21.38
21.38,21.59
21.59,22.13
22.13,22.57
22.57,23.05
23.27,23.37
23.37,23.54
23.54,23.62
23.62,24.22
24.22,24.80
25.10,25.22
25.22,25.48
25.48,25.85
25.85,26.56
26.98,27.05
27.05,27.21
27.21,27.47
27.47,27.68
27.68,28.26
28.26,28.80
28.80,29.39
29.39,29.58
29.58,29.86
29.86,30.58
30.58,35.53
37.12,42.59
45.95,46.08
46.08,46.21
46.21,46.46
46.46,46.69
46.69,47.67
47.78,47.91
47.91,48.05
48.05,48.46
48.46,49.48
49.73,49.83
49.83,49.95
49.95,50.20
50.20,50.43
50.43,50.71
50.71,51.57
51.57,51.87
51.87,52.34
52.34,53.58
53.58,53.70
53.70,53.78
53.78,54.01
54.01,55.07
55.35,55.63
55.63,55.89
55.89,56.32
56.32,57.18
57.28,57.41
57.41,57.53
57.53,57.79
57.79,58.00
58.00,58.23
58.23,58.46
58.46,58.95
58.95,59.18
59.18,59.43
59.43,59.67
59.67,61.10
61.10,65.70
67.47,72.54
75.97,77.60
78.08,78.55
78.55,78.78
78.78,79.29
79.29,79.76
79.76,81.34
81.87,82.33
82.33,82.54
82.54,83.05
83.05,83.52
83.52,85.23
85.63,86.10
86.10,86.28
86.28,86.82
86.82,87.28
87.28,88.33
91.06,92.90
93.20,93.69
93.69,93.92
93.92,94.41
94.41,94.87
94.87,96.60
96.99,97.47
97.47,97.68
97.68,98.19
98.19,98.68
98.68,100.38
100.79,101.23
101.23,101.47
101.47,101.98
101.98,102.42
102.42,103.59
106.41,106.58
106.58,106.72
106.72,107.98
108.25,108.90
108.90,109.34
109.34,110.17
110.17,110.28
110.28,110.46
110.46,110.58
110.58,110.91
110.91,111.49
111.59,111.80
111.80,111.98
111.98,112.30
112.30,112.53
112.53,113.59
113.96,114.07
114.07,114.24
114.24,114.42
114.42,114.68
114.68,114.89
114.89,115.86
115.86,116.12
116.12,116.37
116.37,116.84
116.84,117.61
117.74,117.87
117.87,118.00
118.00,118.16
118.16,118.39
118.39,118.50
118.50,118.67
118.67,119.21
119.21,119.41
119.41,119.62
119.62,119.88
119.88,120.21
120.60,121.09
121.09,121.43
122.25,123.45
123.45,123.71
123.71,123.94
123.94,124.17
124.17,124.41
124.41,124.64
124.64,124.91
124.91,125.28
126.06,127.22
127.22,127.44
127.44,127.70
127.70,127.89
127.89,128.16
128.16,128.40
128.40,128.70
128.70,129.01
129.82,131.00
131.00,131.26
131.26,131.47
131.47,131.67
131.67,131.93
131.93,132.18
132.18,132.63
132.63,133.83
136.24,136.50
137.39,138.52
138.52,138.78
138.78,139.01
139.01,139.22
139.22,139.46
139.46,139.75
139.75,140.01
140.01,140.42
141.15,142.31
142.31,142.54
142.54,142.78
142.78,142.99
142.99,143.26
143.26,143.52
143.52,143.75
143.75,144.11
144.96,146.12
146.12,146.37
146.37,146.61
146.61,146.81
146.81,147.07
147.07,147.30
147.30,147.65
147.65,149.03
151.52,153.00
153.43,153.98
154.23,155.31
155.31,156.01
156.22,156.72
157.04,157.79
158.12,163.81
166.62,168.21
168.53,169.19
169.37,170.43
170.43,170.96
171.36,171.87
172.33,177.99
181.76,183.66
183.92,184.40
184.40,184.61
184.61,185.10
185.10,185.59
185.59,187.33
187.70,188.17
188.17,188.37
188.37,188.89
188.89,189.37
189.37,191.19
191.46,191.93
191.93,192.11
192.11,192.65
192.65,193.11
193.11,194.45
195.20,195.48
195.48,195.75
195.75,195.94
195.94,196.19
196.19,196.38
196.38,196.87
196.87,198.62
198.99,199.47
199.47,199.68
199.68,200.19
200.19,200.68
200.68,202.41
202.84,203.28
203.28,203.51
203.51,204.00
204.00,204.47
204.47,206.17
206.58,207.04
207.04,207.25
207.25,207.79
207.79,208.20
208.20,210.29
210.29,210.54
210.54,210.79
210.79,211.03
211.03,211.28
211.28,211.53
211.53,212.15
