word_start,word_end
79.78,80.22
80.22,81.23
81.23,81.70
81.70,82.52
82.80,83.41
83.41,84.99
86.61,87.00
87.00,87.26
87.26,88.16
88.16,88.53
88.53,89.26
89.67,90.03
90.03,90.25
90.25,92.64
93.50,93.92
93.92,94.26
94.26,94.65
94.65,95.54
95.54,96.32
96.52,96.93
96.93,97.55
97.55,98.04
98.04,99.23
100.35,100.71
100.71,101.08
101.08,101.85
101.85,102.24
102.24,103.16
103.16,106.87
117.47,117.78
117.78,118.63
119.00,119.38
119.38,120.46
120.90,121.11
121.11,121.45
121.45,121.97
121.97,122.47
122.47,123.80
131.22,131.63
131.63,132.31
132.74,133.12
133.12,134.09
134.63,134.98
134.98,135.53
135.53,136.09
136.09,136.44
136.44,137.45
137.45,143.97
144.91,145.25
145.25,145.87
146.42,146.69
146.69,147.77
148.33,148.70
148.70,148.99
148.99,149.39
149.39,150.20
150.20,150.62
150.62,151.00
151.34,153.76
158.64,159.02
159.02,159.28
159.28,159.75
160.18,160.50
160.50,160.97
160.97,161.55
162.07,162.40
162.40,162.66
162.66,163.09
163.09,163.96
163.96,164.54
164.54,171.69
172.64,172.92
172.92,173.15
173.15,173.64
173.64,173.84
173.84,174.38
174.38,174.60
174.60,175.42
175.42,177.17
177.83,178.37
178.37,179.37
179.37,179.91
179.91,184.52
180.28,180.46
180.46,181.19
181.19,181.76
181.76,181.95
181.95,182.67
182.67,183.24
183.24,183.43
183.43,184.18
184.18,184.71
184.76,184.95
184.95,185.94
185.94,186.75
186.27,186.46
186.46,187.22
187.22,187.80
187.80,187.99
187.99,188.70
188.70,189.24
189.24,189.47
189.47,190.19
190.19,190.73
190.73,190.93
190.93,191.49
191.49,191.91
191.91,192.89
192.28,192.47
192.47,193.18
193.18,193.79
193.79,194.01
194.01,194.71
194.71,195.25
195.25,195.46
195.46,196.15
196.15,196.76
196.76,196.99
196.99,197.52
197.52,197.91
197.91,198.32
198.32,198.50
198.50,199.17
199.17,199.78
199.78,199.97
199.97,200.71
200.71,201.24
201.24,201.43
201.43,202.20
202.20,202.73
202.73,202.92
202.92,203.30
203.30,203.47
203.47,203.87
203.87,205.15
204.55,204.66
204.66,204.89
204.89,204.99
204.99,205.12
205.12,205.51
205.51,206.35
206.35,206.65
206.65,207.00
207.26,207.61
207.61,207.79
207.79,208.18
208.18,208.98
208.98,210.31
210.67,210.85
210.85,211.65
211.65,211.97
211.97,212.32
212.32,212.85
212.85,213.77
214.40,214.78
214.78,215.18
215.18,221.49
240.24,240.44
240.44,241.16
241.16,241.76
241.76,241.95
241.95,242.67
242.67,243.22
243.22,243.41
243.41,244.15
244.15,244.73
244.73,244.97
244.97,245.87
245.87,246.68
246.24,246.48
246.48,247.17
247.17,247.78
247.78,247.94
247.94,248.66
248.66,249.26
249.26,249.42
249.42,250.14
250.14,250.72
250.72,250.98
250.98,251.47
251.47,251.86
251.86,252.82
252.23,252.42
252.42,253.14
253.14,253.74
253.74,254.09
254.09,254.67
254.67,255.25
255.25,255.41
255.41,256.16
256.16,256.69
256.69,256.95
256.95,257.46
257.46,257.86
257.86,258.22
258.22,258.48
258.48,259.18
259.18,259.76
259.76,259.97
259.97,260.66
260.66,261.24
261.24,261.39
261.39,262.13
262.13,262.71
262.71,262.90
262.90,263.22
263.22,263.39
263.39,263.80
263.80,265.72
264.20,264.43
264.43,265.12
265.12,265.77
265.77,265.98
265.98,266.64
266.64,267.24
267.24,267.44
267.44,268.09
268.09,268.77
268.77,268.97
268.97,269.85
269.85,270.50
270.23,270.46
270.46,271.13
271.13,271.76
271.76,271.92
271.92,272.67
272.67,273.25
273.25,273.39
273.39,274.13
274.13,274.69
274.69,274.90
274.90,275.41
275.41,275.87
275.87,276.97
276.24,276.41
276.41,277.15
277.15,277.73
277.73,277.91
277.91,278.66
278.66,279.24
279.24,279.40
279.40,280.12
280.12,280.70
280.70,280.93
280.93,281.47
281.47,281.88
281.88,282.28
282.28,282.46
282.46,283.16
283.16,283.72
283.72,283.91
283.91,284.56
284.56,285.23
285.23,285.39
285.39,286.13
286.13,286.67
286.67,286.92
286.92,287.22
287.22,287.48
287.48,287.80
287.80,290.61
