word_start,word_end
0.72,1.06
1.06,1.28
1.28,1.62
1.62,1.97
1.97,3.13
3.40,3.68
3.68,4.06
4.06,4.27
4.27,4.62
4.62,5.00
5.00,6.05
6.19,6.38
6.38,6.69
6.69,7.23
7.23,7.61
7.61,7.96
7.96,9.15
9.45,9.63
9.63,9.84
9.84,10.13
10.13,10.74
10.74,11.10
11.10,12.85
15.49,15.69
15.69,15.95
15.95,16.50
16.50,16.72
16.72,18.86
22.31,22.48
22.48,22.81
22.81,23.31
23.31,24.06
24.06,24.27
24.27,24.56
24.56,24.97
24.97,25.28
25.28,26.33
28.05,28.70
28.70,29.07
29.07,30.10
30.10,30.44
30.44,30.84
30.84,31.04
31.04,31.38
31.38,31.68
31.68,33.11
33.76,34.29
34.29,34.48
34.48,34.76
34.76,35.50
36.26,36.55
36.55,36.80
36.80,37.18
37.18,37.52
37.52,38.50
39.98,40.14
40.14,40.51
40.51,41.42
41.42,42.00
42.00,42.48
42.48,42.85
42.85,43.11
43.11,44.38
46.99,47.31
47.31,47.52
47.52,47.83
47.83,48.18
48.18,49.18
49.40,49.74
49.74,50.05
50.05,50.30
50.30,50.60
50.60,50.98
50.98,51.73
52.09,52.21
52.21,52.56
52.56,53.09
53.09,53.43
53.43,53.75
53.75,54.87
55.21,55.35
55.35,55.53
55.53,55.82
55.82,56.41
56.41,56.74
56.74,58.58
60.90,61.11
61.11,61.41
61.41,61.99
61.99,62.21
62.21,63.88
67.61,67.78
67.78,68.17
68.17,68.63
68.63,69.36
69.36,69.58
69.58,69.79
69.79,70.25
70.25,70.54
70.54,71.53
73.30,73.96
73.96,74.29
74.29,75.41
75.41,75.70
75.70,76.07
76.07,76.25
76.25,76.62
76.62,76.91
76.91,78.30
78.91,79.28
79.28,79.61
79.61,79.92
79.92,80.72
81.38,81.71
81.71,81.96
81.96,82.33
82.33,82.61
82.61,83.66
84.97,85.25
85.25,85.65
85.65,86.46
86.46,86.99
86.99,87.53
87.53,87.92
87.92,88.11
88.11,89.44
90.55,90.84
90.84,91.89
91.89,92.10
92.10,93.02
93.02,93.61
93.61,93.92
93.92,94.64
94.64,94.86
94.86,95.16
95.16,95.85
96.05,96.53
96.53,97.42
97.42,97.65
97.65,97.93
97.93,98.60
98.60,99.01
99.01,99.32
99.32,99.83
99.83,99.98
99.98,100.32
100.32,100.63
100.63,101.19
101.19,101.42
101.42,101.68
101.68,102.00
102.00,102.90
102.90,103.13
103.13,103.43
103.43,103.77
103.77,104.08
104.08,105.12
106.96,107.15
107.15,107.41
107.41,108.35
108.35,108.52
108.52,108.75
108.75,109.17
109.17,109.49
109.49,110.52
121.77,121.98
121.98,122.26
122.26,122.79
122.79,123.14
123.14,125.09
127.23,127.39
127.39,127.67
127.67,128.21
128.21,128.47
128.47,130.32
133.84,134.00
134.00,134.38
134.38,134.81
134.81,135.58
135.58,135.79
135.79,135.97
135.97,136.45
136.45,136.72
136.72,137.99
139.86,140.07
140.07,140.27
140.27,141.21
141.21,141.28
141.28,141.60
141.60,142.02
142.02,142.37
142.37,143.84
146.18,146.85
146.85,146.98
146.98,147.27
147.27,147.73
147.73,148.03
148.03,149.09
151.05,151.29
151.29,151.56
151.56,152.49
152.49,152.70
152.70,152.97
152.97,153.38
153.38,153.65
153.65,155.28
158.15,158.50
158.50,158.64
158.64,158.99
158.99,159.29
159.29,160.34
160.50,160.73
160.73,161.05
161.05,161.29
161.29,161.64
161.64,162.00
162.00,162.84
163.05,163.19
163.19,163.47
163.47,164.03
164.03,164.35
164.35,164.68
164.68,165.56
166.02,166.16
166.16,166.35
166.35,166.62
166.62,167.20
167.20,167.53
167.53,169.48
170.83,171.04
171.04,171.34
171.34,171.95
171.95,172.22
172.22,173.62
