word_start,word_end
13.91,14.09
14.09,14.83
14.83,15.46
15.46,16.32
17.37,18.65
18.65,19.09
19.09,20.13
21.29,22.17
22.17,22.61
22.61,23.47
23.47,23.68
23.68,24.00
24.00,24.32
24.61,24.84
24.84,25.26
25.26,25.72
25.72,26.17
26.17,27.17
28.21,28.44
28.44,28.75
28.75,29.24
29.24,29.67
29.67,30.85
31.26,31.48
31.48,32.27
32.27,33.02
33.02,33.26
33.26,34.48
35.32,35.42
35.42,36.36
36.36,36.73
36.73,37.75
38.05,38.56
38.56,39.44
39.44,40.72
42.51,43.21
43.21,43.77
43.77,44.99
45.95,46.85
46.85,47.23
47.23,48.23
49.20,49.36
49.36,49.92
49.92,50.34
50.34,50.78
50.78,51.64
51.64,52.12
52.12,52.31
52.31,52.98
52.98,53.91
53.91,55.05
56.40,57.07
57.07,57.63
57.63,58.28
58.58,58.81
58.81,59.46
59.46,59.62
59.62,60.44
60.44,61.08
61.08,61.32
61.32,62.13
62.43,62.69
62.69,63.38
63.38,64.54
64.54,65.10
65.10,65.54
65.95,66.10
66.10,66.34
66.34,68.52
69.25,71.54
73.75,74.30
74.30,74.69
74.69,75.07
75.07,76.41
77.01,77.83
77.83,78.04
78.04,78.50
78.50,79.66
80.64,80.87
80.87,81.29
81.29,81.78
81.78,82.17
82.17,83.36
83.93,84.85
84.85,85.27
85.27,85.65
85.65,86.70
87.65,87.86
87.86,88.34
88.34,88.69
88.69,89.04
89.04,89.71
90.09,90.48
90.48,90.84
90.84,91.69
91.69,92.26
92.26,92.50
92.50,93.69
94.57,94.80
94.80,95.61
95.61,96.10
96.10,96.95
96.95,97.04
97.04,97.46
97.46,97.82
98.26,98.73
98.73,99.07
99.07,99.55
99.55,100.45
101.69,102.39
102.39,103.00
103.00,104.11
105.29,106.20
106.20,106.64
106.64,107.77
108.66,108.82
108.82,109.31
109.31,109.71
109.71,110.19
110.19,111.09
111.09,111.59
111.59,111.77
111.77,112.44
112.44,113.44
113.44,114.49
115.86,116.55
116.55,117.09
117.09,117.78
117.99,118.23
118.23,118.92
118.92,119.13
119.13,119.89
119.89,120.55
120.55,120.81
120.81,121.39
121.92,122.17
122.17,122.78
122.78,124.03
124.03,124.66
124.66,125.05
125.37,125.63
125.63,125.86
125.86,128.21
128.83,131.65
161.25,161.92
161.92,162.56
162.56,163.78
164.68,165.61
165.61,166.00
166.00,166.97
168.10,168.26
168.26,168.73
168.73,169.26
169.26,169.63
169.63,170.49
170.49,170.93
170.93,171.19
171.19,171.83
171.83,172.95
172.95,174.07
175.32,176.02
176.02,176.61
176.61,177.42
177.50,177.73
177.73,178.38
178.38,178.57
178.57,179.38
179.38,180.10
180.10,180.33
180.33,181.02
181.40,181.66
181.66,182.33
182.33,183.54
183.54,184.06
184.06,184.56
184.89,185.09
185.09,185.32
185.32,187.75
188.31,191.09
