word_start,word_end
13.68,14.68
14.68,14.87
14.87,15.80
16.94,17.60
17.60,18.08
18.08,18.29
18.29,18.50
18.50,19.58
20.78,20.94
20.94,21.33
21.33,21.62
21.62,21.75
21.75,21.92
21.92,22.20
22.20,22.47
22.47,22.60
22.60,22.70
22.70,23.00
23.14,23.27
23.27,23.39
23.39,23.58
23.58,23.87
23.87,23.98
23.98,24.24
24.24,24.64
24.64,24.98
24.98,25.17
25.17,25.61
27.16,27.28
27.28,27.66
27.66,28.15
28.15,28.37
28.37,29.43
30.51,30.67
30.67,31.09
31.09,31.41
31.41,31.53
31.53,31.80
31.80,32.17
32.17,33.21
34.48,34.76
34.76,34.90
34.90,35.10
35.10,35.59
35.59,35.73
35.73,35.85
35.85,36.43
36.43,36.57
36.57,36.66
36.66,36.75
36.75,37.18
37.21,37.33
37.33,37.62
37.62,38.11
38.11,38.39
38.39,38.66
38.66,39.08
39.08,39.31
39.31,39.62
41.28,41.41
41.41,41.82
41.82,42.10
42.10,42.41
42.41,42.65
42.65,42.97
42.97,43.27
43.27,43.50
43.74,44.16
44.16,44.32
44.32,44.89
45.41,45.55
45.55,45.86
45.86,45.95
45.95,46.39
46.39,46.62
46.62,46.85
46.85,47.25
47.25,47.46
47.46,47.76
48.64,48.80
48.80,49.03
49.03,49.57
49.57,49.89
49.89,50.14
50.27,50.70
50.70,51.47
51.47,51.76
52.05,52.31
52.31,52.46
52.46,52.71
52.71,52.87
52.87,53.10
53.10,53.26
53.26,53.51
53.51,53.67
53.67,53.77
53.77,54.05
54.28,54.37
54.37,54.59
54.59,54.73
54.73,54.83
54.83,55.15
55.15,55.39
55.39,55.79
55.79,55.95
55.95,56.38
56.38,56.74
56.74,56.98
56.98,57.42
57.42,57.56
57.56,57.77
57.77,58.05
58.05,58.36
58.36,58.58
58.58,58.95
58.95,59.13
59.13,59.37
59.37,59.91
59.91,60.09
60.09,60.51
60.55,60.67
60.67,61.75
63.15,63.52
63.52,63.96
63.96,64.22
64.22,64.75
64.80,65.20
65.20,65.54
65.54,65.82
65.82,66.38
67.08,67.22
67.22,67.43
67.43,67.59
67.59,68.20
68.20,68.42
68.42,68.80
68.80,69.00
69.00,69.44
69.44,69.61
69.61,69.86
69.86,70.02
70.02,70.44
70.44,70.65
70.65,71.18
71.18,71.25
71.25,71.47
71.47,71.63
71.63,72.00
72.00,72.23
72.23,72.72
73.02,73.20
73.20,80.02
