word_start,word_end
5.43,5.58
5.58,5.80
5.80,6.80
7.22,7.48
7.48,7.78
7.78,8.34
9.64,9.91
9.91,10.24
10.24,10.43
10.43,11.02
12.65,13.17
13.17,13.44
13.44,13.70
13.70,14.20
15.70,15.89
15.89,16.25
16.25,16.61
16.61,16.70
16.70,17.09
17.09,17.54
17.54,17.96
17.96,18.09
18.09,18.77
18.77,19.19
19.19,19.36
19.36,19.60
19.60,19.83
19.83,20.09
20.09,20.39
20.39,20.56
20.56,20.74
20.74,21.48
23.10,23.32
23.32,23.72
23.72,23.98
23.98,24.54
26.01,26.05
26.05,26.57
26.57,26.91
26.91,27.38
27.38,27.77
27.77,28.27
28.27,28.45
28.45,29.76
31.02,31.66
31.66,32.11
32.11,32.53
32.53,33.06
33.06,33.39
33.39,33.58
33.58,34.56
38.91,38.98
38.98,39.27
39.27,39.54
39.54,39.88
39.88,40.09
40.09,40.65
40.65,41.25
41.52,41.89
41.89,41.98
41.98,42.43
42.43,42.66
42.66,43.33
43.33,43.72
43.97,44.39
44.39,44.95
44.95,46.14
49.14,49.28
49.28,49.57
49.57,49.87
49.87,50.15
50.15,50.40
50.40,50.68
50.68,51.03
51.03,51.59
51.90,52.13
52.13,52.35
52.35,52.91
52.91,53.40
53.40,53.73
53.73,54.22
54.35,54.69
54.69,55.41
55.58,55.93
55.93,56.70
56.87,57.23
57.23,59.15
66.77,66.94
66.94,67.11
67.11,68.00
68.52,68.76
68.76,69.07
69.07,69.77
70.91,71.04
71.04,71.37
71.37,71.89
71.89,72.64
74.01,74.49
74.49,74.86
74.86,76.71
76.97,77.20
77.20,77.47
77.47,77.92
78.28,78.50
78.50,78.71
78.71,79.40
79.64,79.81
79.81,79.99
79.99,80.15
80.15,80.53
80.53,80.72
80.72,81.01
81.01,81.27
81.27,81.48
81.48,81.73
81.73,82.04
82.04,82.20
82.20,82.34
82.34,83.22
83.84,84.59
84.59,85.24
85.24,85.92
85.92,86.55
87.23,87.28
87.28,87.72
87.72,88.06
88.06,88.49
88.49,88.96
88.96,89.51
89.51,89.66
89.66,90.73
92.43,93.00
93.00,93.43
93.43,93.82
93.82,94.34
94.34,94.70
94.70,94.91
94.91,95.93
100.14,100.24
100.24,100.55
100.55,100.81
100.81,101.14
101.14,101.40
101.40,101.94
101.94,102.51
102.76,103.14
103.14,103.24
103.24,103.69
103.69,103.92
103.92,104.59
104.59,105.01
105.18,105.61
105.61,106.22
106.22,107.30
110.43,110.53
110.53,110.86
110.86,111.10
111.10,111.36
111.36,111.67
111.67,111.96
111.96,112.29
112.29,112.81
113.13,113.38
113.38,113.59
113.59,114.17
114.17,114.65
114.65,115.03
115.03,115.49
115.67,116.01
116.01,116.63
116.87,117.27
117.27,117.96
118.19,118.56
118.56,120.44
161.40,161.49
161.49,161.78
161.78,162.04
162.04,162.38
162.38,162.61
162.61,163.21
163.21,163.74
164.01,164.37
164.37,164.52
164.52,164.93
164.93,165.17
165.17,165.80
165.80,166.23
166.51,166.90
166.90,167.43
167.43,168.49
171.74,171.82
171.82,172.10
172.10,172.41
172.41,172.67
172.67,172.94
172.94,173.22
173.22,173.53
173.53,174.08
174.37,174.62
174.62,174.89
174.89,175.44
175.44,175.91
175.91,176.31
176.31,176.77
176.90,177.27
177.27,178.03
178.21,178.62
178.62,179.35
179.50,179.87
179.87,181.77
182.11,182.19
182.19,182.47
182.47,182.76
182.76,183.05
183.05,183.28
183.28,183.87
183.87,184.41
184.71,185.04
185.04,185.25
185.25,185.66
185.66,185.90
185.90,186.53
186.53,186.98
187.16,187.54
187.54,188.08
188.08,189.49
192.36,192.47
192.47,192.74
192.74,192.98
192.98,193.22
193.22,193.59
193.59,193.90
193.90,194.23
194.23,194.79
195.04,195.28
195.28,195.56
195.56,196.17
196.17,196.60
196.60,196.99
196.99,197.27
197.53,197.89
197.89,198.61
198.79,199.16
199.16,199.88
200.06,200.48
200.48,203.08
