word_start,word_end
19.20,19.56
19.56,20.34
20.80,21.13
21.13,21.87
22.36,22.78
22.78,23.64
23.94,24.32
24.32,25.10
25.49,25.83
25.83,26.62
27.07,27.35
27.35,28.29
28.66,29.06
29.06,30.41
30.41,31.22
31.76,31.96
31.96,32.16
32.16,32.88
33.32,33.66
33.66,34.31
34.90,35.08
35.08,35.20
35.20,35.95
36.48,36.89
36.89,37.20
37.84,37.99
37.99,38.37
38.37,39.19
39.61,39.75
39.75,39.89
39.89,40.50
41.17,42.15
42.15,42.87
42.87,43.78
43.93,44.86
44.86,45.35
45.35,46.02
46.02,48.52
49.94,50.13
50.13,50.44
50.44,50.71
50.80,51.40
51.49,51.70
51.70,51.95
51.95,52.30
52.30,52.94
52.94,55.98
56.48,57.41
57.41,57.88
57.88,58.59
58.59,62.40
62.57,62.73
62.73,62.99
62.99,63.32
63.36,63.96
64.06,64.28
64.28,64.56
64.56,64.82
64.82,65.48
65.48,67.99
69.03,69.96
69.96,70.43
70.43,71.07
71.07,74.55
75.11,75.30
75.30,75.55
75.55,75.81
75.88,76.52
76.60,76.81
76.81,77.08
77.08,77.40
77.40,78.04
78.04,80.64
81.96,82.12
82.12,82.34
82.34,83.09
83.44,83.85
83.85,84.60
85.12,85.49
85.49,86.25
86.67,87.04
87.04,87.72
88.23,88.52
88.52,89.49
89.81,90.18
90.18,91.03
91.41,91.76
91.76,92.48
92.48,93.17
93.17,93.89
94.01,95.05
95.05,95.59
95.59,96.22
96.22,98.66
100.14,100.32
100.32,100.65
100.65,100.90
101.00,101.49
101.70,101.90
101.90,102.16
102.16,102.47
102.47,103.13
103.13,106.39
106.69,107.61
107.61,108.06
108.06,108.76
108.76,112.42
112.77,112.93
112.93,113.19
113.19,113.54
113.54,114.18
114.26,114.48
114.48,114.74
114.74,115.03
115.03,115.68
115.68,118.20
119.22,120.13
120.13,120.60
120.60,121.34
121.34,124.73
125.26,125.47
125.47,125.70
125.70,126.09
126.09,126.77
126.77,126.96
126.96,127.27
127.27,127.57
127.57,128.24
128.24,130.68
169.38,170.37
170.37,170.78
170.78,171.55
171.55,173.94
175.43,175.62
175.62,175.92
175.92,176.12
176.29,176.89
177.01,177.21
177.21,177.47
177.47,177.76
177.76,178.41
178.41,181.61
182.75,183.71
183.71,184.13
184.13,184.88
184.88,188.75
188.83,188.99
188.99,189.25
189.25,189.52
189.62,190.25
190.33,190.53
190.53,190.79
190.79,191.11
191.11,191.76
191.76,194.13
195.29,196.23
196.23,196.65
196.65,197.37
197.37,200.77
201.34,201.55
201.55,201.81
201.81,202.07
202.02,202.79
202.88,203.08
203.08,203.34
203.34,203.66
203.66,204.32
204.32,206.90
