word_start,word_end
7.48,7.69
7.69,7.91
7.91,8.78
10.12,10.59
10.59,11.03
11.03,12.55
13.75,13.98
13.98,14.65
14.65,14.82
14.82,15.11
15.11,16.08
17.16,17.37
17.37,17.60
17.60,17.86
17.86,18.24
18.24,18.45
18.45,18.71
18.71,19.74
21.23,22.42
23.06,23.24
23.24,23.43
23.43,23.69
23.69,24.20
24.57,24.79
24.79,25.03
25.03,25.53
26.35,26.60
26.60,26.82
26.82,27.21
27.21,27.54
27.54,28.67
34.30,34.54
34.54,34.81
34.81,34.96
34.96,35.28
35.28,35.65
35.65,36.47
41.65,41.82
41.82,42.10
42.10,42.56
42.56,44.08
48.92,49.16
49.16,49.39
49.39,49.97
49.97,51.25
56.07,56.27
56.27,56.47
56.47,57.06
57.06,57.83
57.63,57.84
57.84,58.07
58.07,58.30
58.30,58.68
58.68,59.32
60.81,61.04
61.04,61.30
61.30,61.50
61.50,61.72
61.72,61.89
61.89,63.05
65.02,65.40
65.40,65.59
65.59,66.60
66.60,67.18
67.18,67.43
67.43,68.47
68.81,69.48
69.48,70.21
70.21,70.64
70.64,70.87
70.87,71.32
71.32,72.29
72.29,73.54
74.05,74.23
74.23,74.44
74.44,74.70
74.70,75.25
75.63,75.86
75.86,76.09
76.09,76.58
77.34,77.53
77.53,77.78
77.78,78.25
78.25,78.52
78.52,79.69
85.38,85.60
85.60,85.77
85.77,85.98
85.98,86.30
86.30,86.66
86.66,87.59
92.71,92.88
92.88,93.13
93.13,93.54
93.54,95.19
100.02,100.24
100.24,100.51
100.51,101.07
101.07,102.51
107.16,107.34
107.34,107.58
107.58,108.21
108.21,109.23
146.08,146.30
146.30,146.52
146.52,146.76
146.76,147.04
147.04,147.39
147.39,148.45
153.29,153.50
153.50,153.73
153.73,154.23
154.23,155.75
160.48,160.65
160.65,160.87
160.87,161.43
161.43,162.78
167.44,167.66
167.66,167.92
167.92,168.51
168.51,169.55
