word_start,word_end
6.71,8.40
8.40,8.58
8.58,9.17
9.27,9.48
9.48,9.67
9.67,9.99
9.99,10.81
10.81,11.12
11.12,12.22
12.68,14.17
14.17,14.38
14.38,14.57
14.57,15.29
15.29,15.62
15.62,16.09
16.09,16.79
16.79,16.97
16.97,17.13
17.13,17.63
17.63,18.45
19.50,19.78
19.78,20.00
20.00,20.29
20.29,20.55
20.55,20.71
20.71,20.84
20.84,22.99
25.40,26.00
26.00,26.10
26.10,27.17
27.49,27.68
27.68,28.00
28.00,29.36
31.46,31.74
31.74,32.04
32.04,32.24
32.24,32.50
32.50,32.81
32.81,33.05
33.05,33.61
33.61,34.55
35.57,35.93
35.93,36.35
36.35,36.57
36.57,36.78
36.78,37.79
38.24,38.62
38.62,38.79
38.79,39.03
39.03,41.73
42.44,42.70
42.70,43.23
43.23,43.47
43.47,44.00
44.00,44.20
44.20,44.74
44.74,44.95
44.95,46.38
48.48,48.66
48.66,49.20
49.20,49.41
49.41,49.94
49.94,50.18
50.18,50.66
50.66,50.99
50.99,52.62
54.70,56.37
56.37,56.57
56.57,57.22
57.29,57.46
57.46,57.67
57.67,57.98
57.98,58.78
58.78,59.20
59.20,60.33
60.71,62.15
62.16,62.36
62.36,62.55
62.55,63.31
63.31,63.60
63.60,64.06
64.06,64.80
64.80,64.99
64.99,65.14
65.14,65.60
65.60,66.35
66.71,70.75
70.75,71.18
71.18,72.26
72.33,76.66
76.66,76.85
76.85,77.14
77.14,78.28
79.45,79.74
79.74,79.96
79.96,80.17
80.17,80.51
80.51,80.90
80.90,81.66
81.66,83.30
85.02,85.22
85.22,85.42
85.42,85.69
85.69,86.06
86.06,87.11
87.51,87.68
87.68,89.33
91.36,91.91
91.91,92.50
92.50,93.49
93.49,93.71
93.71,94.75
95.95,96.29
96.29,96.50
96.50,96.62
96.62,97.99
98.22,98.53
98.53,98.74
98.74,98.83
98.83,101.57
102.44,102.67
102.67,103.23
103.23,103.42
103.42,103.99
103.99,104.19
104.19,104.73
104.73,104.90
104.90,106.38
108.45,108.66
108.66,109.19
109.19,109.42
109.42,109.96
109.96,110.17
110.17,110.64
110.64,110.91
110.91,112.53
114.69,116.28
116.28,116.53
116.53,117.24
117.24,117.44
117.44,117.62
117.62,118.00
118.00,118.83
118.83,119.13
119.13,120.25
120.71,122.15
122.15,122.36
122.36,122.56
122.56,123.31
123.31,123.61
123.61,124.08
124.08,124.78
124.78,124.98
124.98,125.08
125.08,125.62
125.62,126.33
126.70,128.36
128.36,128.56
128.56,129.08
129.28,129.45
129.45,129.65
129.65,129.96
129.96,130.81
130.81,131.18
131.18,132.23
132.66,134.14
134.14,134.32
134.32,134.53
134.53,135.31
135.31,135.62
135.62,136.06
136.06,136.78
136.78,136.96
136.96,137.09
137.09,137.53
137.53,138.33
138.33,142.81
142.81,143.18
143.18,144.18
144.29,148.64
148.64,148.84
148.84,149.16
149.16,150.22
150.43,150.65
150.65,151.17
151.17,151.43
151.43,151.98
151.98,152.19
152.19,152.73
152.73,152.90
152.90,154.38
156.46,156.68
156.68,157.18
157.18,157.43
157.43,157.97
157.97,158.18
158.18,158.64
158.64,158.92
158.92,160.70
162.70,164.32
164.32,164.54
164.54,165.24
165.24,165.43
165.43,165.62
165.62,165.96
165.96,166.78
166.78,167.17
167.17,168.17
168.70,170.14
170.15,170.38
170.38,170.54
170.54,171.30
171.30,171.59
171.59,172.05
172.05,172.83
172.83,172.99
172.99,173.10
173.10,173.59
173.59,174.29
174.71,176.32
176.32,176.52
176.52,177.27
177.27,177.44
177.44,177.65
177.65,178.00
178.00,178.75
178.75,179.15
179.15,180.15
180.69,182.12
182.12,182.35
182.35,182.51
182.51,183.28
183.28,183.59
183.59,184.04
184.04,184.82
184.82,184.97
184.97,185.11
185.11,185.60
185.60,186.33
186.33,190.75
190.75,191.13
191.13,192.32
192.32,196.62
196.62,196.88
196.88,197.18
197.18,198.33
