word_start,word_end
23.93,24.47
24.47,25.02
25.02,26.08
26.53,26.97
26.97,27.58
27.58,28.22
28.22,28.95
28.95,29.55
31.83,32.25
32.25,32.94
32.94,33.25
33.25,33.93
33.93,34.80
35.01,35.58
35.58,36.27
37.19,37.63
37.63,38.00
38.00,38.82
40.31,40.87
40.87,41.51
41.51,41.97
42.55,44.98
44.98,48.09
50.52,50.95
50.95,51.08
51.08,51.52
51.52,52.09
52.09,53.16
53.16,53.55
53.55,54.09
54.09,54.88
54.88,55.24
55.24,55.64
55.64,58.59
61.25,61.59
61.59,61.75
61.75,62.23
62.23,62.93
63.87,64.29
64.29,64.54
64.54,65.99
66.59,68.56
69.29,69.67
69.67,69.93
69.93,70.22
70.22,71.28
71.28,71.58
71.58,72.93
74.63,75.19
75.19,75.66
75.66,76.55
77.23,77.62
77.62,77.93
77.93,78.20
78.20,78.81
78.81,79.20
79.20,79.97
80.34,82.06
82.59,83.01
83.01,84.60
84.60,85.06
85.61,86.27
86.27,87.07
87.79,88.26
88.26,88.85
88.85,98.16
101.27,101.60
101.60,101.76
101.76,102.21
102.21,102.84
102.84,103.83
103.83,104.29
104.29,104.87
104.87,105.57
105.57,105.96
105.96,106.31
106.31,109.16
111.92,112.26
112.26,112.43
112.43,112.88
112.88,113.58
114.60,114.97
114.97,115.28
115.28,117.32
117.32,119.35
119.95,120.29
120.29,120.61
120.61,120.89
120.89,121.95
121.95,122.28
122.28,123.68
127.89,128.27
128.27,128.60
128.60,128.90
128.90,129.91
130.54,130.92
130.92,131.24
131.24,133.10
137.19,137.49
137.49,137.89
137.89,138.26
138.26,138.92
140.59,140.93
140.93,141.26
141.26,141.86
141.86,143.49
147.60,147.88
147.88,148.26
148.26,148.54
148.54,150.08
151.25,151.77
151.77,152.20
152.20,152.58
152.58,154.02
158.33,158.61
158.61,158.93
158.93,159.21
159.21,160.79
161.28,161.90
161.90,162.46
162.46,166.82
167.82,168.25
168.25,168.40
168.40,168.89
168.89,169.46
169.46,170.29
170.51,170.95
170.95,171.43
171.43,172.19
172.19,172.60
172.60,172.95
172.95,175.87
178.56,178.93
178.93,179.09
179.09,179.54
179.54,180.18
181.22,181.59
181.59,181.90
181.90,183.97
183.97,185.94
186.61,186.94
186.94,187.28
187.28,187.54
187.54,188.57
188.57,188.96
188.96,193.84
