word_start,word_end
25.43,26.22
26.22,26.45
26.45,26.69
26.69,26.98
26.98,27.27
27.27,27.51
27.51,27.73
27.73,28.01
28.01,28.28
28.28,28.50
28.50,28.77
28.77,29.02
29.02,29.57
31.54,32.08
32.08,32.22
32.22,33.20
33.51,34.11
34.11,34.33
34.33,34.57
34.57,34.85
34.85,35.06
35.06,35.41
35.41,35.59
35.59,35.85
35.85,36.10
36.10,36.36
36.36,36.62
36.62,36.86
36.86,37.11
37.11,37.70
39.20,40.73
41.24,41.50
41.50,41.73
41.73,42.21
42.21,42.69
42.69,43.11
43.11,43.24
43.24,43.52
43.52,44.84
45.24,45.50
45.50,45.79
45.79,46.28
46.28,46.52
46.52,46.80
46.80,47.33
47.33,47.56
47.56,47.82
47.82,48.92
49.36,49.84
49.84,50.35
50.35,50.92
50.92,51.43
51.43,51.67
51.67,53.04
53.48,53.72
53.72,54.46
54.46,54.86
54.86,55.43
55.43,55.66
55.66,57.12
57.26,57.50
57.50,57.76
57.76,57.96
57.96,58.75
58.75,59.21
59.21,59.74
59.74,60.33
60.33,60.77
60.77,62.89
65.41,65.62
65.62,65.95
65.95,66.12
66.12,66.61
66.61,66.85
66.85,67.38
67.38,67.68
67.92,68.39
68.39,68.66
68.66,68.89
68.89,70.99
73.74,74.03
74.03,74.26
74.26,74.76
74.76,75.02
75.02,75.50
75.50,75.86
76.02,76.58
76.58,76.96
76.96,79.04
81.61,82.11
82.11,82.43
82.43,82.85
82.85,83.09
83.20,84.18
84.18,84.71
84.71,85.18
85.18,85.94
85.94,87.31
92.60,92.80
92.80,93.01
93.01,93.33
93.33,93.55
93.55,94.04
94.04,94.32
94.32,94.57
94.57,95.12
95.12,95.39
95.39,95.62
95.62,95.85
95.85,96.13
96.13,96.64
98.15,98.65
98.65,99.13
99.13,99.39
99.39,100.39
100.66,100.89
100.89,101.16
101.16,101.47
101.47,101.66
101.66,101.96
101.96,102.20
102.20,102.51
102.51,102.76
102.76,102.94
102.94,103.25
103.25,103.70
103.70,103.96
103.96,104.21
104.21,104.81
106.34,107.97
108.36,108.58
108.58,108.85
108.85,109.32
109.32,109.82
109.82,110.23
110.23,110.35
110.35,110.66
110.66,112.08
112.32,112.60
112.60,112.88
112.88,113.37
113.37,113.65
113.65,113.89
113.89,114.41
114.41,114.66
114.66,114.90
114.90,116.03
116.49,116.98
116.98,117.49
117.49,117.95
117.96,118.52
118.52,118.74
118.74,120.18
120.58,120.88
120.88,121.58
121.58,122.01
122.01,122.59
122.59,122.81
122.81,124.23
124.37,124.61
124.61,124.87
124.87,125.07
125.07,125.88
125.88,126.35
126.35,126.86
126.86,127.37
127.37,127.89
127.89,130.01
132.50,132.73
132.73,133.01
133.01,133.25
133.25,133.74
133.74,134.00
134.00,134.48
134.48,134.82
135.03,135.52
135.52,135.79
135.79,136.01
136.01,138.28
140.87,141.14
141.14,141.41
141.41,141.89
141.89,142.14
142.14,142.63
142.63,142.99
143.09,143.71
143.71,144.05
144.05,146.29
148.74,149.26
149.26,149.51
149.51,150.00
150.00,150.34
150.34,151.19
151.30,151.78
151.78,152.29
152.29,153.07
153.07,154.41
173.18,173.42
173.42,173.68
173.68,173.88
173.88,174.69
174.69,175.16
175.16,175.67
175.67,176.18
176.18,176.70
176.70,178.82
181.31,181.54
181.54,181.82
181.82,182.06
182.06,182.55
182.55,182.81
182.81,183.29
183.29,183.63
183.84,184.33
184.33,184.60
184.60,184.82
184.82,187.09
189.68,189.95
189.95,190.22
190.22,190.70
190.70,190.95
190.95,191.44
191.44,191.80
191.90,192.52
192.52,192.86
192.86,195.10
197.55,198.07
198.07,198.32
198.32,198.81
198.81,199.15
199.15,200.00
200.11,200.59
200.59,201.10
201.10,201.88
201.88,203.22
