word_start,word_end
45.25,45.64
45.64,46.07
46.07,46.52
46.52,46.83
46.83,47.31
47.31,47.58
47.58,48.05
48.40,48.58
48.58,48.85
48.85,48.97
48.97,49.15
49.15,49.61
49.61,49.86
49.86,50.23
50.23,50.46
50.46,50.66
50.66,50.80
50.80,51.65
51.94,52.35
52.35,52.56
52.56,53.18
53.18,53.41
53.41,53.53
53.53,54.05
54.05,54.26
54.26,54.85
55.26,55.50
55.50,55.88
55.88,56.29
56.29,56.52
56.52,56.72
56.72,56.86
56.86,57.50
57.82,58.29
58.29,58.63
58.63,61.70
62.04,62.45
62.45,62.85
62.85,65.44
73.22,73.34
73.34,73.73
73.73,76.25
77.13,77.34
77.34,77.57
77.57,77.71
77.71,78.13
78.13,78.33
78.33,79.20
80.06,80.50
80.50,82.71
83.62,83.84
83.84,84.19
84.19,84.39
84.39,84.81
84.81,85.17
85.17,86.02
86.56,86.77
86.77,87.16
87.16,90.23
90.42,90.55
90.55,90.95
90.95,91.13
91.13,91.61
91.61,91.78
91.78,91.94
91.94,92.60
93.27,93.48
93.48,93.89
93.89,94.49
95.36,95.58
95.58,96.88
96.88,97.03
97.03,97.82
98.37,98.50
98.50,98.71
98.71,98.96
98.96,99.26
99.56,99.73
99.73,101.20
104.72,105.27
105.27,105.47
105.47,105.65
105.65,106.04
106.04,106.23
106.23,106.47
106.47,106.90
106.90,107.11
107.11,107.95
108.15,108.45
108.46,108.59
108.59,109.12
109.12,109.82
109.82,110.25
110.25,110.47
110.47,111.16
111.55,112.15
112.15,112.73
112.73,113.19
113.19,113.60
113.60,113.86
113.86,114.27
114.85,115.09
115.09,115.49
115.49,115.89
115.89,116.01
116.01,116.33
116.33,116.47
116.47,116.71
116.71,116.90
117.42,117.83
117.83,118.19
118.19,121.37
121.59,122.01
122.01,122.43
122.43,124.96
132.77,132.92
132.92,133.29
133.29,135.79
136.70,136.88
136.88,137.11
137.11,137.27
137.27,137.71
137.71,137.91
137.91,138.82
139.62,140.07
140.07,142.28
143.22,143.37
143.37,143.79
143.79,143.96
143.96,144.35
144.35,144.73
144.73,145.48
146.14,146.35
146.35,146.74
146.74,149.85
150.00,150.13
150.13,150.55
150.55,150.71
150.71,151.15
151.15,151.34
151.34,151.51
151.51,152.19
152.82,153.03
153.03,153.47
153.47,154.14
154.98,155.16
155.16,156.42
156.42,156.61
156.61,157.45
157.94,158.08
158.08,158.28
158.28,158.49
158.49,158.88
159.15,159.30
159.30,160.78
199.94,200.08
200.08,200.47
200.47,202.95
203.84,204.04
204.04,204.26
204.26,204.43
204.43,204.82
204.82,205.04
205.04,205.96
206.76,207.20
207.20,209.49
210.32,210.51
210.51,210.90
210.90,211.10
211.10,211.48
211.48,211.89
211.89,212.70
213.24,213.46
213.46,213.84
213.84,216.97
217.12,217.25
217.25,217.67
217.67,217.84
217.84,218.31
218.31,218.49
218.49,218.66
218.66,219.38
219.98,220.17
220.17,220.57
220.57,221.18
222.11,222.28
222.28,223.55
223.55,223.75
223.75,224.61
225.06,225.22
225.22,225.42
225.42,225.65
225.65,225.95
226.30,226.42
226.42,227.82
