word_start,word_end
13.86,14.01
14.01,14.43
14.43,15.28
15.28,15.47
15.47,16.31
17.29,17.41
17.41,17.79
17.79,18.12
18.12,18.73
18.73,18.87
18.87,19.85
20.29,20.41
20.41,20.68
20.68,21.55
21.55,22.37
22.37,23.26
23.26,23.85
23.85,25.77
27.07,27.27
27.27,27.52
27.52,28.41
28.41,29.25
29.25,30.12
30.12,30.69
30.69,32.31
34.18,34.43
34.43,34.56
34.56,34.80
34.80,34.96
34.96,35.35
35.35,36.04
36.04,37.70
37.85,37.92
37.92,38.35
38.35,38.71
38.71,38.91
38.91,39.14
39.14,39.54
39.54,40.69
40.81,40.96
40.96,41.24
41.24,42.11
42.11,42.94
42.94,43.79
43.79,44.40
44.40,46.18
47.65,47.82
47.82,48.12
48.12,48.98
48.98,49.80
49.80,50.67
50.67,51.27
51.27,53.29
54.86,55.34
55.34,55.51
55.51,56.02
56.02,56.28
56.28,56.60
56.60,57.57
57.57,57.73
57.73,58.03
58.03,58.37
58.37,60.36
61.55,61.84
61.84,61.97
61.97,62.27
62.27,62.47
62.47,62.86
62.86,63.31
63.54,63.68
63.68,64.21
64.21,64.58
64.58,65.07
65.07,67.11
68.26,68.41
68.41,68.58
68.58,69.97
69.97,70.16
70.16,71.06
71.45,71.67
71.67,72.02
72.02,74.94
75.16,75.30
75.30,75.51
75.51,77.00
77.00,77.22
77.22,77.94
78.29,78.50
78.50,78.89
78.89,85.27
106.40,106.54
106.54,106.98
106.98,107.26
107.26,107.43
107.43,107.66
107.66,108.08
108.08,109.54
109.82,109.96
109.96,110.22
110.22,110.37
110.37,110.85
110.85,111.21
111.21,111.48
111.48,112.53
112.83,112.95
112.95,113.23
113.23,114.11
114.11,114.95
114.95,115.80
115.80,116.43
116.43,118.45
119.42,119.72
119.72,119.84
119.84,120.08
120.08,120.97
120.97,121.89
122.21,122.57
122.57,122.87
122.87,123.26
123.26,125.06
126.52,126.68
126.68,126.96
126.96,127.12
127.12,127.41
127.41,127.55
127.55,127.89
127.89,128.27
128.27,128.41
128.41,128.84
128.84,129.10
129.10,129.40
129.40,130.07
130.07,130.36
130.36,130.56
130.56,132.70
133.55,133.73
133.73,134.30
134.30,134.42
134.42,135.18
135.18,135.41
135.41,135.98
135.98,136.20
136.20,136.43
136.43,136.98
136.98,139.01
140.25,140.43
140.43,140.57
140.57,141.98
141.98,142.17
142.17,142.98
143.45,143.68
143.68,144.02
144.02,146.75
147.13,147.32
147.32,147.50
147.50,149.00
149.00,149.30
149.30,149.94
150.31,150.54
150.54,150.88
150.88,157.26
