word_start,word_end
18.29,18.63
18.83,19.25
19.38,19.67
19.92,20.38
20.50,21.47
21.63,21.80
21.80,21.91
21.91,22.61
22.79,23.13
23.32,23.76
23.90,24.23
24.43,24.85
25.01,25.88
26.03,26.12
26.12,26.29
26.29,26.43
26.43,26.61
26.61,27.18
27.31,27.45
27.87,28.02
28.02,28.37
28.37,29.06
29.19,29.61
29.61,30.16
30.24,30.57
30.57,30.82
30.82,31.28
31.46,31.74
31.74,31.98
31.98,32.38
32.46,32.78
32.78,32.95
32.95,33.15
33.15,33.60
33.60,33.92
33.92,34.08
34.08,34.24
34.24,34.67
34.80,34.94
34.94,35.13
35.13,35.38
35.38,35.76
35.76,35.91
36.52,36.77
36.77,36.96
36.96,37.13
37.13,37.36
37.36,37.64
37.64,38.42
38.77,39.06
39.06,39.19
39.19,39.33
39.33,39.87
39.87,40.74
41.00,41.10
41.10,41.24
41.24,41.55
41.55,41.86
41.86,41.97
41.97,42.08
42.08,42.30
42.30,42.79
42.96,43.13
43.13,43.27
43.27,43.51
43.51,43.70
43.70,44.20
44.20,44.34
44.34,45.22
46.01,46.52
46.52,46.83
46.83,47.52
48.30,48.75
48.75,48.88
48.88,49.24
49.46,49.84
49.84,49.96
49.96,50.31
50.31,50.58
50.58,50.81
50.81,51.00
51.00,51.14
51.14,51.48
51.56,51.83
51.83,52.23
52.23,52.62
52.62,52.77
52.77,53.04
53.04,53.30
53.30,53.66
54.16,54.30
54.30,54.45
54.45,54.72
54.72,55.05
55.42,55.55
55.55,55.78
55.78,56.12
56.31,56.56
56.56,56.73
56.73,56.95
56.95,57.32
57.32,57.45
57.45,57.57
57.57,57.71
57.71,57.80
57.80,58.06
58.06,58.36
58.67,58.91
58.91,59.30
59.30,59.71
59.71,59.95
59.95,60.05
60.05,60.36
60.36,60.70
60.87,61.04
61.04,61.14
61.14,61.43
61.43,61.74
61.74,61.94
61.94,62.18
62.18,62.30
62.30,62.60
62.60,63.20
63.09,63.28
63.66,63.87
64.22,64.43
64.78,65.01
65.33,65.55
65.88,66.11
66.46,66.67
66.67,66.77
66.77,67.37
67.60,67.81
68.13,68.34
68.71,68.91
69.27,69.48
69.80,70.01
70.39,70.63
70.95,71.14
71.14,71.27
71.27,71.90
72.08,72.27
72.60,72.80
73.18,73.39
73.75,73.97
74.33,74.54
74.88,75.11
75.43,75.59
75.59,75.71
75.71,76.35
76.57,76.78
77.10,77.33
77.97,78.60
78.81,79.04
79.36,79.62
80.21,80.91
81.11,81.77
81.77,81.94
81.94,82.23
82.23,82.60
82.79,82.92
83.57,83.88
83.88,84.05
84.05,84.16
84.16,84.42
84.42,84.79
85.02,85.15
86.14,86.27
86.27,86.41
86.41,86.63
86.63,87.09
87.40,87.72
87.72,87.91
87.91,88.32
88.32,88.46
88.46,88.58
88.58,88.90
88.90,89.32
89.50,90.22
90.81,90.84
90.84,90.91
90.91,91.08
91.08,91.17
91.17,91.28
91.28,92.17
92.56,92.87
92.87,92.99
92.99,93.14
93.14,93.53
93.53,94.34
94.93,95.08
95.08,95.28
95.28,95.45
95.45,96.03
96.03,96.33
96.33,96.56
96.56,96.73
96.73,96.97
96.97,97.28
97.28,97.52
97.52,97.87
97.87,98.04
98.04,98.84
99.01,99.58
99.58,99.71
99.71,99.87
99.87,100.14
100.14,100.29
100.29,100.41
100.41,100.55
100.86,101.39
101.39,101.80
101.80,102.09
102.09,102.38
102.38,102.49
102.49,102.62
102.62,102.76
103.10,103.24
103.24,103.36
103.36,103.62
103.62,103.76
103.76,104.05
104.05,104.21
104.21,104.32
104.32,104.55
104.55,104.75
104.75,104.83
104.83,105.17
105.17,105.29
105.29,105.58
105.58,105.85
105.85,106.01
106.01,106.28
106.28,106.61
106.61,106.86
106.86,106.98
106.98,107.12
107.12,107.44
107.44,107.87
108.29,108.89
109.39,110.14
110.54,111.19
111.43,111.61
111.61,111.90
111.90,112.41
112.72,112.87
112.87,112.99
112.99,113.28
113.28,113.58
113.58,113.70
113.70,113.81
113.81,114.49
114.73,114.98
114.98,115.13
115.13,115.27
115.27,115.45
115.45,115.75
115.75,115.83
116.12,116.77
116.95,117.14
117.52,117.73
118.08,118.29
118.64,118.87
119.19,119.41
119.74,119.97
120.32,120.53
120.53,120.63
120.63,121.23
121.46,121.67
121.99,122.20
122.57,122.77
123.13,123.34
123.66,123.87
124.25,124.49
124.81,125.00
125.00,125.13
125.13,125.76
125.94,126.13
126.46,126.66
127.04,127.25
127.61,127.83
128.19,128.40
128.74,128.97
129.29,129.45
129.45,129.57
129.57,130.21
130.43,130.64
130.96,131.19
131.83,132.46
132.67,132.90
133.22,133.48
134.07,134.77
143.29,143.57
143.57,144.25
144.25,144.46
144.72,145.00
145.00,145.24
145.24,145.83
145.83,146.45
146.45,146.68
146.68,146.97
146.97,147.25
147.25,147.41
147.41,148.07
148.07,148.66
148.66,148.90
149.20,149.49
149.49,149.64
149.64,150.31
150.31,150.64
150.64,151.18
151.18,151.44
151.44,151.71
151.71,151.91
151.91,152.42
152.56,152.81
152.81,153.03
153.03,153.42
153.42,153.60
153.60,153.92
153.92,154.60
154.80,155.08
155.08,155.29
155.29,155.69
155.69,155.90
155.90,156.22
156.22,157.10
157.10,157.34
157.34,157.60
157.60,158.13
158.13,158.39
158.43,158.64
158.65,158.93
159.01,159.13
159.13,159.41
159.41,159.52
159.52,159.86
159.86,160.00
160.00,160.44
160.70,160.86
160.86,161.02
161.02,161.97
170.75,170.94
171.32,171.53
171.88,172.09
172.44,172.67
172.99,173.21
173.54,173.77
174.12,174.33
174.33,174.43
174.43,175.03
175.26,175.47
175.79,176.00
176.37,176.57
176.93,177.14
177.46,177.67
178.05,178.29
178.61,178.80
178.80,178.93
178.93,179.56
179.74,179.93
180.26,180.46
180.84,181.05
181.41,181.63
181.99,182.20
182.54,182.77
183.09,183.25
183.25,183.37
183.37,184.01
184.23,184.44
184.76,184.99
185.63,186.26
186.47,186.70
187.02,187.28
187.87,188.57
192.12,192.28
192.28,192.40
192.40,193.02
194.93,195.14
195.45,195.68
196.00,196.23
196.60,196.75
196.75,196.90
196.90,197.55
201.07,201.22
201.22,201.37
201.37,201.99
203.63,204.30
204.44,204.66
204.99,205.23
205.87,206.59
