word_start,word_end
20.94,21.10
21.10,21.36
21.36,21.55
21.55,21.71
21.71,22.01
22.01,22.43
23.20,23.38
23.38,23.55
23.55,23.78
23.78,24.11
24.11,24.36
24.36,24.52
26.33,26.45
26.45,26.79
26.79,26.94
26.94,27.98
28.13,28.29
28.29,28.61
28.61,29.14
29.14,29.34
29.79,29.95
29.95,30.30
30.30,30.80
30.80,31.27
31.27,32.11
32.11,32.24
32.24,32.87
32.87,33.31
33.31,33.45
33.45,34.17
34.17,34.52
34.52,34.74
34.74,35.48
36.35,36.54
36.54,36.87
36.87,37.11
37.11,37.89
38.51,39.74
39.74,40.10
40.10,41.14
41.49,41.65
41.65,41.79
41.79,41.96
41.96,42.12
42.12,42.55
42.55,43.67
43.76,43.90
43.90,44.04
44.04,44.21
44.21,44.52
44.52,44.97
44.97,46.14
46.32,46.56
46.56,47.02
48.39,48.69
48.69,48.91
48.91,50.10
51.39,51.67
51.67,51.88
51.88,52.19
52.19,52.84
52.84,53.17
53.17,53.76
53.76,54.41
54.41,55.12
55.31,55.58
55.58,55.93
55.93,56.21
56.21,56.98
57.99,58.29
58.29,58.54
58.54,60.82
61.33,61.58
61.58,61.84
61.84,62.15
62.15,62.54
62.54,62.78
62.78,63.05
63.05,63.36
63.36,64.76
64.88,65.49
65.49,65.79
65.79,66.45
66.45,66.98
66.98,68.36
68.36,68.52
68.52,68.80
68.80,69.09
69.09,69.27
69.27,69.58
69.58,69.97
69.97,70.64
70.73,70.86
70.86,71.15
71.15,71.46
71.46,71.78
71.78,71.96
71.96,72.23
72.23,73.11
73.11,73.28
73.28,73.56
73.56,73.89
73.89,74.21
74.21,74.45
74.45,74.74
74.74,75.10
75.10,75.42
75.42,76.58
76.89,77.48
77.48,77.74
77.74,80.20
80.51,80.80
80.80,81.10
81.10,81.38
81.38,81.67
81.67,81.98
81.98,82.28
82.28,82.53
82.53,84.07
84.14,84.38
84.38,84.75
84.75,84.95
84.95,85.61
85.61,85.90
85.90,86.10
86.10,86.98
88.32,88.44
88.44,88.60
88.60,88.75
88.75,88.93
88.93,89.17
89.17,89.63
90.41,90.55
90.55,90.70
90.70,90.90
90.90,91.46
91.46,91.72
92.25,92.88
92.88,93.28
93.28,93.54
93.54,94.29
94.48,94.73
94.73,95.13
95.13,95.36
95.36,95.64
95.64,96.54
96.99,97.12
97.12,97.44
97.44,97.75
97.75,98.21
98.21,98.40
98.40,98.95
98.95,99.40
99.40,99.56
99.56,99.91
99.91,100.59
100.59,100.72
100.72,101.06
101.06,101.29
101.29,101.70
101.70,101.94
101.94,102.64
103.61,103.71
103.71,104.06
104.06,104.31
104.31,105.06
105.96,106.09
106.09,106.39
106.48,106.91
106.91,107.34
107.79,107.96
107.96,108.28
108.28,108.57
108.57,108.83
108.83,109.67
109.67,110.06
110.06,110.18
110.18,110.84
110.84,110.97
110.97,111.24
111.24,111.66
111.66,112.14
112.46,112.59
112.59,112.79
112.79,113.40
113.40,113.65
113.65,114.13
114.13,114.56
114.56,114.83
114.83,115.71
116.06,116.21
116.21,116.37
116.37,117.15
117.61,117.93
117.93,118.17
118.17,118.51
118.51,118.61
118.61,118.78
118.78,119.55
119.95,120.22
120.22,120.54
120.54,121.00
121.00,121.31
121.31,121.61
121.61,121.94
121.94,122.23
122.23,122.48
122.48,123.08
123.08,123.34
123.34,125.27
125.27,125.51
125.51,125.71
125.71,126.83
128.20,128.48
128.48,128.74
128.74,129.01
129.01,129.66
129.66,129.99
129.99,130.56
130.56,131.21
131.21,131.75
132.12,132.41
132.41,132.67
132.67,132.95
132.95,133.60
134.80,135.08
135.08,135.35
135.35,137.64
138.10,138.40
138.40,138.62
138.62,138.98
138.98,139.31
139.31,139.55
139.55,139.86
139.86,140.14
140.14,141.56
141.69,142.29
142.29,142.56
142.56,143.19
143.19,143.78
143.78,145.52
145.56,145.75
145.75,145.91
145.91,146.16
146.16,146.49
146.49,146.97
146.97,147.71
147.98,148.13
148.13,148.26
148.26,148.65
148.65,148.93
148.93,149.30
149.30,149.47
149.47,150.14
150.69,150.83
150.83,150.96
150.96,151.61
151.61,151.91
151.91,152.55
152.81,152.95
152.95,153.04
153.04,153.39
153.39,153.72
153.72,153.96
153.96,154.30
154.30,154.57
154.57,154.78
154.78,155.29
155.81,155.95
155.95,156.05
156.05,156.46
156.46,156.68
156.68,157.45
157.89,158.00
158.00,158.17
158.17,158.33
158.33,158.46
158.46,158.83
158.83,159.08
159.08,159.72
160.17,160.28
160.28,160.44
160.44,160.74
160.74,161.04
161.04,161.23
161.23,161.77
161.77,161.97
161.97,162.20
162.20,162.51
162.51,163.22
