word_start,word_end
0.66,0.92
0.92,1.64
2.33,2.50
2.50,2.67
2.67,2.82
4.23,4.40
4.40,4.70
4.70,4.81
4.81,5.16
5.36,5.61
5.61,5.66
5.66,5.85
5.85,6.15
6.23,6.45
6.45,6.67
6.67,6.91
6.91,7.12
7.12,7.27
7.82,8.01
8.01,8.78
9.59,9.77
9.77,9.94
11.34,11.45
11.45,11.56
11.56,11.73
11.73,12.01
12.01,12.26
12.26,12.44
12.44,12.67
12.67,12.91
12.91,13.05
13.05,13.26
13.26,13.66
13.66,13.81
13.81,14.05
14.05,14.23
14.23,14.49
14.91,15.05
15.05,15.16
15.16,15.39
15.39,15.56
15.56,15.85
15.85,16.35
16.35,16.47
16.47,16.62
16.62,16.88
16.88,17.21
17.21,17.69
17.69,17.78
18.50,18.63
18.63,19.25
19.25,19.42
19.42,19.85
19.85,20.08
20.08,20.29
20.29,20.48
20.48,20.99
20.99,21.38
22.06,22.22
22.22,22.50
22.50,22.78
22.78,22.94
22.94,23.22
23.22,23.37
23.37,23.65
23.65,24.12
24.12,24.31
24.31,24.87
25.59,25.68
25.68,25.82
25.82,26.07
26.07,26.33
26.33,26.61
27.35,27.47
27.47,27.61
27.61,27.89
27.89,28.09
28.09,28.33
28.72,28.95
28.95,29.16
29.16,29.29
29.29,29.70
29.70,29.84
29.84,30.08
30.08,30.24
30.24,30.53
30.53,30.74
30.74,30.83
30.83,31.10
31.10,31.60
31.60,31.74
31.74,32.04
32.04,32.34
32.34,32.48
32.48,33.44
33.44,33.63
33.63,33.83
33.83,34.10
34.10,34.29
34.29,34.76
34.76,35.20
35.20,35.62
36.00,36.11
36.11,36.29
36.29,36.46
36.46,36.80
36.80,36.95
36.95,37.16
37.16,37.38
37.38,37.61
37.61,37.78
37.78,38.15
38.15,38.54
38.54,38.75
38.75,38.96
38.96,39.21
39.21,39.43
39.43,39.61
39.61,40.05
40.05,40.36
40.50,40.63
40.63,40.93
40.93,41.46
41.46,41.63
41.63,41.84
41.84,42.00
42.00,42.30
42.30,42.56
42.56,42.72
42.72,44.30
44.72,44.95
44.95,45.16
45.16,45.37
45.37,45.55
45.55,45.83
45.83,46.10
46.10,46.32
46.32,48.01
48.23,48.80
48.80,48.95
48.95,49.13
49.13,49.38
49.38,49.69
49.69,49.85
49.85,51.43
51.82,52.08
52.08,52.29
52.29,52.47
52.47,52.73
52.73,52.94
52.94,53.22
53.22,53.40
53.40,55.06
55.37,55.68
55.68,55.82
55.82,56.05
56.05,56.51
57.63,57.88
57.88,58.69
58.95,59.16
59.16,59.37
59.37,59.60
59.60,59.88
59.88,60.04
60.04,60.30
60.30,60.53
60.72,60.95
60.95,61.18
61.18,61.32
61.32,61.83
61.83,62.04
62.04,62.32
62.48,62.69
62.69,62.97
62.97,63.19
63.19,63.48
63.48,64.44
64.70,65.81
66.06,66.29
66.29,66.52
66.52,66.73
66.73,66.97
66.97,67.38
67.38,68.52
70.51,70.77
70.77,70.98
70.98,71.19
71.19,71.52
71.52,71.63
71.63,71.84
71.84,72.25
72.25,72.51
72.51,73.42
73.42,73.60
73.60,74.06
74.06,74.32
74.32,74.53
74.53,74.66
74.66,75.16
75.16,75.42
75.42,75.65
75.65,76.02
76.02,76.30
76.30,76.72
77.60,77.85
77.85,78.09
78.09,78.29
78.29,78.74
78.74,78.97
78.97,79.41
79.41,79.62
79.62,79.83
79.83,80.06
80.06,80.55
80.55,80.71
80.71,80.95
81.17,81.38
81.38,81.82
81.82,82.10
82.10,82.29
82.29,82.54
82.54,82.73
82.73,83.15
83.15,83.43
83.43,84.09
85.61,85.86
85.86,86.05
86.05,86.21
86.21,86.58
86.58,86.72
86.72,86.97
86.97,87.12
87.12,87.43
87.43,87.65
87.65,87.78
87.78,88.01
88.01,88.47
88.47,88.67
88.67,88.88
88.88,89.21
89.21,89.39
89.39,90.31
90.31,90.48
90.48,90.72
90.72,90.97
90.97,91.18
91.18,91.62
91.62,91.93
92.08,92.38
92.89,92.97
92.97,93.15
93.15,93.31
93.31,93.67
93.67,93.85
93.85,94.06
94.06,94.25
94.25,94.51
94.51,94.69
94.69,95.04
95.04,95.43
95.43,95.59
95.59,95.85
95.85,96.03
96.03,96.31
96.31,96.50
