word_start,word_end
10.54,10.68
10.68,10.85
10.85,11.26
11.26,11.58
11.58,11.80
11.80,12.11
12.11,12.53
12.53,13.16
14.87,15.28
15.28,15.68
15.68,16.00
16.00,16.30
16.30,16.64
16.64,18.08
19.68,19.80
19.80,20.04
20.04,20.39
20.39,20.63
20.63,20.79
20.79,21.18
21.18,21.52
21.66,21.83
21.83,21.97
21.97,22.61
23.79,23.99
23.99,24.20
24.20,24.52
24.52,24.63
24.63,24.86
24.86,24.99
24.99,25.33
25.33,25.52
25.52,25.80
25.80,25.97
25.97,28.08
28.48,28.89
28.89,29.18
29.18,30.12
30.63,30.73
30.73,31.50
31.50,31.93
31.93,32.51
33.04,33.49
33.49,33.56
33.56,33.82
33.82,34.08
34.08,34.89
34.89,35.07
35.07,35.32
35.32,35.81
35.81,36.05
36.05,36.21
36.21,36.36
36.36,36.49
36.49,36.84
36.84,37.43
37.90,38.29
38.29,38.58
38.58,39.63
40.02,40.11
40.11,40.58
40.58,40.91
40.91,41.35
41.35,42.00
42.57,42.70
42.70,42.81
42.81,43.00
43.00,43.28
43.28,43.54
43.54,44.04
44.04,44.32
44.32,44.93
44.93,45.49
45.49,46.12
47.56,47.72
47.72,47.99
47.99,48.16
48.16,48.43
48.73,48.87
48.87,49.02
49.02,49.16
49.16,49.31
49.31,49.79
49.93,50.10
50.10,50.36
50.36,50.54
50.54,50.81
51.10,51.19
51.19,51.35
51.35,51.50
51.50,51.63
51.63,52.07
52.30,52.43
52.43,52.72
52.72,52.89
52.89,53.17
53.47,53.62
53.62,53.73
53.73,53.85
53.85,53.98
53.98,54.50
54.64,54.92
54.92,55.12
55.12,55.20
55.20,55.35
55.35,55.66
55.66,56.61
56.98,57.14
57.14,57.41
57.41,57.58
57.58,57.85
58.15,58.29
58.29,58.44
58.44,58.58
58.58,58.73
58.73,59.21
59.35,59.52
59.52,59.78
59.78,59.96
59.96,60.23
60.52,60.61
60.61,60.77
60.77,60.92
60.92,61.05
61.05,61.49
61.72,61.85
61.85,62.14
62.14,62.31
62.31,62.59
62.89,63.04
63.04,63.15
63.15,63.27
63.27,63.40
63.40,64.03
66.85,66.98
66.98,67.15
67.15,67.25
67.25,67.48
67.48,67.69
67.69,67.94
67.94,68.34
68.34,68.92
69.03,69.56
71.28,71.36
71.36,71.70
71.70,72.06
72.06,72.38
72.38,72.67
72.67,72.96
72.96,73.55
76.42,76.54
76.54,76.67
76.67,77.03
77.03,77.25
77.25,78.37
78.37,78.99
78.99,79.62
80.74,81.17
81.17,81.50
81.50,81.77
81.77,82.12
82.12,82.55
82.55,84.93
84.93,85.40
85.40,85.65
85.65,86.63
87.10,87.21
87.21,87.93
87.93,88.42
88.42,88.98
89.51,89.97
89.97,90.05
90.05,90.30
90.30,90.63
90.63,91.36
91.36,91.57
91.57,91.80
91.80,92.40
94.38,94.77
94.77,95.04
95.04,95.97
96.51,97.10
97.10,97.37
97.37,97.80
97.80,98.44
98.99,99.17
99.17,99.29
99.29,99.46
99.46,99.72
99.72,99.99
99.99,100.46
100.46,100.78
100.78,101.35
101.35,101.99
101.99,102.61
104.03,104.19
104.19,104.46
104.46,104.63
104.63,104.90
105.20,105.34
105.34,105.49
105.49,105.63
105.63,105.78
105.78,106.26
106.40,106.57
106.57,106.83
106.83,107.01
107.01,107.28
107.57,107.66
107.66,107.82
107.82,107.97
107.97,108.10
108.10,108.54
108.77,108.90
108.90,109.19
109.19,109.36
109.36,109.64
109.94,110.09
110.09,110.20
110.20,110.32
110.32,110.45
110.45,110.97
111.11,111.39
111.39,111.59
111.59,111.67
111.67,111.82
111.82,112.13
112.13,113.08
113.45,113.61
113.61,113.88
113.88,114.05
114.05,114.32
114.62,114.76
114.76,114.91
114.91,115.05
115.05,115.20
115.20,115.68
115.82,115.99
115.99,116.25
116.25,116.43
116.43,116.70
116.99,117.08
117.08,117.24
117.24,117.39
117.39,117.52
117.52,117.96
118.19,118.32
118.32,118.61
118.61,118.78
118.78,119.06
119.36,119.51
119.51,119.62
119.62,119.74
119.74,119.87
119.87,120.50
122.31,122.52
122.52,122.87
122.87,123.20
123.20,123.46
123.46,123.65
123.65,124.10
124.10,124.56
124.68,124.74
124.74,124.85
124.85,124.93
124.93,125.23
125.23,125.34
125.47,125.60
125.60,125.78
125.78,126.04
126.04,126.10
126.10,126.42
126.42,126.67
126.96,127.09
127.09,127.28
127.28,127.57
127.57,127.82
128.01,128.14
128.14,128.30
128.30,128.43
128.43,128.73
128.73,129.10
129.33,129.45
129.45,129.63
129.63,129.77
129.77,129.92
129.92,130.09
130.09,130.19
130.19,130.34
130.34,130.47
130.47,130.61
130.61,130.77
130.77,131.09
131.09,131.37
131.57,131.68
131.68,131.81
131.81,131.92
131.92,132.18
132.72,132.82
132.82,132.97
132.97,133.11
133.11,133.41
133.97,134.14
134.14,134.29
134.29,134.62
134.62,134.88
135.03,135.20
135.20,135.43
135.43,135.76
135.76,136.06
136.38,136.58
136.58,136.74
136.74,136.98
136.98,137.19
137.42,137.53
137.53,137.68
137.68,137.81
137.81,138.12
138.12,138.34
138.79,139.02
139.02,139.16
139.16,139.31
139.31,139.43
139.43,139.64
139.64,139.76
140.00,140.08
140.08,140.18
140.18,140.41
140.81,141.14
141.68,141.84
141.84,142.11
142.11,142.28
142.28,142.55
142.85,142.99
142.99,143.14
143.14,143.28
143.28,143.43
143.43,143.91
144.05,144.22
144.22,144.48
144.48,144.66
144.66,144.93
145.22,145.31
145.31,145.47
145.47,145.62
145.62,145.75
145.75,146.19
146.42,146.55
146.55,146.84
146.84,147.01
147.01,147.29
147.59,147.74
147.74,147.85
147.85,147.97
147.97,148.10
148.10,148.62
148.76,149.04
149.04,149.24
149.24,149.32
149.32,149.47
149.47,149.78
149.78,150.73
151.10,151.26
151.26,151.53
151.53,151.70
151.70,151.97
152.27,152.41
152.41,152.56
152.56,152.70
152.70,152.85
152.85,153.33
153.47,153.64
153.64,153.90
153.90,154.08
154.08,154.35
154.64,154.73
154.73,154.89
154.89,155.04
155.04,155.17
155.17,155.61
155.84,155.97
155.97,156.26
156.26,156.43
156.43,156.71
157.01,157.16
157.16,157.27
157.27,157.39
157.39,157.52
157.52,158.15
160.49,160.65
160.65,160.92
160.92,161.09
161.09,161.36
161.66,161.80
161.80,161.95
161.95,162.09
162.09,162.24
162.24,162.72
162.86,163.03
163.03,163.29
163.29,163.47
163.47,163.74
164.03,164.12
164.12,164.28
164.28,164.43
164.43,164.56
164.56,165.00
165.23,165.36
165.36,165.65
165.65,165.82
165.82,166.10
166.40,166.55
166.55,166.66
166.66,166.78
166.78,166.91
166.91,167.54
