word_start,word_end
32.30,33.00
33.00,33.14
33.14,34.59
34.97,35.22
35.22,35.73
35.73,36.04
36.04,36.39
36.39,37.08
37.53,37.81
37.81,38.18
38.18,38.33
38.33,38.66
38.66,38.99
38.99,39.29
39.29,39.63
39.63,40.50
42.62,42.93
42.93,43.26
43.26,43.45
43.45,43.76
43.76,44.16
44.16,44.74
45.25,45.47
45.47,45.88
45.88,46.08
46.08,46.38
46.38,46.72
46.72,47.06
47.06,47.34
47.34,47.80
47.80,48.12
48.12,48.62
48.62,49.60
52.59,53.16
53.16,53.65
53.65,54.82
55.28,55.75
55.75,56.19
56.19,57.44
57.86,58.27
58.27,58.78
58.78,59.29
59.29,59.98
60.41,60.86
60.86,61.34
61.34,62.41
63.26,63.59
63.59,63.93
63.93,64.12
64.12,64.38
64.38,65.52
65.93,66.22
66.22,66.51
66.51,66.73
66.73,67.04
67.04,67.31
67.31,67.84
68.44,68.76
68.76,69.22
69.22,70.22
73.61,74.42
74.42,74.70
74.70,75.00
75.00,75.70
76.21,76.52
76.52,76.86
76.86,77.16
77.16,77.56
77.56,78.40
78.82,79.13
79.13,79.30
79.30,79.58
79.58,79.94
79.94,80.27
80.27,80.80
83.56,84.10
84.10,84.62
84.62,85.85
86.22,86.68
86.68,87.17
87.17,88.33
88.81,89.22
89.22,89.77
89.77,90.24
90.24,90.95
91.40,91.82
91.82,92.29
92.29,93.27
104.29,104.74
104.74,105.24
105.24,106.42
106.88,107.31
107.31,107.80
107.80,109.00
109.46,109.91
109.91,110.40
110.40,111.60
112.13,112.51
112.51,112.99
112.99,114.13
145.45,146.09
146.09,146.55
146.55,147.72
148.18,148.64
148.64,149.09
149.09,150.25
150.69,151.10
151.10,151.71
151.71,152.24
152.24,153.10
153.32,153.77
153.77,154.22
154.22,155.34
158.36,158.92
158.92,159.43
159.43,161.05
163.66,164.11
164.11,164.58
164.58,166.32
168.79,169.25
169.25,169.77
169.77,171.79
