word_start,word_end
21.10,21.38
21.38,21.69
21.69,21.92
21.92,22.21
22.21,22.50
22.50,22.76
22.76,22.98
22.98,23.33
23.66,23.93
23.93,24.21
24.21,24.53
24.53,24.63
24.63,24.98
24.98,25.14
25.14,25.44
25.44,25.78
25.78,26.39
29.87,30.12
30.12,30.42
30.42,30.56
30.56,31.00
31.00,31.11
31.11,31.39
31.39,32.02
32.13,32.34
32.34,32.63
32.63,32.75
32.75,33.13
33.13,33.31
33.31,33.69
33.69,33.82
33.82,34.13
34.13,34.47
34.47,35.51
39.12,39.38
39.38,39.82
39.82,40.24
40.24,40.40
40.40,40.74
40.74,41.04
41.04,41.49
41.49,41.75
41.75,41.96
41.96,42.17
42.17,42.51
42.51,42.88
42.88,43.34
43.34,44.11
44.68,44.95
44.95,45.38
45.38,45.83
47.38,47.63
47.63,47.89
47.89,48.45
48.45,48.73
48.73,49.18
49.18,49.56
49.80,50.10
50.10,50.54
50.54,50.78
50.78,51.18
51.18,51.36
51.36,51.92
51.92,53.35
56.06,56.31
56.31,56.60
56.60,56.90
56.90,57.16
57.16,57.38
57.38,57.75
57.75,57.89
57.89,58.23
58.43,58.56
58.56,59.30
59.30,59.61
59.61,59.90
59.90,60.07
60.07,60.34
60.34,60.75
60.75,62.18
65.34,65.60
65.60,65.97
65.97,66.36
66.36,66.68
66.68,67.17
67.54,67.68
67.68,67.94
67.94,68.28
68.28,68.69
68.69,68.98
68.98,69.07
69.07,69.41
69.41,70.66
71.35,71.64
71.64,72.13
117.18,117.40
117.40,117.72
117.72,118.02
118.02,118.31
118.31,118.56
118.56,118.72
118.72,118.94
118.94,119.35
119.64,119.90
119.90,120.33
120.33,120.63
120.63,120.90
120.90,121.24
121.24,121.63
121.63,122.48
125.94,126.15
126.15,126.47
126.47,126.71
126.71,127.26
127.26,127.66
127.66,127.99
128.09,128.24
128.24,128.65
128.65,128.79
128.79,129.08
129.08,129.38
129.38,129.84
129.84,130.12
130.12,133.68
135.11,135.41
135.41,135.81
135.81,136.23
136.23,136.37
136.37,136.69
136.90,137.06
137.06,137.48
137.48,137.73
137.73,137.91
137.91,138.12
138.12,138.48
138.48,138.87
138.87,139.25
139.25,139.96
140.69,140.91
140.91,141.35
141.35,142.05
143.92,144.13
144.13,144.38
144.38,144.71
144.71,145.55
146.08,146.24
146.24,146.53
146.53,146.90
146.90,147.35
147.35,147.69
147.69,148.28
148.28,148.75
152.63,152.90
152.90,153.11
153.11,153.39
153.39,154.24
154.82,154.99
154.99,155.26
155.26,155.63
155.63,155.89
155.89,156.46
156.46,157.27
157.27,157.64
