word_start,word_end
10.80,11.15
11.15,11.65
11.65,13.15
13.40,13.57
13.57,13.68
13.68,14.01
14.01,14.17
14.17,15.37
20.86,21.02
21.02,21.18
21.18,21.49
21.49,21.65
21.65,21.90
21.90,22.28
22.28,23.16
23.40,23.72
23.72,23.96
23.96,24.16
24.16,24.52
24.52,24.79
24.79,25.33
30.00,30.69
30.69,31.72
33.96,34.18
34.18,34.33
34.33,34.59
34.59,34.96
34.96,35.35
35.35,35.91
35.91,36.80
38.99,39.27
39.27,39.60
39.60,39.82
39.82,40.41
40.41,40.93
40.93,41.60
43.91,44.18
44.18,45.41
45.41,45.78
45.78,46.70
47.14,47.43
47.43,48.07
48.38,48.64
48.64,49.28
49.36,49.91
49.91,50.71
50.85,51.05
51.05,51.18
51.18,51.52
51.52,51.84
51.84,53.17
53.39,53.61
53.61,53.75
53.75,54.34
54.34,54.59
54.59,54.90
54.90,55.65
56.09,56.20
56.20,56.47
56.47,56.78
56.78,57.18
57.29,57.41
57.41,57.71
57.71,57.92
57.92,58.40
58.40,58.66
58.66,59.29
59.29,59.88
59.88,60.69
60.88,61.07
61.07,61.19
61.19,61.50
61.50,61.72
61.72,63.20
63.41,63.58
63.58,63.73
63.73,64.32
64.32,64.57
64.57,64.91
64.91,65.37
66.08,66.17
66.17,66.44
66.44,66.71
66.71,67.27
67.35,67.42
67.42,67.67
67.67,67.96
67.96,68.58
70.77,71.12
71.12,71.62
71.62,71.98
71.98,72.22
72.22,73.18
73.35,73.52
73.52,73.70
73.70,74.17
74.17,74.53
74.53,74.81
74.81,75.40
80.92,81.02
81.02,81.14
81.14,81.62
81.62,82.00
82.00,82.28
82.28,82.83
82.83,83.17
83.38,83.52
83.52,83.68
83.68,83.97
83.97,84.18
84.18,84.48
84.48,84.74
84.74,85.39
89.98,90.67
90.67,91.68
93.94,94.12
94.12,95.42
95.42,95.82
95.82,96.67
97.11,97.39
97.39,98.11
98.38,98.59
98.59,99.22
99.35,99.90
99.90,100.70
100.84,101.04
101.04,101.17
101.17,101.51
101.51,101.83
101.83,103.16
103.38,103.60
103.60,103.74
103.74,104.33
104.33,104.58
104.58,104.89
104.89,105.64
106.08,106.19
106.19,106.46
106.46,106.77
106.77,107.17
107.28,107.40
107.40,107.70
107.70,107.91
107.91,108.39
108.39,108.65
108.65,109.28
109.28,109.87
109.87,110.68
110.87,111.06
111.06,111.18
111.18,111.49
111.49,111.71
111.71,113.19
113.40,113.57
113.57,113.72
113.72,114.31
114.31,114.56
114.56,114.90
114.90,115.36
116.07,116.16
116.16,116.43
116.43,116.70
116.70,117.26
117.34,117.41
117.41,117.66
117.66,117.95
117.95,118.57
121.61,121.73
121.73,122.01
122.01,122.21
122.21,122.39
122.39,123.22
123.58,123.69
123.69,123.96
123.96,124.10
124.10,124.19
124.19,124.54
124.54,124.69
124.69,125.31
125.31,127.08
130.99,131.16
131.16,131.34
131.34,131.80
131.80,131.98
131.98,132.35
132.35,133.14
133.57,133.71
133.71,134.15
134.15,134.31
134.31,134.66
134.66,134.82
134.82,135.39
135.39,136.35
140.93,141.16
141.16,141.77
141.77,142.44
142.44,143.24
143.38,143.58
143.58,143.71
143.71,144.05
144.05,144.37
144.37,145.70
145.92,146.14
146.14,146.28
146.28,146.87
146.87,147.12
147.12,147.43
147.43,148.18
148.62,148.73
148.73,149.00
149.00,149.31
149.31,149.71
149.82,149.94
149.94,150.24
150.24,150.45
150.45,150.93
150.93,151.19
151.19,151.82
151.82,152.41
152.41,153.22
153.41,153.60
153.60,153.72
153.72,154.03
154.03,154.25
154.25,155.73
155.94,156.11
156.11,156.26
156.26,156.85
156.85,157.10
157.10,157.44
157.44,157.90
158.61,158.70
158.70,158.97
158.97,159.24
159.24,159.80
159.88,159.95
159.95,160.20
160.20,160.49
160.49,161.11
