word_start,word_end
22.22,22.45
22.45,22.63
22.63,22.77
22.77,23.29
23.29,23.62
23.62,23.81
23.81,24.66
24.66,25.20
26.20,26.26
26.26,26.32
26.32,26.69
26.69,27.01
27.01,27.24
27.24,28.28
28.28,28.53
28.53,29.68
30.39,30.47
30.47,30.61
30.61,30.97
30.97,31.35
31.35,31.44
31.44,31.67
31.67,32.01
32.01,32.75
32.75,33.00
33.00,33.72
34.75,34.84
34.84,35.11
35.11,35.61
35.61,35.78
35.78,36.07
36.07,36.18
36.18,36.70
36.70,36.98
36.98,37.22
37.22,37.69
38.92,39.35
39.35,39.50
39.50,39.85
39.85,40.34
40.34,40.58
40.58,41.10
41.10,42.37
43.07,43.18
43.18,43.51
43.51,43.77
43.77,44.30
44.30,44.79
44.79,45.14
45.14,45.47
45.47,46.34
47.15,47.33
47.33,47.64
47.64,47.91
47.91,48.32
48.32,48.65
48.65,48.99
48.99,49.37
49.37,49.67
49.67,50.27
51.30,51.80
51.80,51.98
51.98,52.35
52.35,52.66
52.66,52.91
52.91,53.20
53.20,54.66
72.42,72.75
72.75,72.92
72.92,73.22
73.22,73.97
73.97,74.33
74.33,74.52
74.52,74.86
74.86,75.43
76.29,76.44
76.44,76.77
76.77,77.24
77.24,77.83
77.83,78.03
78.03,78.33
78.33,78.80
78.80,79.64
80.50,80.76
80.76,80.91
80.91,81.16
81.16,81.77
81.77,81.99
81.99,82.11
82.11,82.46
82.46,83.85
84.35,84.46
84.46,84.88
84.88,85.36
85.36,85.48
85.48,85.86
85.86,86.04
86.04,86.35
86.35,87.69
88.56,88.86
88.86,89.06
89.06,89.34
89.34,90.11
90.11,90.47
90.47,90.66
90.66,90.96
90.96,91.61
92.43,92.58
92.58,92.88
92.88,93.36
93.36,93.94
93.94,94.13
94.13,94.44
94.44,94.90
94.90,95.74
96.62,96.88
96.88,97.02
97.02,97.30
97.30,97.87
97.87,98.07
98.07,98.21
98.21,98.56
98.56,99.95
100.42,100.51
100.51,100.93
100.93,101.41
101.41,101.54
101.54,101.92
101.92,102.11
102.11,102.40
102.40,103.90
113.02,113.38
113.38,113.81
113.81,114.31
114.31,114.49
114.49,114.62
114.62,114.99
114.99,115.15
115.15,116.19
117.01,117.21
117.21,117.51
117.51,117.88
117.88,118.13
118.13,118.41
118.41,118.71
118.71,118.99
118.99,119.37
119.37,120.44
121.21,121.34
121.34,121.72
121.72,121.84
121.84,122.31
122.31,122.68
122.68,122.84
122.84,123.24
123.24,124.52
125.29,125.79
125.79,126.18
126.18,126.89
126.89,127.08
127.08,127.40
127.40,127.89
127.89,128.76
129.65,129.90
129.90,130.33
130.33,130.74
130.74,130.88
130.88,131.43
131.43,131.98
131.98,132.78
133.63,133.80
133.80,133.93
133.93,134.64
134.64,135.35
135.35,135.91
135.91,136.24
136.24,137.11
137.91,138.12
138.12,138.48
138.48,139.35
139.35,140.16
140.16,140.47
140.47,141.37
142.10,142.57
142.57,142.78
142.78,143.51
143.51,143.84
143.84,144.64
144.64,145.62
163.29,163.62
163.62,163.79
163.79,164.09
164.09,164.84
164.84,165.20
165.20,165.39
165.39,165.73
165.73,166.30
167.16,167.31
167.31,167.64
167.64,168.11
168.11,168.70
168.70,168.90
168.90,169.20
169.20,169.67
169.67,170.51
171.45,171.63
171.63,171.86
171.86,172.11
172.11,172.71
172.71,172.96
172.96,173.08
173.08,173.44
173.44,174.83
175.32,175.43
175.43,175.85
175.85,176.33
176.33,176.45
176.45,176.83
176.83,177.01
177.01,177.32
177.32,178.66
179.52,179.82
179.82,180.00
180.00,180.28
180.28,181.05
181.05,181.41
181.41,181.60
181.60,181.90
181.90,182.55
183.38,183.53
183.53,183.83
183.83,184.31
184.31,184.89
184.89,185.08
185.08,185.39
185.39,185.85
185.85,186.69
187.57,187.83
187.83,187.97
187.97,188.25
188.25,188.82
188.82,189.02
189.02,189.16
189.16,189.51
189.51,190.90
191.37,191.46
191.46,191.88
191.88,192.36
192.36,192.49
192.49,192.87
192.87,193.06
193.06,193.35
193.35,195.74
