word_start,word_end
4.29,4.51
4.51,5.10
5.10,6.03
6.24,6.69
6.69,7.05
7.05,8.37
8.37,9.00
11.53,11.82
11.82,12.17
12.17,12.60
12.60,13.31
13.31,13.78
13.78,14.10
14.10,15.50
15.50,16.57
18.62,18.87
18.87,19.24
19.24,19.66
19.66,20.14
20.14,20.34
20.34,20.81
20.81,21.26
21.26,23.45
25.45,25.87
25.87,26.27
26.27,27.21
27.21,27.63
27.63,28.30
28.30,28.94
28.94,29.63
29.63,30.34
32.71,32.98
32.98,33.32
33.32,33.98
33.98,34.32
34.32,34.66
34.66,35.83
35.83,35.92
35.92,36.95
36.95,38.37
39.55,39.74
39.74,40.17
40.17,40.35
40.35,40.84
40.84,41.36
41.36,41.99
41.99,42.72
42.72,43.06
43.06,43.56
43.56,43.89
43.89,46.68
47.29,47.49
47.49,47.67
47.67,48.37
48.37,48.72
48.72,49.25
49.25,50.50
50.80,51.20
51.20,52.55
52.55,53.87
54.31,54.72
54.72,55.41
55.41,55.98
55.98,57.50
57.81,58.22
58.22,59.49
59.49,60.45
61.37,61.60
61.60,61.77
61.77,62.48
62.48,62.83
62.83,63.33
63.33,64.61
64.89,65.32
65.32,66.66
66.66,68.02
68.46,68.87
68.87,70.14
70.14,71.59
71.96,72.38
72.38,73.01
73.01,73.94
73.94,75.56
76.60,76.79
76.79,77.27
77.27,77.48
77.48,77.98
77.98,78.38
78.38,78.78
78.78,79.31
79.31,79.88
79.88,81.08
83.69,83.88
83.88,84.30
84.30,84.40
84.40,85.38
85.38,85.82
85.82,86.51
86.51,87.06
87.06,88.35
90.69,90.89
90.89,91.55
91.55,92.04
92.04,92.50
92.50,92.68
92.68,93.41
93.41,94.28
94.28,94.91
94.91,96.39
97.72,97.93
97.94,98.45
98.45,98.69
98.69,99.09
99.09,99.56
99.56,99.88
99.88,100.64
100.64,101.30
101.30,101.88
101.88,103.27
105.01,105.26
105.26,105.64
105.64,106.36
106.36,106.63
106.63,107.01
107.01,108.15
108.15,108.25
108.25,109.24
109.24,110.77
111.89,112.07
112.07,112.51
112.51,112.67
112.67,113.19
113.19,113.68
113.68,114.20
114.32,115.22
115.22,115.33
115.33,115.86
115.86,116.23
116.23,118.97
119.62,119.82
119.82,120.00
120.00,120.70
120.70,121.05
121.05,121.58
121.58,122.83
123.13,123.53
123.53,124.88
124.88,126.20
126.64,127.05
127.05,127.74
127.74,128.31
128.31,129.83
130.14,130.55
130.55,131.82
131.82,132.78
133.70,133.93
133.93,134.10
134.10,134.81
134.81,135.16
135.16,135.66
135.66,136.94
137.22,137.65
137.65,138.99
138.99,140.35
140.79,141.20
141.20,142.47
142.47,143.92
144.29,144.71
144.71,145.34
145.34,146.27
146.27,147.87
147.87,148.07
148.07,148.25
148.25,148.95
148.95,149.30
149.30,149.83
149.83,151.08
151.38,151.78
151.78,153.13
153.13,154.45
154.89,155.30
155.30,155.99
155.99,156.56
156.56,158.08
158.39,158.80
158.80,160.07
160.07,161.03
161.95,162.18
162.18,162.35
162.35,163.06
163.06,163.41
163.41,163.91
163.91,165.19
165.47,165.90
165.90,167.24
167.24,168.60
169.04,169.45
169.45,170.72
170.72,172.17
172.54,172.96
172.96,173.59
173.59,174.52
174.52,176.11
176.11,176.31
176.31,176.49
176.49,177.19
177.19,177.54
177.54,178.07
178.07,179.32
179.62,180.02
180.02,181.37
181.37,182.69
183.13,183.54
183.54,184.23
184.23,184.80
184.80,186.32
186.63,187.04
187.04,188.31
188.31,189.27
190.19,190.42
190.42,190.59
190.59,191.30
191.30,191.65
191.65,192.15
192.15,193.43
193.71,194.14
194.14,195.48
195.48,196.84
197.28,197.69
197.69,198.96
198.96,200.41
200.78,201.20
201.20,201.83
201.83,202.76
202.76,204.38
