word_start,word_end
20.88,21.15
21.15,21.49
21.49,21.83
21.83,22.15
22.15,22.44
22.44,22.80
22.80,23.07
23.07,23.52
23.71,23.96
24.26,24.37
24.37,24.97
24.97,25.32
25.32,25.59
25.59,25.85
25.85,26.06
26.06,26.38
26.38,26.66
26.66,26.97
26.97,27.10
27.10,27.32
27.32,27.61
27.61,27.85
28.13,28.25
28.25,28.45
28.45,28.78
28.78,28.95
29.07,29.27
29.27,29.64
29.64,29.82
29.82,29.94
29.94,30.25
30.25,30.45
30.45,30.71
30.93,31.22
31.22,31.50
31.50,31.67
31.67,31.98
31.98,32.14
32.14,32.81
32.81,32.97
32.97,33.26
33.26,33.36
33.36,33.70
33.70,33.88
33.88,34.03
34.03,34.48
34.48,34.64
34.64,34.93
34.93,35.24
35.24,35.40
35.40,35.70
35.87,36.10
36.10,36.28
36.28,36.84
36.84,37.04
37.04,37.18
37.18,37.36
37.36,37.47
37.47,37.89
38.10,38.25
38.25,38.39
38.39,38.59
38.59,38.75
38.75,39.32
39.32,39.47
39.47,39.64
39.64,39.93
39.93,40.23
40.57,40.76
40.76,40.88
40.88,41.17
41.17,41.48
41.48,41.67
41.67,41.83
41.83,42.14
42.14,42.52
42.52,42.66
42.66,42.82
42.82,43.03
43.03,43.09
43.09,43.41
43.41,43.53
43.53,43.70
43.70,44.28
44.52,44.54
44.54,44.90
44.90,45.19
45.58,46.14
46.14,47.10
47.48,47.77
47.77,47.93
47.93,48.06
48.06,48.37
48.37,48.73
48.73,48.86
48.86,49.07
49.07,49.27
49.27,49.89
49.89,50.17
50.44,50.60
50.60,50.95
50.95,51.05
51.05,51.35
51.35,51.49
51.49,52.04
52.04,52.34
52.34,52.48
52.48,53.06
53.06,53.60
53.60,53.73
53.73,53.85
53.85,54.14
54.14,54.81
54.81,55.14
55.29,55.54
55.54,56.08
56.08,56.21
56.21,56.35
56.35,56.48
56.48,56.98
56.98,57.24
57.47,57.73
57.73,57.90
57.90,58.05
58.05,58.30
58.30,58.52
58.52,58.63
58.63,58.97
58.97,59.15
59.15,59.32
59.32,59.58
59.58,59.94
59.94,60.12
60.12,60.42
61.24,61.61
61.61,61.87
61.87,62.61
63.08,63.42
63.42,63.54
63.54,63.69
63.69,64.01
64.01,64.19
64.19,64.51
64.51,64.68
64.68,64.95
64.95,65.18
65.18,65.29
65.29,65.67
65.67,65.88
65.88,66.65
66.65,66.88
66.88,67.17
67.17,67.43
67.43,68.17
68.44,68.69
68.69,69.01
69.01,69.23
69.23,69.38
69.38,69.70
69.97,70.29
70.29,70.57
70.57,70.95
70.95,71.12
71.12,71.35
71.35,71.68
71.68,71.89
71.89,72.14
72.14,72.71
73.03,73.39
73.39,73.56
73.56,73.94
73.94,74.05
74.05,74.73
74.73,74.85
74.85,75.01
75.01,75.32
75.32,75.58
75.58,75.77
75.93,76.09
76.09,76.28
76.28,76.70
76.70,76.96
76.96,77.14
77.48,77.77
77.77,78.07
78.07,78.48
78.48,78.76
78.76,78.96
78.96,79.12
79.12,79.34
79.34,79.71
79.71,79.93
79.93,80.20
80.20,80.37
80.37,80.68
80.68,81.41
80.75,81.13
81.13,81.48
81.48,81.82
81.82,82.29
82.70,82.84
82.84,82.96
82.96,83.11
83.11,83.51
83.51,84.02
84.02,84.18
84.18,84.36
84.36,84.62
84.62,84.93
84.93,85.32
85.32,85.70
85.78,85.95
85.95,86.27
86.27,86.59
86.85,87.07
87.07,87.40
87.40,87.50
87.50,87.86
87.86,88.11
88.11,88.58
88.58,88.74
88.74,89.02
89.02,89.18
89.18,89.46
89.46,89.81
89.81,90.34
90.61,90.92
90.92,91.18
91.18,91.36
91.36,91.73
91.87,92.05
92.05,92.19
92.19,92.52
92.52,92.76
