word_start,word_end
0.84,1.02
1.02,1.18
1.18,1.32
1.32,1.67
1.67,1.81
1.81,2.09
2.09,2.25
2.25,3.02
3.02,3.18
3.18,3.71
3.71,4.03
4.55,4.78
4.78,5.08
5.08,5.50
5.50,5.71
5.71,5.99
5.99,6.92
6.92,7.41
7.41,8.92
9.24,9.70
9.70,11.22
11.52,12.49
12.49,12.76
12.76,13.23
13.23,13.63
13.63,13.88
13.88,14.35
14.35,14.67
14.67,15.62
15.72,15.95
15.95,16.21
16.21,16.69
16.69,16.90
16.90,17.16
17.16,17.92
17.92,18.06
18.06,18.50
18.50,18.78
19.23,19.30
19.30,19.43
19.43,19.71
19.71,19.94
19.94,20.39
20.39,20.55
20.55,20.83
20.83,21.50
21.75,22.28
22.28,23.88
24.15,24.50
24.50,26.10
26.36,28.70
29.08,29.19
29.19,29.67
29.67,30.00
30.00,30.16
30.16,31.55
31.55,31.73
31.73,31.86
31.86,32.50
32.80,32.92
32.92,33.43
33.43,33.69
33.69,33.88
33.88,34.46
34.80,35.55
35.55,36.30
36.53,36.66
36.66,37.15
37.15,37.43
37.43,37.54
37.54,38.61
39.00,39.31
39.31,39.47
39.47,40.15
40.15,41.11
41.75,42.20
42.26,42.67
42.72,43.16
43.21,43.81
45.51,45.74
45.74,45.97
45.97,46.46
46.46,46.62
46.62,46.90
46.90,47.67
47.67,47.83
47.83,48.29
48.29,48.64
49.00,49.06
49.06,49.22
49.22,49.48
49.48,49.73
49.73,50.15
50.15,50.31
50.31,50.56
50.56,51.37
51.52,52.07
52.07,53.56
53.89,54.19
54.19,55.81
56.17,57.14
57.14,57.40
57.40,57.91
57.91,58.35
58.35,58.53
58.53,59.00
59.00,59.30
59.30,60.29
64.16,64.52
64.52,65.55
65.55,65.99
65.99,66.43
66.43,66.86
66.86,67.90
69.73,70.05
70.05,71.09
71.09,71.56
71.56,72.18
73.71,73.82
73.82,74.32
74.32,74.65
74.65,74.79
74.79,76.20
76.20,76.35
76.35,76.50
76.50,77.26
77.44,77.55
77.55,78.08
78.08,78.34
78.34,78.52
78.52,79.09
79.45,80.20
80.20,80.99
81.17,81.28
81.28,81.80
81.80,82.08
82.08,82.20
82.20,83.29
83.67,83.94
83.94,84.12
84.12,84.81
84.81,85.82
86.42,86.86
86.91,87.32
87.37,87.81
87.86,88.41
105.07,105.22
105.22,105.34
105.34,105.48
105.48,105.81
105.81,105.97
105.97,106.27
106.27,106.43
106.43,107.18
107.18,107.36
107.36,107.85
107.85,108.31
108.73,108.94
108.94,109.25
109.25,109.66
109.66,109.87
109.87,110.15
110.15,110.93
111.08,111.59
111.59,113.21
113.45,113.75
113.75,115.40
115.68,117.76
118.34,118.48
118.48,118.97
118.97,119.30
119.30,119.46
119.46,120.85
120.85,121.01
121.01,121.15
121.15,121.81
122.09,122.22
122.22,122.73
122.73,122.99
122.99,123.20
123.20,123.85
124.08,124.85
124.85,125.59
125.84,125.93
125.93,126.45
126.45,126.73
126.73,126.85
126.85,127.95
128.30,128.61
128.61,128.75
128.75,129.47
129.47,130.52
131.07,131.51
131.56,131.97
132.02,132.44
132.48,133.10
133.25,133.38
133.38,133.88
133.88,134.20
134.20,134.37
134.37,135.72
135.72,135.90
135.90,136.04
136.04,136.77
136.96,137.08
137.08,137.59
137.59,137.87
137.87,138.06
138.06,138.69
138.99,139.71
139.71,140.44
140.68,140.81
140.81,141.33
141.33,141.61
141.61,141.74
141.74,142.79
143.21,143.49
143.49,143.63
143.63,144.37
144.37,145.48
145.97,146.39
146.44,146.83
146.88,147.30
147.34,147.97
149.71,150.15
150.20,150.62
150.66,151.08
151.13,151.62
