word_start,word_end
22.56,22.81
22.81,23.28
23.28,24.11
25.97,26.74
26.74,26.97
26.97,27.43
27.43,28.02
29.92,30.17
30.17,30.61
30.61,31.44
33.40,34.12
34.12,34.33
34.33,34.82
34.82,35.56
37.34,37.58
37.58,38.01
38.01,38.72
38.72,38.97
38.97,39.18
39.18,39.82
40.83,41.25
41.25,41.64
41.64,42.18
42.18,42.55
42.55,42.88
42.88,43.45
44.72,44.98
44.98,45.37
45.37,45.99
46.09,46.35
46.35,46.59
46.59,47.63
48.23,48.63
48.63,49.10
49.10,49.50
49.50,49.91
49.91,50.24
50.24,50.90
67.64,68.13
68.13,68.50
68.50,69.01
69.01,69.43
69.43,69.87
69.87,70.34
70.34,71.06
71.06,71.27
71.27,72.31
72.64,72.91
73.08,74.43
74.96,75.63
75.63,76.10
76.10,76.54
76.54,77.03
77.03,77.70
77.70,78.35
78.46,78.63
78.63,79.98
79.98,80.34
80.47,81.79
82.29,83.01
83.01,83.46
83.46,83.97
83.97,84.43
84.43,84.69
84.69,85.10
85.10,85.78
85.78,86.01
86.01,88.69
88.98,89.26
89.26,89.68
89.68,90.64
92.44,93.18
93.18,93.42
93.42,93.88
93.88,94.48
96.37,96.64
96.64,97.06
97.06,98.12
99.82,100.55
100.55,100.79
100.79,101.24
101.24,102.00
103.82,104.05
104.05,104.47
104.47,105.19
105.19,105.42
105.42,105.65
105.65,106.26
107.23,107.71
107.71,108.07
108.07,108.62
108.62,108.99
108.99,109.34
109.34,110.22
111.17,111.41
111.41,111.87
111.87,112.55
112.55,112.80
112.80,113.03
113.03,113.83
114.69,115.10
115.10,115.46
115.46,116.04
116.04,116.42
116.42,116.69
116.69,117.49
138.39,138.64
138.64,138.85
138.85,139.11
139.11,139.58
140.02,140.24
140.24,140.50
140.50,140.92
140.92,141.31
141.84,142.10
142.10,142.33
142.33,142.77
142.77,143.33
143.73,144.14
144.14,144.86
144.86,145.10
145.10,145.45
145.80,146.03
146.03,146.26
146.26,146.49
146.49,146.85
147.38,147.67
147.67,147.86
147.86,148.32
148.32,148.75
149.24,149.46
149.46,149.74
149.74,150.13
150.13,150.77
151.09,151.50
151.50,152.32
152.32,152.48
152.48,152.93
153.15,153.41
153.41,153.62
153.62,153.87
153.87,154.44
154.76,154.99
154.99,155.24
155.24,155.68
155.68,156.21
156.59,156.87
156.87,157.10
157.10,157.54
157.54,158.12
158.52,158.89
158.89,159.66
159.66,159.93
159.93,160.34
160.56,160.77
160.77,161.00
161.00,161.26
161.26,161.77
162.19,162.43
162.43,162.63
162.63,163.09
163.09,163.63
164.03,164.25
164.25,164.48
164.48,164.94
164.94,165.43
165.84,166.30
166.30,167.05
167.05,167.25
167.25,167.72
