word_start,word_end
17.48,18.49
18.49,19.53
19.53,20.21
20.69,21.27
21.27,21.76
21.76,22.55
24.77,25.03
25.03,25.84
25.84,26.14
26.14,26.52
26.52,26.84
26.84,27.84
29.14,29.42
29.42,30.23
30.23,31.11
31.11,31.85
34.87,36.41
36.41,36.94
36.94,37.57
37.57,38.10
38.10,38.64
38.64,39.27
39.27,40.22
42.16,42.25
42.25,43.05
43.05,43.54
43.54,44.56
46.55,46.86
46.86,47.55
47.55,47.74
47.74,47.92
47.92,48.78
48.78,50.36
52.36,54.22
54.22,55.26
56.63,58.55
58.55,59.62
60.49,61.04
61.04,61.37
61.37,61.81
61.81,62.13
62.13,62.55
62.55,62.81
62.81,63.90
65.41,65.64
65.64,66.08
66.08,66.45
66.45,67.52
69.81,71.65
71.65,72.69
74.09,76.02
76.02,77.14
77.95,78.50
78.50,79.64
79.64,79.87
79.87,80.32
80.32,80.69
80.69,81.81
82.31,82.87
82.87,84.02
86.63,87.17
87.17,88.10
105.58,105.82
105.82,106.32
106.32,106.60
106.60,107.23
107.69,108.69
108.69,108.97
108.97,109.56
109.99,110.22
110.22,110.94
110.94,112.17
114.26,114.98
114.98,115.23
115.23,115.87
115.87,116.71
117.75,118.56
118.56,119.25
119.25,119.43
119.43,120.75
123.25,124.31
124.31,125.43
125.43,126.41
126.41,127.73
128.60,129.73
129.73,130.77
130.77,132.57
139.06,139.36
139.36,139.62
139.62,139.96
139.96,140.41
140.41,140.59
140.59,141.06
141.06,141.45
141.45,141.75
141.75,142.19
142.19,142.59
142.59,142.85
142.85,143.19
143.19,143.64
143.64,143.85
143.85,144.31
144.31,144.80
144.80,145.04
145.04,145.51
146.09,146.51
146.51,146.96
146.96,147.98
148.05,148.28
148.28,149.50
150.44,151.04
151.04,151.29
151.29,151.46
151.46,152.11
152.11,152.62
152.62,153.18
153.18,153.84
154.15,154.90
154.90,155.69
155.69,156.69
157.01,157.47
157.47,157.89
157.89,158.15
158.15,158.91
158.91,159.26
159.26,160.05
160.05,160.26
160.26,160.90
160.90,162.27
165.53,165.81
165.81,166.51
166.51,166.79
166.79,168.04
169.80,170.13
170.13,170.80
170.80,171.28
171.28,173.32
173.32,174.42
174.42,175.63
183.27,185.15
185.15,186.56
187.61,189.47
189.47,190.79
191.40,191.98
191.98,192.23
192.23,192.74
192.74,193.07
193.07,193.42
193.42,193.75
193.75,194.86
196.30,196.58
196.58,197.06
197.06,197.39
197.39,198.44
200.71,202.61
202.61,204.06
205.03,206.93
206.93,208.06
208.81,209.42
209.42,210.53
210.53,210.76
210.76,211.25
211.25,211.62
211.62,212.81
213.20,213.72
213.72,214.50
217.53,218.04
218.04,219.86
221.95,222.47
222.47,224.95
