word_start,word_end
4.02,4.27
4.27,4.67
4.67,4.97
4.97,5.18
5.18,5.46
5.46,5.66
5.66,6.18
6.18,6.33
6.33,7.27
7.84,8.01
8.01,8.94
9.05,9.45
9.54,9.98
9.98,10.26
10.26,10.78
10.78,11.27
11.27,12.26
13.63,14.14
14.14,14.53
14.53,14.86
14.86,15.39
15.39,16.28
19.62,19.96
19.96,20.55
20.55,20.91
21.04,21.33
21.33,21.52
21.52,21.78
21.78,22.90
23.20,23.34
23.34,23.63
23.68,23.96
23.96,24.41
24.41,24.86
25.12,25.46
25.46,26.07
26.07,26.33
26.33,26.54
26.54,27.03
27.03,27.44
27.44,28.44
29.19,29.34
29.34,29.93
29.93,30.05
30.05,30.62
30.62,31.91
33.55,33.92
34.48,35.43
35.43,35.94
35.94,37.07
37.38,37.89
37.89,38.33
38.33,38.77
38.77,39.11
39.11,39.74
39.74,40.24
40.24,40.95
41.21,41.56
41.68,41.93
41.93,42.16
42.16,42.63
42.63,43.14
43.14,43.60
43.60,44.03
44.03,44.75
45.02,45.54
46.02,46.37
46.37,46.99
46.99,47.44
47.44,48.46
48.89,49.30
49.85,50.80
50.80,51.29
51.29,51.75
51.75,52.41
52.73,53.19
53.19,53.68
53.68,54.18
54.18,54.52
54.52,55.10
55.10,55.58
55.58,56.28
56.61,57.00
57.09,57.51
57.51,58.41
58.41,58.95
58.95,59.35
59.35,59.98
60.38,61.14
61.44,61.85
61.85,62.36
62.36,62.56
62.56,63.18
63.43,63.73
63.73,63.99
63.99,64.25
64.25,64.50
64.50,64.77
64.77,65.20
65.20,66.67
67.33,67.64
67.64,67.87
67.87,68.08
68.08,68.54
68.54,68.82
68.82,69.05
69.05,70.46
71.16,71.44
71.44,71.68
71.68,71.93
71.93,72.65
72.65,72.88
72.88,73.32
73.32,73.58
73.58,74.68
75.55,75.81
75.81,76.02
76.02,76.50
76.50,78.15
78.83,79.08
79.08,79.34
79.34,79.59
79.59,79.85
79.85,80.11
80.11,80.57
80.57,81.93
80.85,81.05
81.05,81.31
81.31,81.58
81.58,81.82
81.82,82.05
82.05,82.27
82.27,83.25
82.68,83.02
83.02,83.24
83.24,83.42
83.42,83.91
83.91,84.14
84.14,84.42
84.42,85.96
84.66,84.91
84.91,85.15
85.15,85.36
85.36,85.84
85.84,86.09
86.09,86.33
86.33,87.32
86.55,86.82
86.82,87.04
87.04,87.30
87.30,88.01
88.01,88.27
88.27,88.62
88.62,88.94
88.94,89.06
88.46,88.73
88.73,88.95
88.95,89.21
89.21,89.92
89.92,90.18
90.18,90.53
90.53,90.82
90.82,91.53
90.88,91.13
91.13,91.39
91.39,91.86
91.86,93.29
92.56,92.83
92.83,93.26
93.26,93.77
93.77,94.65
96.27,97.11
97.11,97.35
97.35,97.57
97.84,98.10
98.10,98.31
98.31,98.54
98.54,99.60
99.98,100.14
100.14,100.56
100.68,101.57
101.89,102.39
102.39,103.13
103.32,104.05
104.05,104.21
104.21,105.34
105.99,106.17
106.23,107.18
107.18,107.40
107.40,108.23
111.73,112.11
112.19,113.32
113.44,113.69
113.69,113.91
113.91,114.98
115.56,115.90
115.90,116.53
116.53,117.00
117.00,117.28
117.28,117.52
117.52,117.69
117.69,118.25
118.25,118.71
118.71,120.16
121.10,121.36
121.36,121.61
121.61,121.82
121.82,122.32
122.32,122.80
122.80,123.96
125.71,126.08
126.64,127.59
127.59,128.10
128.10,129.23
129.54,130.05
130.05,130.49
130.49,130.93
130.93,131.27
131.27,131.90
131.90,132.40
132.40,133.11
133.37,133.72
133.84,134.09
134.09,134.32
134.32,134.79
134.79,135.30
135.30,135.76
135.76,136.19
136.19,136.91
137.18,137.70
138.18,138.53
138.53,139.15
139.15,139.60
139.60,140.62
141.05,141.46
142.01,142.96
142.96,143.45
143.45,143.91
143.91,144.57
144.89,145.35
145.35,145.84
145.84,146.34
146.34,146.68
146.68,147.26
147.26,147.74
147.74,148.44
148.77,149.16
149.25,149.67
149.67,150.57
150.57,151.11
151.11,151.51
151.51,152.14
152.54,153.30
153.60,154.01
154.01,154.52
154.52,154.72
154.72,155.34
155.59,155.89
155.89,156.15
156.15,156.41
156.41,156.66
156.66,156.93
156.93,157.36
157.36,158.83
159.49,159.80
159.80,160.03
160.03,160.24
160.24,160.70
160.70,160.98
160.98,161.21
161.21,162.62
163.32,163.60
163.60,163.84
163.84,164.09
164.09,164.81
164.81,165.04
165.04,165.48
165.48,165.74
165.74,166.84
167.71,167.97
167.97,168.18
168.18,168.66
168.66,170.31
170.99,171.24
171.24,171.50
171.50,171.75
171.75,172.01
172.01,172.27
172.27,172.73
172.73,174.09
173.01,173.21
173.21,173.47
173.47,173.74
173.74,173.98
173.98,174.21
174.21,174.43
174.43,175.41
174.84,175.18
175.18,175.40
175.40,175.58
175.58,176.07
176.07,176.30
176.30,176.58
176.58,178.12
176.82,177.07
177.07,177.31
177.31,177.52
177.52,178.00
178.00,178.25
178.25,178.49
178.49,179.48
178.71,178.98
178.98,179.20
179.20,179.46
179.46,180.17
180.17,180.43
180.43,180.78
180.78,181.10
181.10,181.22
180.62,180.89
180.89,181.11
181.11,181.37
181.37,182.08
182.08,182.34
182.34,182.69
182.69,182.98
182.98,183.69
183.04,183.29
183.29,183.55
183.55,184.02
184.02,185.45
184.72,184.99
184.99,185.42
185.42,185.93
185.93,186.81
