word_start,word_end
1.53,3.10
3.95,4.50
7.57,7.72
7.72,7.94
7.94,8.47
8.47,8.82
9.94,10.10
10.10,10.33
10.61,10.73
10.73,11.01
11.01,11.40
11.40,11.62
11.62,11.75
12.70,13.10
14.07,14.28
14.28,14.35
14.35,14.56
14.56,14.70
14.70,15.02
15.02,15.16
15.16,15.46
15.46,15.95
18.97,19.22
19.22,19.43
19.43,19.57
19.57,19.85
19.85,20.01
20.01,20.14
20.14,20.43
20.43,20.64
20.64,20.90
20.90,21.18
21.18,21.36
21.36,21.71
21.71,21.87
21.87,22.14
22.14,22.43
22.43,22.78
22.78,23.06
23.06,23.22
23.22,23.49
23.49,23.73
23.73,23.85
24.08,24.17
24.17,24.40
24.40,24.57
24.57,24.64
24.64,24.75
24.75,25.03
25.03,25.51
25.68,26.01
26.01,26.19
26.19,26.59
26.59,27.07
27.07,27.33
27.33,27.43
27.43,27.77
27.77,28.18
28.37,28.70
28.70,28.87
28.87,29.00
29.00,29.14
29.14,29.49
29.49,29.63
29.63,29.93
29.93,30.11
30.11,30.27
30.27,30.55
30.55,30.75
30.75,30.88
30.88,31.18
31.18,31.62
31.62,31.79
31.79,32.07
32.07,32.27
32.27,32.41
32.41,32.79
33.04,33.23
33.23,33.38
33.38,33.71
33.71,33.92
33.92,34.13
34.13,34.36
34.36,34.50
34.50,34.94
35.18,35.43
35.43,35.59
35.59,35.76
35.76,35.94
35.94,36.11
36.11,36.41
36.41,36.58
36.58,36.77
36.77,37.10
37.10,37.27
37.27,37.59
37.59,38.02
38.17,38.29
38.29,38.43
38.43,38.51
38.51,39.12
39.31,39.43
39.43,39.61
39.61,39.75
39.75,40.01
40.01,40.22
40.22,40.52
40.52,40.66
40.66,40.77
40.77,40.96
40.96,41.33
41.33,41.56
41.56,41.86
41.86,41.98
41.98,42.25
42.49,42.70
42.70,42.93
42.93,43.14
43.14,43.23
43.23,43.42
43.42,43.95
44.14,44.46
44.46,44.63
44.63,45.09
45.09,45.28
45.28,45.42
45.42,45.51
45.51,45.67
45.67,46.14
46.14,46.32
46.32,46.91
47.09,47.27
47.27,47.39
47.39,47.55
47.55,47.67
47.67,47.78
47.78,47.99
47.99,48.30
48.30,48.94
49.25,49.39
49.39,49.57
49.57,50.01
50.01,50.13
50.13,50.87
50.87,51.13
51.13,51.38
51.38,51.71
51.71,51.94
51.94,52.06
52.06,52.30
52.30,52.45
52.45,52.87
52.92,53.19
53.19,53.40
53.40,53.71
53.71,53.94
53.94,54.07
54.07,54.45
54.45,54.86
55.14,55.54
55.54,55.66
55.66,56.00
56.00,56.26
56.26,56.45
56.45,56.61
56.61,56.86
56.86,57.05
57.05,57.21
57.21,57.51
57.51,57.63
57.63,57.82
57.82,58.28
59.02,59.37
59.37,60.23
60.23,60.53
60.53,60.86
60.86,61.14
61.14,61.48
61.48,61.76
61.76,62.39
62.39,62.97
62.97,63.32
63.32,63.88
64.01,64.20
64.20,64.55
64.55,64.71
64.71,64.85
64.85,65.13
65.13,65.31
65.31,65.47
65.47,65.87
65.87,66.10
66.10,66.27
66.27,66.64
66.64,66.96
66.96,67.28
67.28,67.97
68.80,69.17
69.17,70.03
70.03,70.33
70.33,70.66
70.66,70.96
70.96,71.28
71.28,71.54
71.54,72.16
72.16,72.79
72.79,73.14
73.14,73.77
73.86,74.00
74.00,74.32
74.32,74.49
74.49,74.67
74.67,74.95
74.95,75.14
75.14,75.30
75.30,75.70
75.70,75.90
75.90,76.09
76.09,76.41
76.41,76.71
76.71,77.02
77.02,77.63
77.91,78.00
78.00,78.18
78.18,78.32
78.32,78.62
78.62,78.90
78.90,79.13
79.13,79.59
79.59,79.87
79.87,80.18
80.18,80.31
80.31,80.52
80.52,80.69
80.69,80.83
80.83,81.03
81.03,81.20
81.20,81.35
81.35,81.50
81.50,81.73
81.73,82.03
82.03,82.33
82.33,82.66
82.66,82.83
82.83,82.96
82.96,83.43
83.43,83.83
83.83,84.10
84.10,84.26
84.26,84.33
84.33,84.87
84.87,84.94
84.94,85.11
85.11,85.42
85.42,85.56
