word_start,word_end
18.75,19.13
19.13,19.27
19.27,19.57
19.57,19.67
19.67,19.82
19.82,21.21
21.80,22.01
22.01,22.13
22.13,22.57
22.57,22.78
22.78,23.24
24.70,25.10
25.10,25.49
25.49,25.78
25.78,26.29
26.29,26.45
26.45,27.38
27.72,27.91
27.91,28.07
28.07,28.72
28.72,29.55
30.58,30.86
30.86,31.04
31.04,31.31
31.31,31.44
31.44,31.65
31.65,32.11
33.48,34.08
34.08,34.71
34.71,35.81
36.59,37.40
37.40,38.89
39.40,39.60
39.60,39.81
39.81,40.05
40.05,40.21
40.21,40.34
40.34,40.54
40.54,40.68
40.68,41.23
42.82,43.14
43.14,43.49
43.49,44.67
45.02,46.32
48.80,49.36
49.36,50.27
50.61,51.03
51.33,52.53
65.85,66.17
66.17,66.54
66.54,66.75
66.75,67.08
67.08,67.36
67.36,67.80
68.73,69.03
69.03,69.22
69.22,69.62
69.62,69.70
69.70,69.99
69.99,70.93
71.91,72.25
72.25,72.49
72.49,72.65
72.65,72.88
72.88,73.34
74.81,74.97
74.97,75.17
75.17,75.41
75.41,75.69
75.69,75.90
75.90,76.29
76.29,76.92
77.11,77.69
77.87,78.26
78.26,78.64
78.64,78.87
78.87,79.22
79.22,79.44
79.44,79.93
80.78,81.03
81.03,81.22
81.22,81.59
81.59,81.89
81.89,82.69
83.65,83.81
83.81,84.23
84.23,84.58
84.58,84.82
84.82,85.30
85.30,86.17
86.69,86.83
86.83,87.07
87.07,87.23
87.23,87.66
87.66,88.30
90.09,90.61
90.61,91.04
91.04,91.70
91.99,92.20
92.20,92.64
92.64,93.41
96.19,96.73
96.73,97.59
97.96,98.47
98.61,99.98
113.70,114.19
114.19,114.53
114.53,115.63
115.63,116.74
119.53,119.90
119.90,120.32
120.32,120.89
121.15,121.43
121.43,122.35
124.93,125.19
125.19,126.06
126.06,126.84
126.84,127.13
127.13,128.68
130.98,131.32
131.32,131.83
131.83,132.69
132.90,133.14
133.14,133.95
157.44,157.93
157.93,158.32
158.32,158.49
158.49,159.76
160.46,160.83
160.83,161.20
161.20,161.42
161.42,162.01
162.57,162.76
162.76,162.96
162.96,163.48
163.48,163.64
163.64,164.45
164.45,164.65
164.65,164.85
164.85,165.52
165.65,165.79
165.79,166.09
166.09,166.47
166.47,166.68
166.78,167.08
167.08,167.31
167.31,167.83
169.31,169.76
169.76,170.26
170.26,170.43
170.43,171.43
172.32,172.69
172.69,173.18
173.18,173.37
173.37,174.20
175.32,175.67
175.67,176.11
176.11,176.34
176.34,177.54
178.18,178.31
178.31,178.52
178.52,178.73
178.73,179.12
179.12,179.85
181.56,181.72
181.72,182.12
182.12,182.49
182.49,183.59
183.59,184.10
184.10,184.30
184.30,185.11
187.62,188.16
188.16,189.05
189.46,189.94
190.09,191.13
