word_start,word_end
11.14,11.70
11.70,12.27
12.27,12.72
12.72,13.21
13.95,14.91
14.91,16.11
16.72,17.23
17.23,17.61
17.61,18.32
18.32,18.94
19.16,19.48
19.48,20.01
20.01,20.55
20.55,21.27
22.31,22.82
22.82,23.36
23.36,24.55
24.77,25.17
25.17,26.08
26.08,27.58
27.86,28.33
28.33,30.01
30.36,31.14
31.66,32.86
35.00,35.22
35.22,35.40
35.40,35.57
35.57,35.90
35.90,36.27
36.27,37.62
38.68,39.04
39.04,40.13
40.62,40.77
40.77,40.91
40.91,41.12
41.12,41.47
41.47,41.84
41.84,42.67
42.89,43.19
43.19,44.50
44.65,45.67
45.67,45.99
45.99,47.04
47.04,47.36
47.36,48.71
48.78,49.08
49.08,49.32
49.32,50.14
50.18,51.62
51.62,52.64
52.64,53.02
53.02,54.78
55.44,55.76
55.76,59.71
59.95,60.53
60.53,61.02
61.02,62.27
64.20,64.58
64.69,65.03
65.03,65.73
65.73,66.11
66.64,66.96
66.96,67.53
67.53,69.22
69.73,70.21
70.21,70.73
70.73,71.90
72.21,73.07
73.07,74.23
75.32,75.83
75.83,76.27
76.27,76.90
76.90,77.34
77.34,77.68
77.68,78.11
78.11,78.64
78.64,79.05
79.05,80.29
80.92,81.41
81.41,81.89
81.89,83.01
83.36,83.70
83.70,84.38
84.73,84.93
84.93,85.89
86.12,86.49
86.49,87.33
88.07,88.23
88.23,88.58
88.58,89.28
89.28,89.79
89.79,90.19
90.19,91.31
91.73,92.12
92.12,93.14
93.69,93.85
93.85,94.20
94.20,94.87
94.87,95.57
95.89,96.22
96.22,97.58
97.68,98.66
98.66,99.00
99.00,100.10
100.10,100.42
100.42,101.60
101.79,102.20
102.20,102.39
102.39,103.11
103.21,104.60
104.60,105.65
105.65,105.95
105.95,107.48
108.78,109.83
109.83,110.22
110.22,111.58
111.58,112.85
114.72,115.07
115.07,115.58
115.58,115.79
115.79,116.58
116.58,116.74
116.74,117.90
126.74,126.89
126.89,127.38
127.38,127.63
127.63,128.08
128.08,128.22
128.22,129.02
129.26,129.41
129.41,129.63
129.63,130.30
130.30,130.75
130.75,131.33
132.02,132.43
132.43,132.53
132.53,132.91
132.91,133.23
133.23,134.05
134.99,135.18
135.18,135.68
135.68,135.99
135.99,136.36
136.36,136.57
136.57,137.43
137.76,138.13
138.13,139.13
139.13,140.53
142.26,147.27
208.86,209.30
209.30,210.13
210.13,210.32
210.32,211.37
211.73,212.08
212.08,212.62
212.62,214.21
214.55,215.33
215.33,215.73
215.73,215.91
215.91,216.94
217.34,217.65
217.65,218.14
218.14,218.57
218.57,219.43
220.42,220.95
220.95,221.46
221.46,222.54
222.86,223.18
223.18,223.69
223.69,224.19
224.19,225.45
225.99,227.06
227.06,227.55
227.55,228.22
228.43,228.59
228.59,228.78
228.78,229.14
229.41,231.71
233.19,233.30
233.30,233.47
233.47,233.68
233.68,234.00
234.00,234.40
234.40,235.84
236.79,237.17
237.17,238.66
238.78,238.90
238.90,239.06
239.06,239.25
239.25,239.55
239.55,239.94
239.94,240.87
241.04,241.38
241.38,242.56
242.75,243.78
243.78,244.09
244.09,245.15
245.15,245.50
245.50,246.74
246.89,247.24
247.24,247.45
247.45,248.15
248.30,249.73
249.73,250.76
250.76,251.05
251.05,252.82
253.56,253.85
253.85,257.80
258.08,258.66
258.66,259.13
259.13,260.22
262.29,262.50
262.81,263.02
263.27,263.88
