word_start,word_end
3.48,3.90
3.90,4.25
4.25,4.46
4.46,4.64
4.64,4.94
4.94,5.41
5.41,5.74
5.74,5.96
5.96,6.15
6.15,6.52
6.52,6.87
6.87,7.27
7.27,7.54
7.54,8.27
8.27,8.78
8.78,8.94
8.94,9.15
9.15,9.69
10.15,10.47
10.47,10.66
10.66,11.34
11.73,12.64
15.49,15.91
15.91,16.25
16.25,16.44
16.44,16.58
16.58,16.99
16.99,17.74
17.74,17.93
17.93,18.13
18.13,18.74
18.74,19.27
19.27,19.64
19.64,19.97
19.97,20.36
20.36,20.78
20.78,21.13
21.13,21.75
22.22,22.43
22.43,22.64
22.64,23.41
23.62,23.92
23.92,24.10
24.10,24.74
26.73,26.96
26.96,27.14
27.14,27.54
27.54,27.93
27.93,28.35
28.35,28.51
28.51,28.70
28.70,29.05
29.05,29.37
29.37,29.90
30.00,30.21
30.21,30.58
30.58,30.78
30.78,30.95
30.95,31.32
31.32,31.62
31.62,31.88
31.88,32.18
32.18,32.37
32.37,32.60
32.60,32.72
32.72,32.95
32.95,33.91
35.18,35.36
35.36,35.57
35.57,35.73
35.73,35.97
35.97,37.11
38.92,39.12
39.12,39.78
39.78,40.26
40.26,40.45
40.45,40.56
40.56,41.04
41.04,41.38
41.38,41.96
41.96,42.11
42.11,42.88
42.88,43.30
43.30,43.49
43.49,43.65
43.65,44.02
44.02,44.21
44.21,44.37
44.37,44.58
44.58,44.72
44.72,44.93
44.93,45.75
46.95,47.16
47.16,47.34
47.34,47.53
47.53,47.72
47.72,47.93
47.93,48.82
75.55,75.90
75.90,76.24
76.24,76.45
76.45,76.63
76.63,76.93
76.93,77.40
77.40,77.73
77.73,77.95
77.95,78.14
78.14,78.51
78.51,78.86
78.86,79.26
79.26,79.53
79.53,80.26
80.26,80.77
80.77,80.93
80.93,81.14
81.14,81.68
82.14,82.46
82.46,82.65
82.65,83.33
83.72,84.63
87.48,87.90
87.90,88.24
88.24,88.43
88.43,88.57
88.57,88.98
88.98,89.73
89.73,89.92
89.92,90.12
90.12,90.73
90.73,91.26
91.26,91.63
91.63,91.96
91.96,92.35
92.35,92.77
92.77,93.12
93.12,93.74
94.21,94.42
94.42,94.63
94.63,95.40
95.61,95.91
95.91,96.09
96.09,96.73
98.72,98.95
98.95,99.13
99.13,99.53
99.53,99.92
99.92,100.34
100.34,100.50
100.50,100.69
100.69,101.04
101.04,101.36
101.36,101.89
101.99,102.20
102.20,102.57
102.57,102.77
102.77,102.94
102.94,103.31
103.31,103.61
103.61,103.87
103.87,104.17
104.17,104.36
104.36,104.59
104.59,104.71
104.71,104.94
104.94,105.90
107.17,107.35
107.35,107.56
107.56,107.72
107.72,107.96
107.96,109.10
110.91,111.11
111.11,111.77
111.77,112.25
112.25,112.44
112.44,112.55
112.55,113.03
113.03,113.37
113.37,113.95
113.95,114.10
114.10,114.87
114.87,115.29
115.29,115.48
115.48,115.64
115.64,116.01
116.01,116.20
116.20,116.36
116.36,116.57
116.57,116.71
116.71,116.92
116.92,117.74
118.94,119.15
119.15,119.33
119.33,119.52
119.52,119.71
119.71,119.92
119.92,120.81
