word_start,word_end
9.42,9.59
9.59,10.97
11.56,11.70
11.70,11.96
11.96,12.38
12.38,12.79
12.79,13.85
18.22,18.49
18.49,18.97
18.97,19.34
19.34,20.21
20.43,20.55
20.55,20.76
20.76,21.13
21.13,21.52
21.52,22.99
26.91,26.98
26.98,27.19
27.19,28.09
28.09,28.88
29.17,29.25
29.25,29.42
29.42,29.84
29.84,31.14
35.66,35.83
35.83,35.99
35.99,36.38
36.38,36.85
36.85,37.69
37.92,38.03
38.03,38.19
38.19,38.61
38.61,39.08
39.08,39.91
44.39,44.49
44.49,44.62
44.62,45.02
45.02,45.44
45.44,45.53
45.53,45.74
45.74,46.20
46.20,46.51
46.51,46.60
46.60,46.83
46.83,47.68
47.68,48.05
48.77,48.92
48.92,49.06
49.06,49.52
49.52,49.90
49.90,49.99
49.99,50.11
50.11,50.57
50.57,50.92
50.92,51.01
51.01,51.24
51.24,51.49
51.49,52.08
52.08,53.00
54.17,54.28
54.28,54.44
54.44,54.93
54.93,55.20
55.20,55.35
55.35,55.63
55.63,56.03
56.03,56.44
56.44,57.14
58.58,58.67
58.67,58.86
58.86,59.30
59.30,59.60
59.60,59.74
59.74,60.00
60.00,60.51
60.51,60.88
60.88,61.34
61.91,62.13
62.13,62.45
62.45,62.97
62.97,63.97
64.36,64.80
64.80,65.17
65.17,66.35
70.61,70.72
70.72,70.88
70.88,71.72
71.72,72.49
72.79,72.91
72.91,73.07
73.07,73.38
73.38,73.90
73.90,74.87
79.31,79.64
79.64,80.02
80.02,80.43
80.43,81.31
81.31,81.77
81.77,82.26
82.26,82.62
82.62,83.56
88.00,88.14
88.14,88.35
88.35,88.72
88.72,89.16
89.16,90.09
90.28,90.48
90.48,90.97
90.97,92.35
96.74,96.86
96.86,96.98
96.98,97.31
97.31,97.80
97.80,97.89
97.89,98.12
98.12,98.57
98.57,98.86
98.86,98.96
98.96,99.21
99.21,100.08
100.08,100.49
101.17,101.30
101.30,101.44
101.44,101.88
101.88,102.25
102.25,102.35
102.35,102.46
102.46,102.95
102.95,103.25
103.25,103.37
103.37,103.62
103.62,103.88
103.88,104.45
104.45,105.38
106.54,106.64
106.64,106.77
106.77,107.32
107.32,107.56
107.56,107.73
107.73,107.97
107.97,108.38
108.38,108.85
108.85,109.63
110.95,111.01
111.01,111.22
111.22,111.63
111.63,111.94
111.94,112.07
112.07,112.35
112.35,112.75
112.75,113.20
113.20,113.76
114.25,114.30
114.30,114.49
114.49,114.88
114.88,115.23
115.23,115.30
115.30,115.60
115.60,116.02
116.02,116.47
116.47,116.70
116.70,117.09
117.09,117.55
117.55,117.82
118.62,118.72
118.72,118.84
118.84,119.27
119.27,119.53
119.53,119.66
119.66,119.95
119.95,120.35
120.35,120.64
120.64,120.81
120.81,121.04
121.04,121.87
121.87,122.82
123.95,124.08
124.08,124.33
124.33,124.72
124.72,125.01
125.01,125.12
125.12,125.40
125.40,125.84
125.84,126.11
126.11,127.04
128.33,128.47
128.47,128.70
128.70,129.09
129.09,129.40
129.40,129.51
129.51,129.79
129.79,130.21
130.21,130.62
130.62,131.49
149.12,149.22
149.22,149.34
149.34,149.67
149.67,150.16
150.16,150.25
150.25,150.48
150.48,150.93
150.93,151.22
151.22,151.32
151.32,151.57
151.57,152.44
152.44,152.85
153.53,153.66
153.66,153.80
153.80,154.24
154.24,154.61
154.61,154.71
154.71,154.82
154.82,155.31
155.31,155.61
155.61,155.73
155.73,155.98
155.98,156.24
156.24,156.81
156.81,157.74
158.90,159.00
159.00,159.13
159.13,159.68
159.68,159.92
159.92,160.09
160.09,160.33
160.33,160.74
160.74,161.21
161.21,161.99
163.31,163.37
163.37,163.58
163.58,163.99
163.99,164.30
164.30,164.43
164.43,164.71
164.71,165.11
165.11,165.56
165.56,166.12
166.61,166.66
166.66,166.85
166.85,167.24
167.24,167.59
167.59,167.66
167.66,167.96
167.96,168.38
168.38,168.83
168.83,169.06
169.06,169.45
169.45,169.91
169.91,170.18
170.98,171.08
171.08,171.20
171.20,171.63
171.63,171.89
171.89,172.02
172.02,172.31
172.31,172.71
172.71,173.00
173.00,173.17
173.17,173.40
173.40,174.23
174.23,175.18
176.31,176.44
176.44,176.69
176.69,177.08
177.08,177.37
177.37,177.48
177.48,177.76
177.76,178.20
178.20,178.47
178.47,179.40
180.75,180.83
180.83,181.06
181.06,181.45
181.45,181.76
181.76,181.87
181.87,182.15
182.15,182.60
182.60,183.11
183.11,183.41
