word_start,word_end
1.65,2.26
2.26,2.67
2.67,3.28
3.78,3.90
3.90,4.30
4.30,4.63
4.63,5.04
5.04,5.42
5.42,5.84
7.31,7.74
7.74,7.94
7.94,8.24
8.24,8.54
8.54,9.31
10.15,10.43
10.43,10.80
10.80,11.21
11.21,12.12
13.87,14.07
14.07,14.61
14.61,15.39
16.39,16.76
16.76,16.99
16.99,17.32
17.32,17.86
17.86,18.50
20.02,20.25
20.25,20.80
20.80,21.57
22.38,22.56
22.56,23.20
23.20,23.57
23.57,23.94
23.94,24.58
24.73,24.90
24.90,25.22
25.22,25.52
25.52,25.89
25.89,26.15
26.15,26.42
26.42,27.59
27.82,27.93
27.93,28.07
28.07,28.30
28.30,28.63
28.63,29.40
29.40,29.56
29.56,29.79
29.79,30.61
31.14,31.37
31.37,31.65
31.65,32.05
32.05,32.44
32.44,32.83
32.83,33.21
33.21,33.65
33.65,34.09
34.09,34.27
34.27,34.48
34.48,34.62
34.62,35.22
35.22,35.60
35.60,36.01
36.01,36.94
38.68,38.87
38.87,39.45
39.45,39.82
39.82,40.05
40.05,40.43
40.43,41.47
44.09,44.16
44.16,44.31
44.31,44.58
44.58,44.88
44.88,45.28
45.28,45.65
45.65,45.86
45.86,46.21
46.21,48.03
50.32,50.45
50.45,50.73
50.73,51.69
51.69,51.92
51.92,52.22
52.22,52.66
52.66,53.80
56.49,56.70
56.70,57.27
57.27,57.63
57.63,58.17
58.17,60.09
60.39,60.60
60.60,61.02
61.02,61.35
61.35,61.74
61.74,62.04
62.04,62.60
68.29,68.66
68.66,68.99
68.99,69.40
69.40,69.78
69.78,70.38
75.81,76.04
76.04,76.33
76.33,76.62
76.62,77.27
78.09,78.20
78.20,78.37
78.37,78.69
78.69,79.09
79.09,79.74
79.74,80.44
81.85,82.20
82.20,82.55
82.55,82.94
82.94,83.61
84.16,84.36
84.36,84.78
84.78,85.10
85.10,85.47
85.47,85.94
85.94,86.58
87.63,87.89
87.89,88.07
88.07,88.30
88.30,88.88
88.88,89.14
89.14,90.00
90.72,91.04
91.04,92.07
92.07,92.55
92.55,93.12
93.74,94.11
94.11,94.52
94.52,94.97
94.97,95.25
95.25,95.62
95.62,96.13
96.54,96.76
96.76,97.22
97.46,97.89
97.89,98.34
98.34,98.98
99.10,99.31
99.31,99.94
99.94,100.24
100.24,100.63
100.63,101.45
101.45,102.11
102.35,102.93
102.93,103.30
103.30,103.65
103.65,104.10
104.10,104.44
104.44,105.05
105.25,105.46
105.46,105.71
105.71,106.04
106.04,106.51
106.51,106.81
106.81,107.18
107.18,107.52
107.52,108.13
108.13,108.67
108.79,108.95
108.95,109.13
109.13,109.55
109.55,109.90
109.90,110.31
110.31,111.41
112.99,113.17
113.17,113.80
113.80,114.15
114.15,114.38
114.38,114.73
114.73,115.76
118.37,118.44
118.44,118.64
118.64,118.91
118.91,119.21
119.21,119.58
119.58,119.95
119.95,120.16
120.16,120.51
120.51,122.17
124.60,124.71
124.71,125.04
125.04,125.97
125.97,126.22
126.22,126.55
126.55,126.99
126.99,128.20
130.76,130.98
130.98,131.58
131.58,131.93
131.93,132.54
132.54,134.15
134.63,134.81
134.81,135.22
135.22,135.52
135.52,135.97
135.97,136.39
136.39,137.04
139.88,140.22
140.22,140.48
140.48,140.85
140.85,141.19
141.19,141.64
141.64,142.28
150.14,150.35
150.35,150.56
150.56,150.77
150.77,150.97
150.97,151.43
151.43,151.85
151.85,152.11
152.11,152.37
152.37,153.47
154.66,155.04
155.04,155.76
155.76,156.11
156.11,156.24
156.24,156.80
156.80,157.36
158.43,158.67
158.67,159.19
159.19,159.45
159.45,159.80
159.80,160.46
187.39,187.50
187.50,188.08
188.08,188.47
188.47,188.75
188.75,189.08
189.08,190.23
192.70,192.77
192.77,192.87
192.87,193.12
193.12,193.44
193.44,193.84
193.84,194.20
194.20,194.42
194.42,194.81
194.81,196.30
198.90,199.06
199.06,199.29
199.29,200.29
200.29,200.52
200.52,200.85
200.85,201.24
201.24,202.47
202.80,203.17
203.17,204.10
205.26,205.86
205.86,206.17
206.17,206.74
206.74,208.54
208.95,209.19
209.19,209.56
209.56,209.98
209.98,210.30
210.30,210.83
211.32,211.51
211.51,212.09
212.09,213.06
213.06,213.30
213.30,213.67
213.67,214.49
217.36,217.50
217.50,217.68
217.68,217.94
217.94,218.26
218.26,218.66
218.66,219.02
219.02,219.22
219.22,219.61
219.61,220.51
223.63,223.83
223.83,224.09
224.09,224.44
224.44,224.79
224.79,224.91
224.91,225.23
225.23,225.63
225.63,225.92
225.92,226.92
227.62,228.02
228.02,228.53
230.08,230.67
230.67,231.01
231.01,231.59
231.59,232.94
233.75,233.96
233.96,234.33
234.33,234.75
234.75,235.15
235.15,235.61
