word_start,word_end
6.96,7.13
7.13,8.68
8.68,8.86
8.86,10.02
10.49,10.70
10.70,12.49
12.49,13.58
14.12,15.86
15.86,16.02
16.02,16.47
16.47,17.19
17.19,17.62
17.62,17.92
17.92,19.52
21.27,21.56
21.56,23.99
24.98,27.92
28.61,29.93
29.93,30.11
30.11,30.49
30.72,31.48
31.48,31.93
31.93,32.19
32.19,34.18
35.59,35.83
35.83,36.47
36.47,37.02
37.02,37.88
37.88,38.19
38.19,39.35
40.47,41.39
41.39,41.98
42.33,45.03
51.69,51.94
51.94,52.59
52.59,52.83
52.83,53.50
53.50,54.49
54.49,54.70
54.70,55.33
55.33,55.47
55.47,55.59
55.59,56.42
56.42,56.96
57.12,57.35
57.35,59.05
61.67,61.91
61.91,64.27
64.97,65.20
65.20,65.92
65.92,66.15
66.15,66.73
66.73,66.89
66.89,67.03
67.03,67.66
67.66,67.81
67.81,68.36
68.54,68.66
68.66,68.77
68.77,69.58
69.58,70.05
70.05,70.44
70.44,70.72
70.72,72.35
156.72,156.91
156.91,158.40
158.40,158.62
158.62,159.92
160.22,160.38
160.38,162.28
162.28,163.20
163.83,164.02
164.02,165.62
165.62,166.43
166.71,167.62
167.62,169.69
171.19,172.81
172.81,172.97
172.97,174.31
174.57,174.76
174.76,176.50
176.50,176.81
176.81,177.95
178.37,178.56
178.56,180.45
181.06,181.91
181.91,183.92
185.36,185.44
185.44,187.32
187.32,187.92
187.92,188.38
188.66,188.81
188.81,189.00
189.00,189.98
190.28,190.56
190.56,190.86
190.86,191.60
191.60,191.85
191.85,192.18
192.18,192.51
192.51,192.74
192.74,194.65
201.45,202.35
202.35,202.56
202.56,203.26
203.26,203.48
203.48,204.19
204.19,204.41
204.41,204.94
205.16,205.30
205.30,206.25
206.25,206.80
206.88,207.11
207.11,208.51
209.02,210.51
211.12,213.45
214.73,214.94
214.94,215.19
215.19,215.32
215.32,215.65
215.65,215.87
215.87,216.43
216.52,216.67
216.67,218.23
218.54,219.14
219.14,219.21
219.21,219.36
219.36,219.92
219.92,220.13
220.13,220.31
220.31,221.95
