word_start,word_end
11.04,11.34
11.34,11.84
12.02,12.84
12.84,12.98
12.98,13.42
13.42,13.68
13.68,14.02
14.02,14.44
14.98,15.14
15.14,15.56
15.56,15.88
15.88,16.02
16.02,16.23
16.23,16.39
16.39,16.67
16.67,17.30
17.30,17.87
18.78,18.91
18.91,19.06
19.06,19.16
19.16,19.34
19.34,19.62
19.62,19.74
19.74,19.99
19.99,20.11
20.11,20.48
20.48,20.67
20.67,20.92
20.92,21.10
21.66,21.85
21.85,22.06
22.06,22.29
22.29,22.73
22.73,22.99
22.99,24.01
25.66,26.54
26.54,26.68
26.68,27.14
27.14,27.42
27.42,27.77
27.77,28.18
28.77,28.95
28.95,29.33
29.33,29.67
29.67,29.79
29.79,30.05
30.05,30.21
30.21,30.49
30.49,31.11
31.11,31.71
32.82,32.93
32.93,33.08
33.08,33.18
33.18,33.37
33.37,33.65
33.65,33.76
33.76,34.02
34.02,34.14
34.14,34.50
34.50,34.69
34.69,34.95
34.95,35.16
35.85,36.04
36.04,36.22
36.22,36.45
36.45,36.94
36.94,37.17
37.17,38.20
39.59,39.85
39.85,40.05
40.05,40.36
40.36,40.61
40.61,40.73
40.73,41.06
41.42,41.91
41.91,42.24
42.24,42.49
42.49,42.65
42.65,42.93
42.98,43.16
43.16,43.42
43.42,43.63
43.63,44.07
44.07,44.33
44.33,44.49
44.49,44.77
44.77,44.95
44.95,45.21
45.21,45.37
45.37,45.84
45.84,46.09
46.09,46.25
46.25,46.54
46.97,47.11
47.11,47.33
47.33,47.51
47.51,47.83
47.83,48.00
48.00,48.41
48.41,48.67
48.67,48.80
48.80,49.17
49.17,49.36
49.36,49.85
50.06,50.18
50.18,50.39
50.39,50.56
50.56,50.83
50.83,50.92
50.92,50.99
50.99,51.27
51.27,51.46
51.46,51.71
51.71,51.92
51.92,52.13
52.13,52.69
52.69,52.87
52.87,53.06
53.06,53.28
53.52,53.71
53.71,53.92
53.92,54.13
54.13,54.44
54.44,54.69
54.69,54.98
54.98,55.40
55.40,55.68
55.68,55.89
55.89,56.14
56.14,56.47
56.47,56.77
56.77,57.03
57.03,57.18
57.56,57.91
57.91,58.05
58.05,58.37
58.37,58.49
58.49,58.79
58.79,58.98
58.98,59.20
59.20,59.56
59.56,59.77
59.77,60.09
60.09,60.33
60.33,60.42
60.60,60.72
60.72,60.98
60.98,61.11
61.11,61.42
61.42,61.56
61.56,61.81
61.81,62.07
62.28,62.44
62.44,62.69
62.69,62.88
62.88,63.27
63.46,63.58
63.58,63.84
64.04,64.46
64.46,65.20
65.20,65.36
65.36,65.55
65.55,65.69
65.69,65.85
65.85,66.15
66.15,66.25
66.25,66.39
66.39,66.59
66.59,66.76
66.76,67.01
67.01,67.15
67.15,67.34
67.34,67.52
67.52,67.66
67.66,67.92
68.12,68.87
68.87,69.01
69.01,69.45
69.45,69.71
69.71,70.05
70.05,70.49
71.10,71.28
71.28,71.68
71.68,72.03
72.03,72.17
72.17,72.40
72.40,72.59
72.59,72.84
72.84,73.52
73.52,74.08
75.04,75.26
75.26,75.39
75.39,75.53
75.53,75.74
75.74,76.04
76.04,76.14
76.14,76.42
76.42,76.56
76.56,76.92
76.92,77.11
77.11,77.38
77.38,77.69
78.25,78.44
78.44,78.63
78.63,78.88
78.88,79.35
79.35,79.58
79.58,80.66
81.90,82.27
82.27,82.50
82.50,82.96
82.96,83.68
83.68,83.85
83.85,84.10
84.10,84.33
84.33,85.01
85.01,85.34
85.66,85.94
85.94,86.12
86.12,86.56
86.56,86.80
86.80,86.91
86.91,87.50
87.75,87.86
87.86,88.21
88.21,88.35
88.35,88.79
88.79,89.13
89.13,89.39
89.39,89.72
89.72,89.88
89.88,90.00
90.00,90.14
90.14,90.36
90.36,90.51
90.51,90.63
90.63,90.86
90.86,91.07
91.07,91.32
91.32,91.53
91.53,91.88
91.88,92.14
92.14,92.42
92.74,93.05
93.05,93.22
93.22,93.53
93.53,93.67
93.67,93.90
93.90,94.26
94.50,94.62
94.62,94.77
94.77,94.84
94.84,95.43
95.43,95.55
95.55,95.78
95.78,96.11
96.66,96.80
96.80,97.11
97.11,97.27
97.27,97.55
97.55,97.66
97.66,97.78
97.78,98.08
98.08,98.22
98.22,98.50
98.50,98.68
98.68,98.99
98.99,99.15
99.15,99.43
99.43,99.71
99.71,99.98
99.98,100.31
100.31,100.45
100.45,100.75
100.75,100.91
100.91,101.33
101.33,101.70
101.70,102.05
102.05,102.26
102.26,102.54
102.54,102.65
102.65,103.12
103.12,103.40
103.40,103.56
103.56,103.78
103.78,104.02
104.02,104.35
104.35,104.63
104.77,104.93
104.93,105.16
105.16,105.26
105.26,105.35
105.35,105.63
105.63,105.74
105.74,105.81
105.81,106.06
106.06,106.21
106.21,106.49
