word_start,word_end
13.37,13.67
13.67,14.19
14.19,14.97
15.30,16.02
16.02,16.45
16.45,17.19
17.19,18.69
18.97,19.22
19.22,19.69
19.69,20.13
20.13,20.56
20.83,21.06
21.06,21.52
21.52,22.44
22.68,22.91
22.91,24.26
24.55,24.77
24.77,25.82
26.17,26.37
26.37,26.63
26.63,28.15
28.15,29.83
30.07,30.30
30.30,30.76
30.76,31.22
31.22,31.64
31.92,32.16
32.16,33.50
33.78,34.00
34.00,34.96
34.96,35.36
35.61,35.85
35.85,37.11
37.45,37.70
37.70,38.15
38.15,38.61
38.61,39.17
39.33,39.54
39.54,40.03
40.03,40.47
40.47,40.95
41.16,41.40
41.40,44.20
45.11,45.30
45.30,45.57
45.57,45.99
45.99,46.90
46.90,47.13
47.13,47.39
47.39,47.59
47.59,47.85
47.85,48.39
48.78,48.99
48.99,49.52
49.66,50.61
50.61,50.84
50.84,51.03
51.03,51.26
51.26,51.52
51.52,52.10
52.47,52.72
52.72,53.29
53.39,54.32
54.32,54.56
54.56,54.77
54.77,55.00
55.00,55.36
55.44,59.57
59.88,60.09
60.09,60.65
60.76,61.68
61.68,62.34
62.34,62.62
62.62,63.37
63.58,63.78
63.78,64.29
64.45,65.39
65.39,65.84
65.84,66.28
66.28,66.86
67.24,67.38
67.38,68.08
68.08,69.09
69.09,69.30
69.30,69.77
69.77,75.24
89.38,89.62
89.62,90.13
90.13,90.98
91.25,91.47
91.47,92.17
92.17,92.93
93.05,93.26
93.26,93.56
93.56,94.00
94.00,94.85
94.85,95.40
95.40,95.63
95.63,95.86
95.86,96.45
96.77,96.98
96.98,97.57
97.57,98.18
98.18,98.37
98.37,98.57
98.57,99.53
99.53,100.28
100.46,100.67
100.67,100.95
100.95,101.34
101.34,101.88
101.88,102.04
102.04,102.29
102.29,102.77
102.77,103.20
103.20,103.84
104.15,104.36
104.36,105.06
105.06,105.52
105.52,106.01
106.01,107.65
107.82,108.05
108.05,108.63
108.63,109.55
109.55,110.16
110.16,110.40
110.40,110.63
110.63,111.13
111.53,111.77
111.77,112.44
112.44,112.93
112.93,113.37
113.37,114.09
114.09,114.99
115.28,115.43
115.43,116.13
116.13,116.58
116.58,117.06
117.06,117.55
117.55,118.75
118.92,119.13
119.13,119.42
119.42,119.85
119.85,120.75
120.75,120.91
120.91,121.27
121.27,121.45
121.45,121.68
121.68,122.38
122.61,122.82
122.82,123.41
123.51,124.46
124.46,124.67
124.67,124.86
124.86,125.12
125.12,125.35
125.35,125.94
126.30,126.59
126.59,127.21
127.21,128.18
128.18,128.39
128.39,128.60
128.60,128.83
128.83,129.22
129.34,133.35
133.72,133.91
133.91,134.47
134.61,135.52
135.52,136.19
136.19,136.47
136.47,137.26
137.42,137.61
137.61,138.24
138.30,139.23
139.23,139.70
139.70,140.14
140.14,140.72
141.10,141.22
141.22,141.92
141.92,142.92
142.92,143.16
143.16,143.60
143.60,148.11
148.52,148.68
148.68,148.97
148.97,149.38
149.38,150.28
150.28,150.47
150.47,150.77
150.77,150.98
150.98,151.21
151.21,151.90
152.18,152.37
152.37,152.92
153.05,153.97
153.97,154.21
154.21,154.42
154.42,154.67
154.67,154.90
154.90,155.56
155.85,156.11
156.11,156.59
156.79,157.69
157.69,157.92
157.92,158.15
158.15,158.36
158.36,158.65
158.83,162.99
163.28,163.45
163.45,164.05
164.12,165.09
165.09,165.80
165.80,166.02
166.02,166.86
