word_start,word_end
15.58,16.74
16.74,16.95
16.95,17.23
17.23,18.06
18.06,18.62
19.06,19.30
19.30,19.76
19.76,19.97
19.97,20.92
20.92,21.39
21.39,21.88
21.88,22.39
22.82,23.03
23.03,23.50
23.50,23.75
23.75,24.85
30.37,30.81
30.81,31.58
31.58,31.79
31.79,31.92
31.92,32.50
32.50,33.33
33.88,34.02
34.02,34.55
34.55,34.72
34.72,35.73
35.73,36.15
36.15,36.59
36.59,37.08
37.57,37.78
37.78,38.24
38.24,38.47
38.47,39.72
45.67,45.91
45.91,46.37
46.37,46.74
46.74,47.58
47.58,47.76
47.76,48.09
48.09,48.67
48.67,49.48
50.80,51.27
51.27,51.50
51.50,51.94
51.94,52.08
52.08,53.48
60.40,60.58
60.58,60.80
60.80,61.76
62.02,62.27
62.27,62.51
62.51,62.95
62.95,64.11
65.46,65.90
65.90,66.13
66.13,66.62
66.62,66.90
66.90,68.26
68.87,69.08
69.08,69.77
69.77,70.29
70.29,70.55
70.55,71.75
72.79,76.98
78.03,78.27
78.27,78.74
78.74,78.92
78.92,79.81
79.81,80.30
80.30,80.73
80.73,81.46
81.87,82.34
82.34,82.57
82.57,83.03
83.03,83.47
83.47,83.94
83.94,84.37
84.37,85.98
87.28,91.22
92.46,92.74
92.74,93.16
93.16,93.37
93.37,93.83
93.83,94.27
94.27,94.76
94.76,95.23
95.23,95.70
96.31,96.80
96.80,97.03
97.03,97.90
97.90,98.88
98.88,100.83
101.38,101.86
101.86,102.54
102.54,104.91
111.27,111.69
111.69,111.92
111.92,112.43
112.43,112.80
112.80,113.34
113.34,114.03
114.26,114.68
114.68,115.22
115.22,116.33
116.33,116.61
116.61,117.05
117.05,117.49
117.49,117.96
118.07,118.35
118.35,118.72
118.72,119.33
119.33,120.33
121.69,122.09
122.09,122.46
122.46,122.92
122.92,123.11
123.11,124.21
125.80,126.01
126.01,126.48
126.48,126.69
126.69,127.22
127.22,127.41
127.41,127.66
127.66,127.85
127.85,128.28
128.28,128.94
129.45,129.89
129.89,130.65
130.91,131.28
131.28,131.91
131.91,132.52
132.72,133.12
133.12,133.37
133.37,134.67
136.00,138.50
139.27,143.27
143.99,144.17
144.17,144.66
144.66,144.84
144.84,145.80
145.80,146.25
146.25,146.68
146.68,147.33
147.79,148.22
148.22,148.47
148.47,148.95
148.95,149.30
149.30,149.79
149.79,150.18
150.18,152.40
153.11,157.52
158.29,158.52
158.52,158.97
158.97,159.22
159.22,159.64
159.64,160.10
160.10,160.56
160.56,161.05
161.05,161.64
162.14,162.61
162.61,162.86
162.86,163.66
163.66,164.60
164.60,166.56
167.09,167.55
167.55,168.25
168.25,170.25
