word_start,word_end
9.59,9.96
9.96,10.26
10.26,10.54
10.54,10.80
10.80,11.17
11.17,12.07
12.07,12.38
12.38,12.75
12.75,13.05
13.05,13.33
13.33,13.88
13.95,14.28
14.28,15.53
15.53,16.11
16.11,17.11
17.11,17.39
17.39,17.74
17.74,17.99
17.99,19.02
19.02,19.19
19.19,19.57
19.57,20.55
20.55,21.18
21.18,22.13
22.13,22.41
22.41,22.73
22.73,23.00
23.00,23.94
25.56,26.17
26.17,26.96
27.44,28.05
28.05,28.36
28.36,28.65
28.65,29.28
29.28,29.61
29.61,30.47
30.56,31.18
31.18,31.85
32.41,33.04
33.04,33.34
33.34,34.63
35.55,36.15
36.15,36.75
36.75,37.26
37.26,38.10
38.43,38.73
38.73,39.59
39.59,40.35
40.59,41.05
41.05,41.86
42.14,42.32
42.32,43.00
43.00,43.35
43.35,44.43
45.56,46.16
46.16,46.88
47.41,48.67
48.67,48.99
48.99,49.29
49.29,49.61
49.61,50.69
69.63,69.94
69.94,70.24
70.24,70.52
70.52,70.86
70.86,72.10
72.10,72.37
72.37,73.05
73.05,73.84
73.98,74.24
74.24,74.60
74.60,74.79
74.79,75.61
75.61,77.06
77.06,77.41
77.41,78.04
78.04,78.34
78.34,79.04
79.04,79.34
79.34,79.64
79.64,79.92
79.92,80.59
80.59,80.87
80.87,81.01
81.01,81.80
81.80,82.10
82.10,82.26
82.26,83.33
83.33,84.08
85.54,86.09
86.09,86.78
87.33,88.02
88.02,88.37
88.37,88.58
88.58,89.30
89.30,89.58
89.58,89.90
89.90,90.51
90.55,91.16
91.16,91.95
92.43,93.04
93.04,93.33
93.33,94.65
95.55,96.17
96.17,96.74
96.74,97.26
97.26,98.11
98.38,98.70
98.70,99.56
99.56,100.32
100.56,101.03
101.03,101.81
102.14,102.30
102.30,103.02
103.02,103.31
103.31,104.61
105.55,106.10
106.10,106.88
107.41,108.66
108.66,108.99
108.99,109.29
109.29,109.58
109.58,110.71
130.51,130.86
130.86,131.59
131.81,132.03
132.03,132.85
133.07,133.39
133.39,134.07
134.34,134.48
134.48,137.11
137.11,139.13
140.41,140.77
140.77,141.51
141.68,142.10
142.10,143.33
143.33,143.96
144.28,144.50
144.50,146.81
146.81,147.09
147.09,150.26
183.10,183.66
183.66,185.19
185.58,186.15
186.15,186.54
186.54,187.11
187.11,187.83
188.12,188.69
188.69,189.73
189.97,190.39
190.39,190.84
190.84,191.44
191.44,192.95
193.04,193.65
193.65,194.70
195.53,196.15
196.15,196.50
196.50,197.11
197.11,197.79
198.02,198.66
198.66,199.28
199.28,199.81
199.81,200.67
200.91,201.17
201.17,202.08
202.08,202.72
202.72,204.61
