word_start,word_end
37.59,38.75
38.75,39.13
39.13,39.29
39.29,40.61
40.61,40.71
40.71,40.96
40.96,41.14
41.19,42.31
45.60,45.85
45.85,46.70
46.70,47.77
47.85,48.15
48.15,48.31
48.31,49.41
49.76,49.90
49.90,50.18
50.18,50.32
50.32,50.62
50.62,50.76
50.76,51.37
54.48,54.70
54.70,54.87
54.87,55.14
55.14,55.31
55.31,55.56
55.56,56.35
56.70,57.61
57.74,58.33
58.33,58.66
58.66,59.16
59.16,59.46
59.46,59.78
60.14,61.14
61.27,62.20
62.38,62.85
62.85,63.18
63.18,63.48
63.48,63.96
64.69,65.94
65.94,66.20
66.20,68.17
68.17,68.40
68.40,70.20
70.38,71.18
71.18,72.06
72.06,72.35
72.35,72.56
72.56,73.81
73.81,74.07
74.07,74.28
74.28,75.45
76.02,76.53
76.53,76.85
76.85,77.25
77.25,77.68
77.68,78.14
78.39,78.50
78.50,78.87
78.87,79.15
79.15,79.24
79.24,80.72
92.20,92.78
92.78,93.18
93.36,93.87
93.87,95.14
95.14,95.34
95.34,95.52
95.52,95.73
95.73,97.10
100.21,100.76
100.76,101.28
101.28,102.38
102.38,104.21
104.34,104.39
104.39,104.44
104.44,104.90
104.90,105.13
105.13,105.31
105.31,106.24
109.02,109.36
109.49,109.57
109.57,109.87
109.87,110.15
110.15,111.02
111.31,112.17
112.31,112.47
112.47,112.87
112.87,113.20
113.20,113.77
113.77,114.05
114.05,114.61
114.75,115.55
115.78,116.72
116.72,116.88
116.88,117.05
117.05,117.30
117.30,117.45
117.45,117.88
117.88,118.55
119.32,120.57
120.57,120.83
120.83,122.80
122.80,123.02
123.02,124.94
124.94,125.80
125.80,126.66
126.66,126.95
126.95,127.16
127.16,128.18
128.44,128.70
128.70,128.91
128.91,130.08
130.65,131.16
131.16,131.46
131.46,131.88
131.88,132.34
132.34,132.80
133.02,133.13
133.13,133.50
133.50,133.78
133.78,133.87
133.87,134.70
135.03,136.28
136.28,136.54
136.54,138.51
138.51,138.74
138.74,140.66
140.66,141.56
141.56,142.40
142.40,142.69
142.69,142.90
142.90,144.15
144.15,144.41
144.41,144.62
144.62,145.79
146.36,146.87
146.87,147.17
147.17,147.59
147.59,148.00
148.00,148.46
148.73,148.84
148.84,149.21
149.21,149.49
149.49,149.58
149.58,151.06
203.15,204.40
204.40,204.66
204.66,206.63
206.63,206.86
206.86,208.78
208.78,209.63
209.63,210.52
210.52,210.77
210.77,210.99
210.99,212.27
212.27,212.53
212.53,212.74
212.74,213.91
214.48,214.99
214.99,215.27
215.27,215.71
215.71,216.13
216.13,216.59
216.85,216.96
216.96,217.33
217.33,217.61
217.61,217.70
217.70,218.54
218.90,220.15
220.15,220.41
220.41,222.38
222.38,222.61
222.61,224.44
224.53,225.36
225.36,226.27
226.27,226.52
226.52,226.74
226.74,227.78
228.02,228.28
228.28,228.49
228.49,229.66
230.23,230.74
230.74,231.05
231.05,231.46
231.46,231.90
231.90,232.36
232.60,232.71
232.71,233.08
233.08,233.36
233.36,233.45
233.45,237.13
