word_start,word_end
30.85,31.30
31.30,31.76
31.76,32.23
32.23,32.69
32.69,33.16
33.16,33.66
34.55,34.99
34.99,35.45
35.45,35.92
35.92,36.34
36.85,37.75
37.75,38.68
38.68,38.93
38.93,39.12
39.12,39.38
39.38,39.61
39.61,40.01
40.01,40.43
40.43,40.96
40.96,41.47
41.47,41.91
41.91,42.40
42.40,42.63
42.63,42.84
42.84,43.30
43.30,44.25
44.25,44.50
44.50,44.62
44.62,45.14
45.14,45.39
45.39,45.60
45.60,46.05
46.05,46.43
46.43,46.98
46.98,47.46
47.46,47.92
47.92,48.82
48.82,49.73
49.73,50.48
50.48,50.59
50.59,51.01
51.15,51.41
51.41,51.82
51.82,52.30
53.22,53.45
53.45,53.91
53.91,54.38
54.38,54.83
54.83,55.59
55.59,55.95
58.56,58.80
58.80,59.20
59.20,59.70
60.60,60.83
60.83,61.30
61.30,62.25
62.25,62.43
62.43,63.26
66.41,66.68
66.68,66.89
66.89,67.10
67.10,67.71
67.71,67.98
67.98,68.22
68.22,68.68
68.68,69.17
69.17,69.76
69.84,70.07
70.07,70.94
70.94,71.47
71.47,71.96
71.96,73.30
73.30,73.56
73.56,73.68
73.68,74.23
74.23,74.69
74.69,75.14
75.14,75.65
75.65,76.28
76.28,76.91
76.97,77.48
77.48,77.92
77.92,78.41
78.41,78.93
79.06,79.29
79.29,80.73
97.36,97.75
97.75,98.21
98.21,98.68
98.68,99.14
99.14,99.63
99.63,100.16
101.00,101.44
101.44,101.91
101.91,102.37
102.37,102.94
103.32,104.21
104.21,104.69
104.69,105.16
105.16,105.37
105.37,105.85
105.85,106.06
106.06,106.98
106.98,107.46
107.46,107.92
107.92,108.36
108.36,108.85
108.85,109.29
109.29,109.55
109.55,109.78
109.78,110.22
110.22,110.66
110.66,110.92
110.92,111.12
111.12,112.08
112.08,112.52
112.52,112.77
112.77,112.98
112.98,113.47
113.47,113.91
113.91,114.38
114.38,115.26
115.26,116.21
116.21,116.93
116.93,117.02
117.02,117.48
117.60,117.86
117.86,118.30
118.30,118.72
119.69,119.92
119.92,120.32
120.32,120.83
120.83,121.28
121.28,122.03
122.03,122.37
124.99,125.25
125.25,125.70
125.70,126.19
127.05,127.31
127.31,127.78
127.78,128.70
128.70,128.88
128.88,129.79
132.83,133.11
133.11,133.28
133.28,133.55
133.55,134.20
134.20,134.47
134.47,134.67
134.67,135.16
135.16,135.62
135.62,136.19
136.33,136.53
136.53,137.40
137.40,137.92
137.92,138.38
138.38,139.75
139.75,140.01
140.01,140.11
140.11,140.68
140.68,141.14
141.14,141.61
141.61,142.05
142.05,142.73
142.73,143.42
143.42,143.93
143.93,144.37
144.37,144.86
144.86,145.36
145.51,145.77
145.77,147.22
163.30,163.58
163.58,163.84
163.84,164.90
165.13,165.41
165.41,165.80
165.80,166.56
166.86,167.89
167.89,168.91
168.91,169.33
169.33,170.14
170.73,171.35
171.35,172.25
172.51,173.21
173.21,174.00
174.26,175.15
175.15,176.11
176.11,178.11
222.85,223.29
223.29,223.76
223.76,224.26
224.26,224.70
224.70,225.15
225.15,225.70
230.28,230.70
230.70,231.16
231.16,231.64
231.64,232.10
232.10,232.52
232.52,233.07
