word_start,word_end
1.72,1.99
1.99,2.25
2.25,2.48
2.48,3.39
3.76,4.01
4.01,4.30
4.30,4.55
4.55,4.86
4.86,5.64
5.80,6.01
6.01,6.29
6.29,6.55
6.55,7.76
7.85,8.08
8.08,8.34
8.34,8.59
8.59,8.85
8.85,9.10
9.10,9.41
9.41,9.89
9.89,10.00
10.00,10.70
13.40,13.62
13.62,14.11
14.11,14.81
18.25,18.53
18.53,18.80
18.80,19.70
20.29,20.57
20.57,20.80
20.80,21.08
21.08,21.83
22.34,22.57
22.57,23.72
23.87,24.10
24.10,24.40
24.40,25.12
25.12,25.33
25.33,25.66
25.66,25.76
25.76,26.29
26.29,27.06
29.23,29.46
29.46,29.70
29.70,29.97
29.97,30.24
30.24,30.37
30.37,31.15
34.39,34.76
34.76,35.04
35.04,35.92
36.34,36.55
36.55,37.03
37.03,37.29
37.29,37.48
37.48,38.03
38.63,38.84
38.84,39.15
39.15,40.14
40.14,40.35
40.35,40.65
40.65,41.40
41.40,41.63
41.63,41.91
41.91,42.16
42.16,42.42
42.42,42.54
42.54,43.20
45.55,45.69
45.69,45.95
45.95,46.22
46.22,46.50
46.50,46.65
46.65,47.35
50.80,51.06
51.06,51.31
51.31,51.58
51.58,52.04
52.04,52.51
52.84,53.05
53.05,53.36
53.36,53.61
53.61,53.82
53.82,54.25
54.88,55.10
55.10,55.38
55.38,55.63
55.63,55.75
55.75,56.19
56.70,56.91
56.91,57.18
57.18,57.42
57.42,57.74
57.74,58.44
58.44,58.70
58.70,58.81
58.81,59.49
61.60,61.76
61.76,62.02
62.02,62.53
62.53,62.74
62.74,62.85
62.85,63.58
66.40,66.57
66.57,66.82
66.82,67.08
67.08,67.59
67.59,68.25
68.54,68.82
68.82,69.10
69.10,69.37
69.37,69.91
69.91,70.09
70.09,70.38
70.38,70.64
70.64,70.91
70.91,71.03
71.03,71.65
71.65,72.24
72.91,73.20
73.20,73.44
73.44,73.68
73.68,74.20
74.20,74.47
74.47,74.72
74.72,74.97
74.97,75.20
75.20,75.71
75.71,76.27
76.95,77.24
77.24,77.50
77.50,77.73
77.73,78.27
78.27,78.73
78.73,79.03
79.03,79.78
79.78,80.42
81.03,81.31
81.31,81.57
81.57,81.82
81.82,82.10
82.10,82.85
82.85,83.12
83.12,83.33
83.33,83.86
83.86,84.43
86.63,86.83
86.83,87.18
87.18,87.29
87.29,87.62
90.20,90.46
90.46,90.75
90.75,90.97
90.97,91.32
91.32,91.85
94.34,94.54
94.54,94.81
94.81,95.04
95.04,95.27
95.27,95.45
95.45,95.56
95.50,95.82
95.82,96.05
96.05,97.10
97.56,97.80
97.80,98.08
98.08,98.32
98.32,99.36
99.63,99.84
99.84,100.12
100.12,101.45
101.63,101.86
101.86,102.11
102.11,102.37
102.37,102.51
102.51,102.86
102.86,103.08
103.08,103.40
103.40,103.57
103.57,104.17
106.69,107.00
107.00,107.16
107.16,107.52
107.52,107.65
107.65,108.16
111.68,112.07
112.07,112.30
112.30,113.28
113.84,114.12
114.12,114.35
114.35,114.61
114.61,114.76
114.76,115.46
115.83,115.88
115.88,116.14
116.14,116.40
116.40,117.29
117.39,117.60
117.60,117.72
117.72,118.16
118.16,118.41
118.41,118.67
118.67,118.95
118.95,119.20
119.20,119.46
119.46,119.69
119.69,119.88
119.88,120.40
122.78,123.01
123.01,123.31
123.31,123.52
123.52,123.91
123.91,124.50
127.88,128.07
128.07,128.33
128.33,128.58
128.58,129.83
130.12,130.28
130.28,130.90
130.90,131.03
131.03,131.89
132.16,132.40
132.40,132.62
132.62,133.85
134.02,134.12
134.12,134.43
134.43,134.72
134.72,134.95
134.95,135.20
135.20,135.51
135.51,135.73
135.73,136.02
136.02,136.15
136.15,136.89
138.50,138.75
138.75,138.98
138.98,139.08
139.08,139.56
139.56,139.78
139.78,140.01
140.01,140.13
140.13,140.98
144.37,144.64
144.64,144.86
144.86,145.75
146.14,146.37
146.37,146.65
146.65,146.88
146.88,147.83
148.20,148.41
148.41,148.64
148.64,148.92
148.92,150.11
150.20,150.45
150.45,150.71
150.71,150.95
150.95,151.78
151.78,151.99
151.99,152.34
152.34,152.90
155.22,155.82
155.82,156.03
156.03,156.33
156.33,156.43
156.43,157.26
159.95,160.11
160.11,160.39
160.39,160.65
160.65,161.13
161.13,161.74
162.13,162.39
162.39,162.64
162.64,162.92
162.92,163.44
163.44,163.65
163.65,163.94
163.94,164.20
164.20,164.46
164.46,164.56
164.56,165.20
165.20,165.91
166.45,166.71
166.71,166.98
166.98,167.26
167.26,167.78
167.78,168.03
168.03,168.24
168.24,168.50
168.50,168.75
168.75,169.28
169.28,169.93
170.52,170.79
170.79,171.02
171.02,171.28
171.28,171.82
171.82,172.30
172.30,172.58
172.58,173.35
173.35,173.94
174.60,174.87
174.87,175.09
175.09,175.37
175.37,175.65
175.65,176.40
176.40,176.67
176.67,176.85
176.85,177.43
177.43,177.98
180.17,180.36
180.36,180.72
180.72,180.86
180.86,181.19
