word_start,word_end
15.28,15.40
15.40,16.20
16.20,16.97
16.97,17.09
17.09,18.61
19.09,19.28
19.28,19.89
19.89,20.56
20.56,21.95
23.01,23.17
23.17,23.48
23.48,24.68
24.68,24.87
24.87,25.17
25.17,26.38
26.77,27.03
27.03,27.72
27.72,28.61
28.61,30.26
30.65,30.86
30.86,31.40
31.40,32.35
32.35,32.50
32.50,33.48
33.48,34.18
34.43,34.61
34.61,35.37
35.37,35.81
35.81,36.65
38.39,39.26
39.26,39.80
39.80,40.18
40.18,41.69
41.69,42.15
42.15,43.12
43.12,43.56
43.56,43.96
43.96,44.95
53.63,53.74
53.74,54.57
54.57,55.03
55.33,55.50
55.50,56.89
56.98,57.18
57.18,57.49
57.49,57.70
57.70,58.00
58.00,58.23
58.23,58.60
58.60,59.21
59.21,59.71
61.34,61.55
61.55,62.83
62.83,63.21
63.21,64.01
64.01,64.71
64.71,65.02
65.02,66.13
66.13,66.64
66.64,67.08
67.08,67.63
68.99,69.09
69.09,69.73
69.73,69.94
69.94,70.49
70.49,70.86
70.86,71.79
71.79,72.40
72.40,72.86
72.86,73.01
73.01,73.83
73.83,74.22
74.22,74.57
74.57,75.41
76.71,76.92
76.92,77.52
77.52,78.46
78.46,79.57
80.50,80.70
80.70,81.50
81.50,82.01
82.01,82.45
82.45,83.29
83.29,83.94
83.94,84.12
84.12,84.37
84.37,84.55
84.55,85.14
85.14,85.37
85.37,85.58
85.58,86.24
86.24,86.99
88.25,88.48
88.48,88.95
88.95,89.63
89.63,89.85
89.85,90.59
90.59,91.20
93.76,93.96
93.96,94.21
94.21,94.73
94.73,94.96
94.96,95.19
95.19,95.67
95.67,95.81
95.81,96.45
96.45,96.66
96.66,97.12
97.12,98.42
109.31,109.48
109.48,110.21
110.21,111.03
111.03,111.31
111.31,111.73
111.73,112.19
112.19,112.91
113.14,113.37
113.37,114.55
114.55,116.21
116.97,117.12
117.12,117.49
117.49,118.59
118.74,118.94
118.94,119.34
119.34,119.88
119.88,120.48
120.85,121.06
121.06,121.38
121.38,121.70
121.70,122.27
122.27,122.73
122.73,123.29
123.29,123.68
123.68,124.17
124.66,124.80
124.80,125.59
125.59,126.33
126.33,126.58
126.58,126.79
126.79,127.42
127.42,128.20
128.50,128.70
128.70,129.05
129.05,129.40
129.40,130.62
132.37,132.60
132.60,132.92
132.92,133.10
133.10,134.04
134.04,134.29
134.29,135.20
135.20,135.82
136.20,136.34
136.34,137.22
137.22,137.66
137.66,138.12
138.12,138.66
138.66,139.09
139.09,139.60
139.60,140.20
140.20,140.80
140.80,141.03
141.03,141.21
141.21,141.85
141.85,142.64
143.88,144.08
144.08,144.63
144.63,145.30
145.30,145.53
145.53,146.27
146.27,146.83
149.41,149.64
149.64,149.90
149.90,150.43
150.43,150.64
150.64,150.85
150.85,151.36
151.36,151.46
151.46,152.13
152.13,152.31
152.31,152.76
152.76,154.37
157.05,157.30
157.30,157.54
157.54,158.05
158.05,158.28
158.28,158.52
158.52,159.04
159.04,159.15
159.15,159.76
159.76,160.00
160.00,160.21
160.21,160.45
160.45,161.96
184.45,184.77
184.77,185.17
185.17,185.63
185.63,186.09
186.09,186.54
186.54,187.00
187.00,187.45
187.81,188.00
188.00,188.20
188.20,188.88
188.88,189.25
189.25,189.41
189.41,190.70
192.04,192.37
192.37,193.36
193.36,193.83
193.83,194.31
194.31,194.75
194.75,195.22
195.22,195.71
195.71,196.01
196.01,196.74
196.74,197.21
197.21,197.55
197.55,198.54
199.33,199.54
199.54,199.77
199.77,200.30
200.30,200.51
200.51,200.74
200.74,201.21
201.21,201.33
201.33,201.98
201.98,202.16
202.16,202.65
202.65,204.11
207.25,207.48
207.48,207.99
207.99,208.22
208.22,208.40
208.40,208.93
208.93,209.03
209.03,209.61
209.61,210.37
210.37,211.69
214.93,215.16
215.16,215.70
215.70,215.93
215.93,216.11
216.11,216.65
216.65,216.77
216.77,217.44
217.44,217.65
217.65,218.35
218.35,220.32
