word_start,word_end
8.84,9.09
9.09,9.49
9.49,9.87
9.87,10.12
10.12,10.56
10.56,11.42
12.19,12.45
12.45,12.84
12.84,13.23
13.23,14.24
15.53,15.81
15.81,16.18
16.18,16.58
16.58,16.78
16.78,17.51
17.51,18.25
18.80,19.24
19.24,19.99
19.99,20.89
21.40,21.66
21.66,22.13
22.13,22.43
22.43,22.86
22.86,23.17
23.17,23.71
23.71,24.12
24.12,24.56
24.73,25.19
25.19,25.84
25.84,26.31
26.31,26.65
26.65,27.25
30.60,30.89
30.89,31.32
31.32,31.71
31.71,32.54
35.66,35.97
35.97,36.74
36.74,36.97
36.97,37.62
37.62,38.34
39.03,39.31
39.31,39.69
39.69,40.10
40.10,41.05
42.38,42.65
42.65,43.05
43.05,43.36
43.36,44.16
44.16,44.49
44.49,45.18
45.72,46.02
46.02,46.39
46.39,46.67
46.67,47.40
48.12,48.27
48.27,48.44
48.44,49.29
49.29,49.74
49.74,50.12
50.12,51.01
51.01,51.41
51.66,52.48
52.48,52.66
52.66,53.38
53.73,56.03
57.47,57.72
57.72,58.61
58.61,59.45
61.46,61.92
61.92,62.66
63.15,63.29
63.29,63.61
63.61,64.43
64.83,65.06
65.06,65.32
65.32,65.73
65.73,65.94
65.94,66.60
66.60,66.78
66.78,66.99
66.99,67.41
67.41,67.58
67.58,67.76
67.76,68.27
68.27,68.87
68.87,69.45
69.94,70.20
70.20,70.34
70.34,71.09
71.56,71.82
71.82,72.00
72.00,72.42
72.42,72.68
72.68,72.86
72.86,73.28
73.28,73.51
73.51,73.68
73.68,74.12
74.12,74.33
74.33,74.51
74.51,74.91
75.14,75.39
75.39,75.82
75.82,76.27
76.27,76.99
78.13,78.53
78.53,78.92
78.92,79.17
79.17,79.39
79.39,79.78
79.78,80.01
80.01,80.22
80.22,80.55
80.59,80.83
80.83,81.06
81.06,81.43
81.43,81.68
81.68,81.87
81.87,82.31
84.26,84.61
84.61,85.01
85.01,85.35
85.35,85.56
85.56,86.10
86.10,86.31
86.31,86.69
87.65,87.98
87.98,88.68
88.68,89.89
91.07,91.37
91.37,92.09
92.09,92.33
92.33,92.88
92.88,93.13
93.13,93.83
94.39,94.67
94.67,95.46
95.46,96.38
96.82,97.12
97.12,97.80
97.80,97.90
97.90,98.49
98.49,98.83
98.83,99.26
99.26,100.15
100.15,100.38
100.61,101.72
101.96,102.73
106.16,106.38
106.38,106.86
106.86,107.25
107.25,108.11
110.14,110.70
110.70,111.36
111.89,112.03
112.03,112.32
112.32,113.26
113.63,113.75
113.75,114.01
114.01,114.43
114.43,114.61
114.61,114.79
114.79,115.27
115.27,115.47
115.47,115.63
115.63,116.03
116.03,116.28
116.28,116.47
116.47,116.97
116.97,117.54
117.54,118.08
118.56,118.85
118.85,119.04
119.04,119.71
120.23,120.49
120.49,120.67
120.67,121.11
121.11,121.35
121.35,121.53
121.53,121.97
121.97,122.18
122.18,122.37
122.37,122.78
122.78,123.02
123.02,123.20
123.20,123.63
123.83,124.14
124.14,124.51
124.51,124.90
124.90,125.53
158.88,159.03
159.03,159.20
159.20,160.12
160.12,160.53
160.53,160.96
160.96,161.75
161.75,162.24
162.45,163.23
163.23,163.47
163.47,164.14
164.47,166.78
168.32,168.50
168.50,169.13
169.13,169.51
169.51,170.34
172.52,172.94
172.94,173.55
173.94,174.08
174.08,174.36
174.36,175.20
175.61,175.84
175.84,176.08
176.08,176.51
176.51,176.70
176.70,177.33
177.33,177.56
177.56,177.75
177.75,178.20
178.20,178.37
178.37,178.57
178.57,179.02
179.02,179.63
179.63,180.16
180.69,180.93
180.93,181.14
181.14,182.12
182.32,182.58
182.58,182.76
182.76,183.20
183.20,183.43
183.43,183.62
183.62,184.06
184.06,184.27
184.27,184.46
184.46,184.87
184.87,185.11
185.11,185.29
185.29,185.70
185.90,186.17
186.17,186.60
186.60,187.00
187.00,187.74
188.84,189.27
189.27,189.68
189.68,189.94
189.94,190.14
190.14,190.54
190.54,190.80
190.80,191.00
191.00,191.29
191.35,191.58
191.58,191.84
191.84,192.14
192.14,192.43
192.43,192.63
192.63,193.06
