word_start,word_end
3.25,3.55
3.55,3.81
3.81,4.73
5.30,5.52
5.52,5.79
5.79,6.53
7.36,7.66
7.66,7.94
7.94,8.43
8.43,9.13
9.50,10.00
10.00,10.63
11.17,11.53
11.53,12.05
12.05,12.73
13.12,13.37
13.37,13.91
13.91,14.14
14.14,14.79
15.49,15.72
15.72,15.95
15.95,16.21
16.21,16.74
16.74,17.25
17.52,17.79
17.79,18.06
18.06,18.27
18.27,19.22
19.78,20.08
20.08,20.34
20.34,21.43
21.90,22.05
22.05,22.34
22.34,23.04
23.89,24.22
24.22,24.50
24.50,25.54
26.00,26.31
26.31,26.54
26.54,27.38
27.82,28.09
28.09,28.35
28.35,28.61
28.61,29.43
29.79,30.16
30.16,30.43
30.43,30.67
30.67,31.43
31.95,32.23
32.23,32.51
32.51,35.24
35.30,35.60
35.60,36.11
36.11,36.38
36.38,36.64
36.64,36.89
36.89,37.13
37.13,37.63
37.63,38.27
39.40,39.72
39.72,39.98
39.98,40.28
40.28,40.52
40.52,40.77
40.77,41.25
41.25,41.79
41.79,42.43
43.56,43.83
43.83,44.09
44.09,44.34
44.34,44.67
44.67,44.93
44.93,45.18
45.18,45.44
45.44,45.95
45.95,47.02
47.56,48.01
48.01,48.47
49.53,50.09
50.09,50.67
51.88,52.11
52.11,52.43
52.43,52.66
52.66,52.92
52.92,53.15
53.15,53.43
53.43,53.66
53.66,54.20
54.20,54.77
56.00,56.53
56.53,56.79
56.79,57.09
57.09,57.36
57.36,57.62
57.62,57.76
57.76,58.97
60.11,60.39
60.39,60.67
60.67,60.97
60.97,61.44
61.44,61.74
61.74,61.95
61.95,62.49
62.49,63.40
64.06,64.60
64.60,65.07
66.02,66.63
66.63,67.17
71.49,71.79
71.79,72.05
72.05,73.15
73.60,73.86
73.86,74.11
74.11,74.79
75.53,75.92
75.92,76.13
76.13,76.69
76.69,77.18
77.23,77.47
77.47,78.79
79.27,79.52
79.52,80.04
80.04,80.29
80.29,80.81
81.06,81.64
81.64,81.92
81.92,82.15
82.15,82.34
82.34,82.98
83.61,83.96
83.96,84.21
84.21,84.41
84.41,85.10
85.61,86.02
86.02,86.26
86.26,86.47
86.47,87.41
88.07,88.30
88.30,88.58
88.58,89.89
90.20,90.44
90.44,90.61
90.61,91.42
92.18,92.43
92.43,92.74
92.74,93.73
93.82,94.04
94.04,94.29
94.29,94.52
94.52,95.51
95.97,96.35
96.35,96.61
96.61,96.82
96.82,97.58
98.04,98.42
98.42,98.67
98.67,98.91
98.91,99.60
100.27,100.48
100.48,100.77
100.77,103.52
103.60,103.86
103.86,104.35
104.35,104.64
104.64,104.88
104.88,105.16
105.16,105.38
105.38,105.90
105.90,106.51
107.64,107.97
107.97,108.25
108.25,108.53
108.53,108.78
108.78,109.03
109.03,109.50
109.50,110.06
110.06,110.66
111.85,112.12
112.12,112.34
112.34,112.59
112.59,112.90
112.90,113.17
113.17,113.42
113.42,113.67
113.67,114.20
114.20,114.99
116.84,117.34
117.34,117.83
118.81,119.37
119.37,120.48
120.13,120.41
120.41,120.67
120.67,120.90
120.90,121.17
121.17,121.39
121.39,121.67
121.67,121.91
121.91,122.45
122.45,122.93
124.20,124.80
124.80,125.03
125.03,125.31
125.31,125.61
125.61,125.85
125.85,125.98
125.98,127.19
128.38,128.64
128.64,128.91
128.91,129.19
129.19,129.70
129.70,129.98
129.98,130.20
130.20,130.77
130.77,131.61
133.37,133.84
133.84,134.45
135.34,135.85
135.85,136.89
153.22,153.47
153.47,154.01
154.01,154.29
154.29,154.54
154.54,154.79
154.79,155.02
155.02,155.57
155.57,156.20
157.31,157.59
157.59,157.87
157.87,158.17
158.17,158.42
158.42,158.68
158.68,159.16
159.16,159.70
159.70,160.24
161.47,161.73
161.73,161.97
161.97,162.21
162.21,162.56
162.56,162.79
162.79,163.07
163.07,163.32
163.32,163.86
163.86,164.54
165.46,165.91
165.91,166.51
168.48,168.94
168.94,169.56
169.78,170.03
170.03,170.31
170.31,170.54
170.54,170.82
170.82,171.03
171.03,171.31
171.31,171.54
171.54,172.10
172.10,172.64
173.91,174.44
174.44,174.68
174.68,174.97
174.97,175.22
175.22,175.48
175.48,175.63
175.63,176.89
178.04,178.30
178.30,178.55
178.55,178.84
178.84,179.34
179.34,179.62
179.62,179.85
179.85,180.36
180.36,181.24
182.99,183.48
183.48,184.06
185.04,185.55
185.55,186.20
