word_start,word_end
26.76,27.17
27.17,27.60
27.60,27.98
27.98,28.37
28.37,28.75
28.75,29.98
30.92,31.04
31.04,31.28
31.28,31.63
31.63,32.04
32.04,32.27
32.27,32.81
32.81,33.70
36.70,36.84
36.84,37.29
37.29,37.64
37.64,37.92
37.92,38.24
38.24,39.19
40.47,40.61
40.61,40.87
40.87,41.22
41.22,41.63
41.63,41.86
41.86,42.40
42.40,43.13
47.00,47.37
47.37,47.62
47.62,47.73
47.73,47.84
47.84,48.13
48.13,48.52
48.52,48.84
48.84,49.27
49.97,50.09
50.09,50.29
50.29,50.74
50.74,51.18
51.18,51.36
51.36,51.62
51.62,52.57
56.03,56.57
56.57,56.87
56.87,57.07
57.07,57.40
57.40,57.56
57.56,58.68
59.14,59.89
59.89,60.32
60.32,60.56
60.56,60.81
60.81,61.49
65.56,66.04
66.04,66.34
66.34,66.62
66.62,66.92
66.92,67.08
67.08,68.21
68.73,69.54
69.54,70.21
70.21,70.38
70.38,70.54
70.54,71.15
74.81,75.16
75.16,75.37
75.37,75.64
75.64,75.95
75.95,76.39
76.39,76.63
76.63,76.86
76.86,77.75
78.24,78.49
78.49,79.74
79.74,79.95
79.95,80.11
80.11,81.39
113.42,113.56
113.56,114.00
114.00,114.38
114.38,114.78
114.78,115.12
115.12,116.30
116.66,116.95
116.95,117.19
117.19,117.23
117.23,117.55
117.63,117.81
117.81,118.00
118.00,118.21
118.21,118.40
118.40,119.13
122.02,122.37
122.37,123.07
123.07,123.48
123.48,123.87
123.87,124.27
124.27,125.24
126.22,126.52
126.52,126.76
126.76,126.82
126.82,127.30
127.36,127.50
127.50,127.76
127.76,127.96
127.96,128.10
128.10,128.80
132.82,133.21
133.21,133.47
133.47,133.82
133.82,134.21
134.21,134.56
134.56,134.77
134.77,134.98
134.98,135.25
135.25,136.14
136.53,136.76
136.76,137.13
137.13,137.37
137.37,137.58
137.58,138.04
138.04,138.79
