word_start,word_end
2.58,2.74
2.74,3.27
3.27,3.85
3.85,4.06
4.06,4.74
4.95,6.61
7.32,7.58
7.58,8.00
8.00,8.85
8.85,9.02
9.02,9.73
9.73,10.35
12.14,12.43
12.43,12.75
12.75,13.05
13.05,13.33
13.33,13.63
13.63,13.79
13.79,16.22
16.93,17.29
17.29,17.83
17.83,18.43
18.43,18.64
18.64,18.80
18.88,19.48
21.75,22.08
22.08,22.36
22.36,22.53
22.53,23.61
24.15,24.45
24.45,24.77
24.77,25.03
25.03,25.38
25.38,26.00
26.53,26.89
26.89,27.47
27.47,28.06
28.06,28.37
28.37,28.62
28.62,28.91
28.91,29.46
29.46,29.75
29.75,30.82
31.27,31.60
31.60,31.88
31.88,32.06
32.06,33.10
33.76,34.07
34.07,34.39
34.39,34.63
34.63,35.02
35.02,35.71
36.15,36.43
36.43,37.01
37.01,37.61
37.61,37.91
37.91,38.18
38.18,38.52
38.52,39.49
39.75,39.89
39.89,40.07
40.07,40.42
40.42,40.68
40.68,41.15
41.60,41.75
41.75,41.91
41.91,42.21
42.21,42.58
42.58,43.38
43.96,44.04
44.04,44.19
44.19,44.53
44.53,44.88
44.88,45.38
46.23,46.36
46.36,46.45
46.45,46.53
46.53,46.92
46.92,47.27
47.27,47.78
47.78,48.18
48.18,48.76
48.76,48.91
48.91,49.29
49.29,49.59
49.59,50.10
51.08,51.22
51.22,51.38
51.38,51.73
51.73,52.01
52.01,52.49
53.56,53.70
53.70,53.84
53.84,54.19
54.19,54.54
54.54,55.38
55.90,56.00
56.00,56.10
56.10,56.15
56.15,56.58
56.58,56.91
56.91,57.42
57.42,57.79
57.79,58.37
58.37,58.51
58.51,58.93
58.93,59.25
59.25,59.70
60.16,60.43
60.43,60.81
60.81,61.04
61.04,61.64
61.64,61.92
61.92,62.06
62.06,63.67
64.95,65.17
65.17,65.55
65.55,65.82
65.82,66.26
66.26,66.50
66.50,66.77
66.77,67.23
67.23,68.09
69.72,70.07
70.07,70.35
70.35,70.55
70.55,71.05
71.05,71.21
71.21,71.42
71.42,71.65
71.65,73.30
74.51,74.78
74.78,75.16
75.16,75.39
75.39,75.76
75.76,75.99
75.99,76.30
76.30,76.92
76.92,77.68
79.39,79.72
79.72,80.00
80.00,80.13
80.13,81.21
81.76,82.07
82.07,82.41
82.41,82.61
82.61,82.99
82.99,83.61
84.17,84.51
84.51,85.05
85.05,85.60
85.60,85.95
85.95,86.20
86.20,86.53
86.53,87.08
87.08,87.39
87.39,88.46
88.91,89.24
89.24,89.52
89.52,89.66
89.66,90.70
91.29,91.66
91.66,92.00
92.00,92.20
92.20,92.57
92.57,93.26
93.79,94.07
94.07,94.65
94.65,95.25
95.25,95.55
95.55,95.82
95.82,96.49
96.49,97.39
97.39,97.53
97.53,97.66
97.66,97.98
97.98,98.22
98.22,98.69
99.15,99.27
99.27,99.39
99.39,99.70
99.70,100.10
100.10,100.90
101.51,101.61
101.60,101.69
101.69,102.09
102.09,102.40
102.40,102.94
103.83,103.96
103.96,104.05
104.05,104.10
104.10,104.50
104.50,104.86
104.86,105.36
105.36,105.73
105.73,106.32
106.32,106.49
106.49,106.90
106.90,107.23
107.23,107.74
108.72,108.86
108.86,109.02
109.02,109.37
109.37,109.65
109.65,110.13
111.17,111.32
111.32,111.45
111.45,111.79
111.79,112.14
112.15,112.95
113.46,113.57
113.57,113.67
113.67,113.71
113.71,114.16
114.16,114.50
114.50,115.01
115.01,115.38
115.38,115.96
115.96,116.11
116.11,116.53
116.53,116.85
116.85,117.27
117.96,118.25
118.25,118.46
118.46,118.90
118.90,119.36
120.42,120.69
120.69,120.92
120.92,121.31
121.31,121.76
122.59,122.82
122.82,123.05
123.05,123.31
123.31,123.77
123.77,124.05
124.05,124.33
124.33,124.98
124.98,125.79
127.70,127.86
127.86,128.06
128.06,128.51
128.51,129.15
129.72,129.98
129.98,130.25
130.25,130.42
130.42,130.97
130.97,131.66
132.18,132.48
132.48,132.76
132.76,133.08
133.08,133.25
133.25,133.43
133.43,133.76
133.76,134.58
134.58,135.60
135.75,135.93
135.93,136.03
136.03,136.40
136.40,136.64
136.64,137.13
137.58,137.75
137.75,137.88
137.88,138.24
138.24,138.61
138.61,139.42
139.98,140.07
140.07,140.19
140.19,140.54
140.54,140.93
140.93,141.58
142.28,142.40
142.40,142.49
142.49,142.55
142.55,142.97
142.97,143.32
143.32,143.81
143.81,144.22
144.22,144.76
144.76,144.93
144.93,145.34
145.34,145.60
145.60,146.11
147.11,147.22
147.22,147.39
147.39,147.76
147.76,148.01
148.01,148.69
149.52,149.62
149.62,149.78
149.78,150.13
150.13,150.47
150.47,151.37
151.87,151.96
151.96,152.07
152.07,152.15
152.15,152.54
152.54,152.89
152.89,153.38
153.38,153.77
153.77,154.35
154.35,154.52
154.52,154.96
154.96,155.23
155.23,155.74
