word_start,word_end
10.63,10.93
10.93,11.33
11.33,11.55
11.55,12.34
12.34,12.61
12.61,13.61
13.61,13.85
13.85,14.70
15.83,16.14
16.14,16.79
16.79,17.72
17.72,18.69
18.69,18.90
18.90,19.15
19.15,19.80
19.89,20.59
20.59,21.75
21.75,22.59
22.82,23.12
23.12,24.29
24.29,25.32
25.70,26.00
26.00,26.33
26.33,26.98
26.98,27.63
27.63,28.21
28.21,28.81
28.81,29.18
29.18,29.53
29.53,30.56
32.39,32.64
32.64,32.98
32.98,33.32
33.32,33.99
33.99,34.34
34.34,34.59
34.59,34.94
34.94,35.57
35.57,36.43
37.50,38.07
38.07,38.47
38.47,39.15
39.15,39.35
39.35,39.59
39.59,39.89
39.89,40.19
40.19,40.70
40.70,40.82
40.82,41.56
42.01,42.20
42.20,43.25
43.25,43.41
43.41,44.21
44.21,44.56
44.56,44.89
44.89,45.81
45.81,45.95
45.95,46.91
47.41,47.74
48.04,48.58
48.58,49.54
49.66,49.94
49.94,50.40
50.40,50.85
50.85,51.14
51.14,51.71
51.81,52.19
52.19,52.39
52.39,55.03
55.03,55.37
55.37,55.59
55.59,56.33
56.33,56.93
57.01,57.28
57.28,57.58
57.58,59.23
59.48,60.16
60.16,62.38
62.73,63.34
63.34,63.97
63.97,64.62
64.62,64.94
64.94,65.19
65.19,65.87
65.87,66.19
66.19,67.55
67.80,68.20
68.46,68.98
68.98,70.42
70.42,71.05
71.05,71.33
71.33,73.01
82.19,82.42
82.42,82.82
82.82,83.40
83.40,83.82
83.82,83.98
83.98,84.14
84.14,84.42
84.42,85.63
85.63,86.34
86.34,87.64
88.59,88.86
88.86,89.25
89.25,90.49
90.49,90.78
90.78,91.71
91.71,91.91
91.91,92.58
92.71,93.36
93.36,93.89
94.01,95.19
95.19,95.91
95.91,96.50
96.50,98.01
98.42,98.84
99.08,99.61
99.61,100.52
100.70,101.37
101.37,101.65
101.65,102.00
102.00,102.53
102.86,103.20
103.20,103.42
103.42,106.08
106.08,106.45
106.45,106.69
106.69,107.41
107.41,108.07
108.07,108.31
108.31,108.61
108.61,110.19
110.57,111.21
111.21,113.39
113.81,114.41
114.41,115.02
115.02,115.67
115.67,116.02
116.02,116.39
116.57,116.95
116.95,117.27
117.27,118.53
118.88,119.30
119.52,120.06
120.06,121.18
121.45,122.10
122.10,122.38
122.38,124.09
133.50,133.78
133.78,134.18
134.18,134.63
134.85,135.34
135.45,135.93
136.10,136.48
136.73,137.12
137.40,137.87
137.98,138.45
138.66,139.22
139.34,139.75
139.93,140.43
140.54,141.04
141.14,141.82
141.82,142.31
142.49,142.98
143.09,143.62
143.72,147.40
148.85,149.25
149.25,149.49
149.49,152.10
152.10,152.45
152.45,152.69
152.69,153.40
153.40,153.98
154.03,154.35
154.35,154.66
154.66,156.36
156.56,157.26
157.26,159.41
159.78,160.41
160.41,161.01
161.01,161.67
161.67,162.07
162.07,162.53
162.53,162.94
162.94,163.29
163.29,164.37
164.82,165.22
165.52,166.07
166.07,167.09
167.43,168.05
168.05,168.33
168.40,170.61
