word_start,word_end
27.14,27.81
27.81,28.28
28.28,28.74
28.74,30.16
33.43,34.13
34.13,35.96
35.96,37.57
39.68,40.46
40.46,41.15
41.15,42.47
45.14,46.04
46.04,47.22
47.22,49.19
51.47,51.96
51.96,52.19
52.19,53.36
53.52,53.85
53.85,54.05
54.05,55.83
55.83,57.45
58.70,59.02
59.02,59.34
59.34,60.55
60.55,60.81
60.81,61.20
61.20,62.41
62.41,64.44
75.76,76.44
76.44,76.94
76.94,77.17
77.17,78.95
82.05,82.75
82.75,83.24
83.24,84.61
84.61,86.00
88.32,89.27
89.27,89.86
89.86,91.12
93.82,94.73
94.73,95.97
95.97,97.70
100.18,100.70
100.70,100.90
100.90,101.98
102.23,102.53
102.53,102.74
102.74,104.53
104.53,105.91
107.47,107.83
107.83,108.08
108.08,109.27
109.27,109.62
109.62,110.01
110.01,111.23
111.23,113.08
122.75,123.47
123.47,124.05
124.05,125.45
125.45,126.14
126.14,126.42
126.42,128.01
129.94,130.65
130.65,131.25
131.25,132.57
132.57,133.32
133.32,133.59
133.59,135.09
170.21,170.67
170.67,170.91
170.91,171.93
172.25,172.51
172.51,172.74
172.74,174.53
174.53,175.82
177.35,177.74
177.74,178.02
178.02,179.22
179.22,179.50
179.50,179.89
179.89,181.03
181.03,182.97
192.55,193.27
193.27,193.85
193.85,195.19
195.19,195.91
195.91,196.18
196.18,197.95
199.65,200.39
200.39,201.00
201.00,202.32
202.32,203.02
203.02,203.32
203.32,205.01
206.68,207.43
207.43,208.08
208.08,209.39
210.31,211.89
211.89,213.86
213.86,214.53
214.53,215.21
215.21,216.58
217.46,219.04
219.04,220.99
220.99,221.71
221.71,222.40
222.40,223.41
223.70,224.45
224.45,224.68
224.68,225.60
