word_start,word_end
0.00,0.23
0.23,0.58
0.58,0.91
0.91,1.07
1.07,1.23
1.23,1.56
1.56,1.88
1.88,2.25
2.25,2.58
2.58,2.72
2.72,2.86
2.86,2.99
2.99,3.20
3.20,3.58
3.58,3.71
3.71,4.04
4.04,4.20
4.20,4.53
4.53,4.96
5.18,5.32
5.32,5.48
5.48,5.64
5.64,5.85
5.85,6.19
6.19,6.36
6.36,6.64
6.64,6.83
6.83,7.15
7.15,7.52
7.52,7.85
7.85,8.15
8.15,8.50
8.50,8.85
8.85,9.14
9.14,9.51
9.51,10.49
10.61,10.77
10.77,11.14
11.14,11.47
11.47,11.63
11.63,11.79
11.79,12.12
12.12,12.47
12.47,12.83
12.83,13.14
13.14,13.26
13.26,13.40
13.40,13.51
13.51,13.77
13.77,14.12
14.12,14.25
14.25,14.60
14.60,14.74
14.74,15.05
15.05,15.49
15.74,15.92
15.92,16.07
16.07,16.23
16.23,16.39
16.39,16.75
16.75,16.92
16.92,17.21
17.21,17.41
17.41,17.72
17.72,18.13
18.13,18.41
18.41,18.71
18.71,19.04
19.04,19.42
19.42,19.70
19.70,20.03
20.03,21.07
21.27,21.66
21.66,22.05
22.05,22.31
22.31,22.66
22.66,23.31
23.31,23.66
23.66,23.98
23.98,24.15
24.15,24.31
24.31,24.66
24.66,24.80
24.80,24.96
24.96,25.31
25.31,25.84
25.93,26.23
26.23,26.63
26.63,26.96
26.96,27.29
27.29,27.63
27.63,27.98
27.98,28.60
28.60,28.91
28.91,29.30
29.30,29.39
29.39,29.49
29.49,29.95
29.95,30.24
30.24,30.87
30.87,31.58
31.88,32.02
32.02,32.19
32.19,32.55
32.55,32.71
32.71,33.11
33.11,33.17
33.17,33.57
33.57,33.71
33.71,33.90
33.90,34.22
34.22,34.72
34.85,35.04
35.04,35.20
35.20,35.35
35.35,35.42
35.42,35.85
35.85,36.09
36.09,36.33
36.33,36.44
36.44,36.72
36.72,36.82
36.82,37.01
37.01,37.50
37.50,37.87
37.87,38.31
38.31,38.66
38.66,39.01
39.01,39.26
39.22,40.47
40.61,40.79
40.79,40.96
40.96,41.14
41.14,41.31
41.31,41.41
41.41,41.79
41.79,41.91
41.91,42.12
42.12,42.40
42.40,42.65
42.65,43.12
43.12,43.35
43.35,43.81
43.81,43.98
43.98,44.16
44.16,44.46
44.46,44.74
44.74,45.44
45.60,45.74
45.74,45.95
45.95,46.33
46.33,47.09
47.09,47.20
47.20,47.33
47.33,48.00
48.27,48.41
48.41,48.55
48.55,48.87
48.87,49.15
49.15,49.38
49.38,49.47
49.47,49.73
49.73,49.85
49.85,50.06
50.06,50.52
50.52,50.71
50.71,51.01
51.01,51.22
51.22,51.68
51.68,51.99
51.99,52.19
52.19,52.66
52.66,52.98
52.98,53.54
53.54,53.84
53.84,54.21
54.21,54.49
54.49,54.84
54.84,54.98
54.98,55.35
55.47,55.63
55.63,55.79
55.79,56.14
56.14,56.28
56.28,56.42
56.42,56.84
56.84,57.00
57.00,57.14
57.14,57.28
57.28,57.47
57.47,57.64
57.64,58.42
58.42,58.58
58.58,58.79
58.79,59.11
59.11,59.76
59.76,60.11
60.11,60.25
60.25,60.38
60.38,61.08
61.08,61.44
61.44,61.55
61.55,61.76
61.76,62.02
62.02,62.23
62.23,62.41
62.41,62.55
62.55,62.71
62.71,62.88
62.88,63.00
63.00,63.53
63.53,63.87
63.87,64.20
64.20,64.38
64.38,64.52
64.52,64.85
