word_start,word_end
1.53,1.83
1.83,2.14
2.14,2.90
3.38,3.69
4.38,5.39
6.57,7.92
8.82,9.03
9.03,9.41
10.98,11.22
11.38,11.56
11.56,11.86
11.86,12.19
12.19,12.35
12.35,12.54
12.63,12.82
12.82,13.12
13.12,13.33
13.33,13.44
13.44,13.60
13.60,13.74
13.74,13.95
13.95,14.07
14.07,14.23
14.23,14.39
14.39,14.72
14.72,14.86
14.86,15.01
15.16,15.32
15.32,15.49
15.49,15.65
15.65,15.95
15.95,16.11
16.11,16.29
16.41,16.60
16.60,16.74
16.74,16.90
16.90,17.37
17.37,17.85
17.85,18.04
18.04,18.29
18.29,18.64
18.64,18.99
18.99,19.16
19.16,19.41
19.41,19.76
19.76,19.90
19.90,19.99
20.00,20.12
20.12,20.48
20.48,21.01
21.01,21.15
21.15,21.45
21.45,21.78
22.22,22.40
22.54,22.97
22.97,23.50
23.50,23.66
23.66,23.92
23.92,24.44
24.80,25.07
25.07,25.54
25.54,25.95
25.95,27.03
27.58,28.12
28.12,28.37
28.37,29.00
29.00,29.49
29.81,30.11
30.11,30.41
30.41,30.60
30.60,30.92
30.92,31.51
31.51,31.93
32.29,32.62
32.62,32.94
32.94,33.14
33.14,33.41
33.41,33.71
33.71,34.62
34.83,35.06
35.06,35.48
35.48,35.61
35.61,35.94
35.94,36.24
36.24,37.20
37.33,38.12
38.12,38.47
38.47,38.75
38.75,39.05
39.05,40.31
40.47,40.79
40.79,41.09
41.09,41.23
41.23,41.42
41.42,41.91
41.91,42.05
42.05,42.37
42.37,42.56
42.56,42.67
42.67,43.11
43.30,43.44
43.44,43.65
43.65,43.93
43.93,44.25
44.25,44.41
44.41,44.60
44.60,44.90
44.90,45.18
45.18,45.48
45.48,45.69
45.69,45.83
45.83,45.99
45.99,46.16
46.16,46.32
46.32,46.78
46.78,46.92
46.92,47.08
47.08,47.41
47.41,47.52
47.52,48.02
48.02,48.20
48.20,48.31
48.31,48.52
48.52,48.66
48.66,48.82
48.82,50.70
51.61,51.80
51.80,52.12
52.12,52.42
52.42,52.59
