word_start,word_end
14.63,15.12
15.12,15.56
15.56,15.98
15.98,16.42
16.42,16.97
16.97,17.18
17.18,17.51
17.90,18.13
18.13,18.34
18.34,18.73
18.77,19.27
19.27,19.74
19.74,19.97
19.97,20.62
21.36,21.55
21.55,22.01
22.01,22.51
22.51,22.94
22.94,23.43
23.80,24.54
24.54,24.98
25.03,25.24
25.24,25.47
25.47,25.66
25.66,26.12
26.12,26.45
26.45,26.82
27.12,27.36
27.36,27.58
27.58,28.61
32.42,32.56
32.56,33.12
33.12,33.43
33.58,34.01
34.01,34.31
34.31,34.99
34.99,35.25
36.08,36.29
36.29,36.79
36.79,37.11
36.77,37.22
37.22,37.69
37.94,38.87
38.87,39.08
39.08,39.40
39.40,39.57
39.83,39.94
39.94,40.46
40.46,40.81
43.40,43.65
43.65,44.21
44.21,44.44
44.18,44.63
44.63,45.14
45.14,45.63
45.63,46.00
46.00,46.53
46.53,46.65
46.65,47.90
47.90,48.34
48.34,48.81
48.81,49.27
49.27,49.71
49.71,49.95
49.95,50.94
51.55,51.94
51.94,52.48
52.48,52.94
52.94,53.43
53.43,54.97
55.19,55.90
55.90,56.19
56.19,57.10
57.10,57.79
57.79,58.65
58.93,59.33
59.33,59.88
59.88,60.33
60.33,60.70
60.70,61.00
61.00,61.35
61.35,61.97
61.97,62.46
62.46,62.94
62.94,63.11
63.11,63.34
63.34,64.15
66.31,66.73
66.73,67.22
67.22,67.71
67.71,68.12
68.12,68.38
68.38,68.68
68.68,69.33
69.33,69.82
69.82,70.30
70.30,70.50
70.50,70.70
70.70,71.49
73.78,74.19
74.19,74.62
74.62,75.18
75.18,75.53
75.53,75.93
75.93,76.20
76.20,76.49
76.76,76.86
76.86,77.21
77.21,77.41
77.41,77.85
77.85,78.27
78.27,78.57
78.57,78.99
78.99,79.51
81.08,81.57
81.57,82.48
82.48,82.71
82.71,82.94
82.94,83.16
83.16,83.25
83.25,83.73
84.10,84.36
84.36,85.24
85.24,85.98
85.98,86.38
86.38,87.18
91.48,91.62
91.62,92.15
92.15,92.39
92.67,93.11
93.11,93.38
93.38,94.07
94.07,94.36
95.15,95.36
95.36,95.87
95.87,96.19
95.87,96.28
96.28,96.74
97.03,97.96
97.96,98.15
98.15,98.48
98.48,98.58
98.88,99.00
99.00,99.54
99.54,99.80
102.56,102.75
102.75,103.24
103.24,103.59
105.13,105.56
105.56,105.89
105.89,106.53
106.53,106.85
106.93,107.40
107.40,107.90
107.90,108.37
108.37,108.78
108.78,109.29
109.29,109.48
109.48,110.53
110.67,111.12
111.12,111.59
111.59,112.06
112.06,112.48
112.48,112.76
112.76,113.79
114.31,114.75
114.75,115.26
115.26,115.73
115.73,116.19
116.19,117.78
117.98,118.69
118.69,118.94
118.94,119.88
119.88,120.55
120.55,121.45
121.73,122.12
122.12,122.64
122.64,123.03
123.13,123.53
123.53,123.75
123.75,124.08
124.08,124.73
124.73,125.23
125.23,125.70
125.70,125.88
125.88,126.08
126.08,126.85
129.11,129.50
129.50,129.98
129.98,130.37
130.47,130.87
130.87,131.15
131.15,131.49
131.49,132.11
132.11,132.59
132.59,133.05
133.05,133.26
133.26,133.47
133.47,134.24
