word_start,word_end
8.31,8.62
8.62,9.11
9.11,10.01
10.01,10.57
11.14,11.67
11.67,11.79
11.79,12.00
12.00,12.58
12.58,12.82
12.82,12.92
12.92,13.77
13.77,14.22
14.48,14.72
14.72,15.23
15.23,15.44
15.44,15.54
15.54,15.64
15.64,16.30
16.30,16.78
16.78,17.51
17.51,18.43
18.43,19.22
19.22,20.12
20.12,20.22
20.22,21.65
23.19,23.59
23.59,24.09
24.09,24.83
24.83,25.52
26.14,26.62
26.62,26.76
26.76,26.86
26.86,27.60
27.60,27.84
27.84,27.98
27.98,28.76
28.76,29.31
29.90,30.37
30.37,30.69
30.69,31.32
31.32,31.80
31.80,33.43
33.43,34.15
34.15,34.50
34.50,35.14
35.14,35.28
35.28,38.12
38.12,38.24
38.24,38.59
38.59,38.84
38.84,39.10
39.10,39.23
39.23,39.75
39.75,40.21
40.21,40.44
40.44,40.56
40.56,40.72
40.72,41.38
41.82,42.32
42.32,42.47
42.47,42.87
42.87,43.55
43.55,44.00
44.00,44.20
44.20,44.48
44.48,44.64
44.64,45.07
45.58,45.83
45.83,46.08
46.08,46.32
46.32,46.57
46.57,47.27
47.48,47.76
47.76,48.14
48.14,48.57
48.57,48.69
48.69,49.00
49.38,49.59
49.59,49.85
49.85,50.08
50.08,50.32
50.32,50.82
50.82,51.03
51.03,51.24
51.24,51.36
51.36,51.77
51.77,51.86
51.86,52.19
52.19,52.40
52.40,53.15
57.00,57.09
57.09,57.35
57.35,57.58
57.58,57.85
57.85,58.29
60.23,60.40
60.40,60.60
60.60,60.73
60.73,61.06
61.06,61.21
61.21,61.57
61.57,61.76
61.76,62.43
64.58,64.84
64.84,65.05
65.05,65.34
65.34,65.82
65.82,66.03
66.03,66.21
66.21,66.35
66.35,66.70
66.70,66.85
66.85,67.19
67.19,67.40
67.40,68.25
68.42,68.63
68.63,69.08
69.08,69.53
69.53,69.99
70.97,71.60
71.60,71.76
71.76,71.88
71.88,72.37
72.37,72.51
72.51,72.95
72.95,73.30
73.30,74.55
74.89,75.53
75.53,75.71
75.71,76.17
76.17,76.45
76.45,76.78
76.78,77.06
77.06,77.52
77.52,78.17
78.47,79.10
79.10,79.62
79.62,80.07
80.07,80.33
80.33,80.77
80.77,83.13
83.13,83.22
83.22,83.58
83.58,83.81
83.81,84.07
84.07,84.22
84.22,84.76
84.76,85.21
85.21,85.45
85.45,85.55
85.55,85.72
85.72,86.39
86.82,87.32
87.32,87.47
87.47,87.85
87.85,88.51
88.51,88.94
88.94,89.18
89.18,89.57
89.57,89.64
89.64,90.08
90.54,90.82
90.82,91.08
91.08,91.29
91.29,91.57
91.57,92.28
92.47,92.73
92.73,93.12
93.12,93.56
93.56,93.66
93.66,94.02
94.38,94.58
94.58,94.84
94.84,95.07
95.07,95.33
95.33,95.82
95.82,96.02
96.02,96.23
96.23,96.35
96.35,96.74
96.74,96.86
96.86,97.19
97.19,97.42
97.42,98.20
102.02,102.08
102.08,102.34
102.34,102.57
102.57,102.85
102.85,103.34
105.24,105.37
105.37,105.57
105.57,105.73
105.73,106.05
106.05,106.21
106.21,106.56
106.56,106.77
106.77,107.60
109.58,109.84
109.84,110.07
110.07,110.33
110.33,110.81
110.81,111.02
111.02,111.21
111.21,111.35
111.35,111.70
111.70,111.85
111.85,112.18
112.18,112.39
112.39,113.04
113.12,113.24
113.24,113.60
113.60,113.83
113.83,114.09
114.09,114.24
114.24,114.76
114.76,115.20
115.20,115.43
115.44,115.57
115.57,115.76
115.76,116.38
116.80,117.31
117.31,117.46
117.46,117.83
117.83,118.58
118.58,118.99
118.99,119.19
119.19,119.52
119.52,119.64
119.64,120.15
120.57,120.80
120.80,121.08
121.08,121.31
121.31,121.58
121.58,122.28
122.45,122.75
122.75,123.14
123.14,123.56
123.56,123.65
123.65,124.00
124.40,124.58
124.58,124.84
124.84,125.05
125.05,125.33
125.33,125.81
125.81,126.02
126.02,126.23
126.23,126.35
126.35,126.76
126.76,126.84
126.84,127.18
127.18,127.39
127.39,128.37
