word_start,word_end
31.16,31.30
31.30,31.72
31.72,32.00
32.00,32.51
32.51,32.71
32.71,32.92
32.92,33.50
33.50,34.29
37.43,37.64
37.64,38.01
38.01,38.40
38.40,38.77
38.77,39.01
39.01,39.19
39.19,39.59
39.59,39.95
39.95,41.00
43.53,43.70
43.70,43.91
43.91,44.16
44.16,44.49
44.49,44.72
44.72,45.09
45.09,45.30
45.30,45.48
45.48,45.86
45.86,45.95
45.95,46.53
49.63,49.76
49.76,50.07
50.07,50.36
50.36,50.57
50.57,50.74
50.74,51.31
51.31,51.54
51.54,51.68
51.68,51.99
51.99,52.17
52.17,52.40
52.40,52.73
52.73,53.59
55.47,55.65
55.65,55.84
55.84,56.01
56.01,56.40
56.40,57.20
58.23,58.41
58.41,58.79
58.79,59.04
59.04,59.23
59.23,59.45
59.45,59.97
59.97,60.52
61.42,61.55
61.55,61.92
61.92,62.18
62.18,62.34
62.34,62.56
62.56,63.11
63.11,63.75
65.47,66.05
66.19,66.62
66.62,67.35
67.73,68.14
68.14,69.14
75.11,75.23
75.23,75.66
75.66,76.02
76.02,76.43
76.43,76.67
76.67,76.83
76.83,77.05
77.05,77.25
77.25,77.46
77.46,78.07
81.12,81.31
81.31,81.52
81.52,82.31
82.31,82.54
82.54,82.73
82.73,82.89
82.89,83.10
83.10,83.31
83.31,83.52
83.52,83.77
83.77,84.88
87.69,87.83
87.83,88.07
88.07,88.18
88.18,88.65
88.65,89.02
89.02,89.23
89.23,89.41
89.41,89.76
89.76,89.97
89.97,90.59
93.71,93.91
93.91,94.08
94.08,94.24
94.24,94.47
94.47,94.71
94.71,95.15
95.15,95.29
95.29,95.68
95.68,95.89
95.89,96.24
96.24,96.68
96.68,97.03
97.03,97.75
99.40,99.58
99.58,99.77
99.77,99.91
99.91,100.30
100.30,101.18
102.16,102.34
102.34,102.72
102.72,102.97
102.97,103.13
103.13,103.35
103.35,103.90
103.90,104.51
105.32,105.47
105.47,105.85
105.85,106.08
106.08,106.27
106.27,106.49
106.49,107.06
107.06,107.74
109.38,109.86
110.08,110.52
110.52,111.26
111.65,112.11
112.11,113.18
114.67,114.85
114.85,115.23
115.23,115.49
115.49,115.65
115.65,115.88
115.88,116.44
116.44,117.14
117.83,117.99
117.99,118.39
118.39,118.62
118.62,118.81
118.81,119.01
119.01,119.57
119.57,120.24
121.89,122.45
122.60,123.04
123.04,123.88
124.19,124.60
124.60,125.53
149.12,149.69
149.69,149.87
149.87,150.04
150.04,150.45
150.45,151.32
152.29,152.47
152.47,152.84
152.84,153.15
153.15,153.29
153.29,153.48
153.48,154.05
154.05,154.69
155.47,155.61
155.61,155.98
155.98,156.23
156.23,156.42
156.42,156.65
156.65,157.21
157.21,157.81
159.63,160.04
160.28,160.71
160.71,161.50
161.82,162.26
162.26,163.05
164.87,165.04
165.04,165.43
165.43,165.68
165.68,165.85
165.85,166.06
166.06,166.61
166.61,167.49
168.01,168.14
168.14,168.54
168.54,168.82
168.82,168.98
168.98,169.20
169.20,169.77
169.77,170.57
172.10,172.63
172.87,173.30
173.30,173.66
173.66,174.07
174.07,174.35
174.35,174.83
174.83,175.16
175.16,175.57
175.57,175.93
175.93,176.34
176.34,176.73
176.73,177.13
177.13,177.49
177.49,177.92
177.92,178.35
178.35,178.78
178.78,179.10
179.10,179.54
179.54,180.46
180.72,181.28
181.28,182.77
