word_start,word_end
9.17,9.57
9.57,9.75
9.75,10.29
10.29,10.59
10.59,11.17
11.68,11.86
11.86,12.23
12.23,12.43
12.43,13.00
13.00,13.49
13.54,13.91
13.91,14.07
14.07,14.43
14.43,14.65
14.65,14.93
14.93,15.63
16.02,16.23
16.23,16.60
16.60,16.81
16.81,17.34
17.34,17.87
17.87,18.23
18.23,18.43
18.44,19.24
19.24,20.01
20.36,20.59
20.59,20.97
20.97,21.13
21.13,21.71
21.71,22.20
22.20,22.56
22.56,22.77
22.77,23.69
23.69,24.37
24.79,24.98
24.98,25.38
25.38,25.56
25.56,26.12
26.12,26.61
26.61,26.98
26.98,27.19
27.19,27.63
28.56,28.81
28.81,29.12
29.12,29.31
29.31,29.88
29.88,30.61
31.00,31.32
31.32,31.60
31.60,32.06
32.97,33.16
33.16,33.50
33.50,33.73
33.73,34.21
34.21,35.02
35.36,35.73
35.73,35.94
35.94,36.47
37.31,37.50
37.50,37.81
37.81,38.04
38.04,38.56
38.56,39.32
39.70,40.05
40.05,40.26
40.26,40.82
40.82,41.31
41.31,42.00
52.77,53.15
53.15,53.25
53.25,53.91
53.91,54.86
55.38,55.56
55.56,56.12
56.12,56.44
56.44,56.56
56.56,57.16
57.16,57.51
57.51,57.61
57.61,58.28
58.28,58.61
58.61,59.28
59.69,59.88
59.88,60.25
60.25,60.47
60.47,60.79
60.79,60.99
60.99,61.48
61.48,61.88
61.88,62.09
62.09,62.61
62.61,63.59
63.99,64.22
64.22,64.76
64.76,65.13
65.13,65.28
65.28,65.87
65.87,66.43
66.43,67.01
67.01,67.34
67.34,67.89
68.61,68.98
68.98,69.19
69.19,69.75
69.75,70.21
70.21,70.61
70.61,70.79
70.79,71.26
72.19,72.39
72.39,72.72
72.72,72.89
72.89,73.49
73.49,74.21
74.60,74.99
74.99,75.25
75.25,75.68
76.61,76.78
76.78,77.13
77.13,77.34
77.34,77.89
77.89,78.68
79.00,79.38
79.38,79.62
79.62,80.05
80.92,81.10
81.10,81.46
81.46,81.64
81.64,82.19
82.19,82.97
83.35,83.70
83.70,83.91
83.91,84.42
84.42,84.89
84.89,85.52
113.86,114.23
114.23,114.40
114.40,114.98
114.98,115.28
115.28,115.89
116.34,116.58
116.58,116.95
116.95,117.12
117.12,117.72
117.72,118.25
118.25,118.62
118.62,118.78
118.78,119.17
119.17,119.34
119.34,119.64
119.64,120.30
120.76,121.01
121.01,121.36
121.36,121.57
121.57,122.06
122.06,122.59
122.59,122.92
122.92,123.13
123.13,123.89
123.89,124.62
125.12,125.31
125.31,125.66
125.66,125.84
125.84,126.42
126.42,126.91
126.91,127.27
127.27,127.47
127.47,128.42
128.42,129.02
129.49,129.70
129.70,130.11
130.11,130.30
130.30,130.83
130.83,131.32
131.32,131.69
131.69,131.88
131.88,132.34
133.25,133.46
133.46,133.76
133.76,133.96
133.96,134.54
134.54,135.35
135.69,136.06
136.06,136.27
136.27,136.71
137.64,137.87
137.87,138.19
138.19,138.43
138.43,138.94
138.94,139.73
140.08,140.45
140.45,140.66
140.66,141.14
142.05,142.21
142.21,142.54
142.54,142.71
142.71,143.27
143.27,144.00
144.35,144.77
144.77,144.95
144.95,145.53
145.53,145.97
145.97,146.67
